@relation 30_10_5_10_5_1000

@attribute A1 {d,b,a,e,c,j,g,f,i,h}
@attribute A2 {i,f,d,e,a,c,b,g,j,h}
@attribute A3 {h,b,g,a,i,f,j,d,e,c}
@attribute A4 {h,f,d,i,b,c,a,e,j,g}
@attribute A5 {g,b,j,i,f,e,h,d,a,c}
@attribute A6 {f,g,c,j,i,a,d,e,h,b}
@attribute A7 {c,e,h,b,a,j,i,g,d,f}
@attribute A8 {a,c,e,g,d,h,i,j,b,f}
@attribute A9 {f,g,d,h,i,a,j,c,b,e}
@attribute A10 {f,c,b,e,j,d,a,h,i,g}
@attribute A11 {c,a,d,j,f,h,e,i,b,g}
@attribute A12 {c,g,j,i,h,d,f,e,b,a}
@attribute A13 {b,i,g,d,a,c,h,e,j,f}
@attribute A14 {d,g,f,j,b,e,c,a,i,h}
@attribute A15 {i,h,b,a,d,e,g,j,c,f}
@attribute A16 {g,a,c,b,e,i,f,d,h,j}
@attribute A17 {e,h,f,g,b,a,j,i,d,c}
@attribute A18 {g,c,e,h,a,j,f,b,d,i}
@attribute A19 {a,g,e,h,b,j,d,c,f,i}
@attribute A20 {b,d,f,j,e,h,i,c,a,g}
@attribute A21 {i,b,a,j,c,e,f,d,g,h}
@attribute A22 {a,f,j,c,e,i,b,g,h,d}
@attribute A23 {e,b,h,a,i,f,c,j,g,d}
@attribute A24 {j,a,h,f,i,e,b,g,c,d}
@attribute A25 {c,g,b,f,e,i,a,d,h,j}
@attribute A26 {f,b}
@attribute A27 {a,i,h,e,d,c,b,f,j,g}
@attribute A28 {b,h,e,g,d,i,f,c,j,a}
@attribute A29 {h,b,f,a,e,g,j,c,d,i}
@attribute A30 {c,d,a,h,g,f,b,e,j,i}
@attribute Class {c5,c1,c4,c2,c3}

@data
b,a,j,c,b,d,b,d,h,b,d,f,j,d,g,a,a,c,a,j,g,f,a,b,f,b,b,g,j,e,c2
g,c,j,i,i,i,e,j,h,b,d,b,d,j,g,b,f,h,d,i,c,e,i,h,b,b,e,j,f,h,c4
d,i,i,c,g,j,c,d,f,c,f,c,d,d,j,a,e,b,a,f,e,j,e,f,c,f,h,a,b,d,c5
e,f,b,f,i,c,a,g,f,d,a,f,a,d,h,a,f,h,c,b,d,f,e,e,i,f,f,d,b,h,c1
f,d,d,j,b,e,b,d,h,b,d,h,e,d,g,f,g,c,f,j,e,i,i,g,f,b,j,c,e,f,c2
e,f,b,f,f,i,j,g,a,d,a,h,f,c,h,a,e,h,h,b,b,f,e,g,d,f,c,f,b,a,c1
b,i,b,i,i,d,i,b,i,j,d,d,d,c,a,b,f,h,b,i,g,a,a,h,b,b,c,d,f,h,c4
g,a,j,c,b,f,b,d,h,b,d,d,b,d,j,d,f,c,a,j,h,e,f,h,f,b,f,f,c,a,c2
g,f,b,f,i,c,g,f,a,d,a,d,a,f,h,a,f,h,a,b,b,f,e,c,g,f,g,d,b,j,c1
c,a,f,j,g,h,c,g,h,a,h,c,a,b,d,b,b,a,f,b,i,f,h,j,h,f,i,c,d,d,c3
c,a,f,g,g,b,c,g,h,a,i,j,h,j,c,a,b,j,e,b,g,f,h,j,d,f,i,d,h,i,c3
c,a,f,e,g,a,c,d,h,f,e,i,g,a,e,b,b,f,b,b,f,c,h,j,h,f,i,a,j,e,c3
d,i,i,a,f,e,c,b,f,j,c,c,e,d,h,e,e,d,a,h,a,i,e,i,c,f,h,g,i,b,c5
f,f,b,f,j,e,e,a,j,d,a,a,h,i,h,a,f,j,h,b,j,f,e,g,h,f,c,d,b,j,c1
c,a,f,b,a,c,c,j,h,b,c,g,b,g,g,h,b,g,c,b,f,j,h,j,f,f,i,h,i,e,c3
d,i,i,j,c,f,c,h,f,e,h,c,h,d,c,f,e,i,a,c,a,c,e,c,c,f,i,b,f,a,c5
b,i,b,c,b,d,b,d,h,b,d,d,c,d,i,e,g,c,i,j,f,j,i,g,f,b,j,b,c,b,c2
e,b,e,i,c,j,j,f,h,j,d,i,d,f,b,b,f,h,h,e,f,i,c,h,b,b,c,j,f,h,c4
c,a,f,f,f,j,c,i,h,h,d,g,i,c,a,a,b,h,a,b,f,e,h,j,f,f,i,a,a,b,c3
g,f,b,f,h,h,d,a,d,i,a,a,c,c,h,a,i,d,j,b,e,f,e,h,g,f,h,e,b,a,c1
c,f,b,f,g,c,d,f,c,d,a,d,d,d,h,a,j,b,b,b,d,f,e,b,c,f,a,h,b,i,c1
d,i,f,d,c,a,c,g,f,d,b,c,d,d,c,c,e,b,a,f,c,g,e,j,c,f,j,e,i,h,c5
d,i,j,c,a,h,c,h,f,d,h,c,c,d,f,g,e,f,a,h,i,f,e,a,c,f,g,a,d,d,c5
b,g,d,c,b,h,b,d,h,b,d,d,f,d,a,j,g,c,h,j,j,j,c,e,f,b,j,a,c,a,c2
c,a,f,d,j,a,c,a,h,f,d,f,a,f,d,c,b,a,a,b,e,h,h,j,d,f,i,d,b,f,c3
d,i,g,a,e,j,c,j,f,d,a,c,e,d,g,i,e,e,a,j,h,a,e,g,c,f,g,j,j,e,c5
d,g,c,i,b,d,b,d,h,b,d,c,b,d,d,f,b,c,h,j,e,j,h,j,f,b,b,a,g,b,c2
d,d,h,i,f,g,i,c,f,j,d,j,d,d,e,b,f,h,j,j,a,d,e,h,b,b,e,g,f,h,c4
d,i,h,a,g,g,c,f,f,i,e,c,g,d,d,f,e,b,a,f,e,h,e,a,c,f,b,e,b,g,c5
i,f,i,a,b,b,b,d,h,b,d,d,f,d,j,h,i,c,a,j,b,i,a,h,f,b,e,h,g,j,c2
d,i,g,e,f,a,c,i,f,h,c,c,g,d,d,d,e,e,a,b,c,e,e,g,c,f,j,f,f,h,c5
d,i,i,c,h,h,c,a,f,f,f,c,h,d,c,c,e,b,a,d,e,i,e,d,c,f,e,j,a,e,c5
e,b,d,i,d,c,h,a,j,h,d,h,d,f,e,b,f,h,b,i,g,j,j,h,b,b,j,i,f,h,c4
d,i,f,h,j,d,c,h,f,d,h,c,i,d,g,e,e,c,a,h,h,f,e,i,c,f,f,h,a,c,c5
c,a,f,d,g,e,c,a,h,j,i,d,a,i,f,a,b,a,g,b,i,i,h,j,e,f,i,i,i,b,c3
h,e,e,i,b,h,b,d,h,b,d,b,e,d,g,b,h,c,i,j,f,c,c,b,f,b,h,h,f,g,c2
d,f,b,f,c,g,d,c,h,h,a,a,a,h,h,a,b,h,d,b,i,f,e,i,f,f,i,h,b,e,c1
a,f,b,f,a,d,d,b,b,a,a,j,j,j,h,a,a,c,c,b,d,f,e,b,h,f,j,d,b,h,c1
c,a,f,j,f,g,c,b,h,e,g,c,h,d,c,d,b,c,b,b,j,i,h,j,c,f,i,a,h,a,c3
d,j,g,i,f,d,i,b,e,d,d,c,d,h,j,b,f,h,a,h,d,i,h,h,b,b,c,j,f,h,c4
a,e,j,a,b,g,b,d,h,b,d,a,j,d,b,e,j,c,a,j,d,h,a,h,f,b,j,b,c,i,c2
c,g,e,b,b,i,b,d,h,b,d,j,d,d,c,c,j,c,g,j,i,d,f,e,f,b,d,h,h,d,c2
c,a,f,i,b,b,c,i,h,c,f,c,j,a,e,a,b,g,e,b,a,d,h,j,i,f,i,g,b,i,c3
d,i,i,g,h,d,c,i,f,b,a,c,a,d,h,i,e,e,a,h,a,j,e,e,c,f,c,f,c,d,c5
a,f,b,f,e,b,h,j,h,c,a,i,i,i,h,a,d,d,f,b,g,f,e,h,b,f,e,f,b,c,c1
d,i,h,a,i,f,c,i,f,i,h,c,a,d,c,d,e,d,a,b,b,f,e,c,c,f,j,h,a,e,c5
i,i,j,i,b,a,b,d,h,b,d,i,a,d,d,j,a,c,d,j,g,g,i,j,f,b,j,e,i,g,c2
d,b,f,h,b,f,b,d,h,b,d,i,c,d,e,b,j,c,h,j,a,b,c,e,f,b,e,d,d,a,c2
j,h,d,i,f,e,b,h,c,d,d,b,d,i,e,b,f,h,c,b,f,c,b,h,b,b,i,c,f,h,c4
a,f,g,b,b,f,b,d,h,b,d,a,h,d,j,f,h,c,a,j,g,d,e,f,f,b,i,f,e,j,c2
e,h,i,j,b,j,b,d,h,b,d,b,f,d,d,d,c,c,h,j,d,f,f,b,f,b,i,b,g,g,c2
d,i,h,b,c,d,c,j,f,d,d,c,b,d,f,c,e,a,a,j,j,g,e,c,c,f,a,c,a,d,c5
d,i,b,a,j,a,c,h,f,b,j,c,g,d,c,d,e,a,a,h,d,c,e,h,c,f,a,f,j,e,c5
a,e,d,i,h,d,j,e,i,a,d,d,d,d,h,b,f,h,j,d,d,a,g,h,b,b,g,d,f,h,c4
i,c,d,h,b,g,b,d,h,b,d,d,c,d,c,j,d,c,d,j,e,g,b,d,f,b,e,d,c,h,c2
h,f,b,f,f,f,h,e,a,g,a,h,c,i,h,a,j,j,e,b,e,f,e,j,j,f,a,e,b,j,c1
d,f,b,f,g,e,j,e,i,h,a,a,b,f,h,a,a,b,g,b,f,f,e,g,f,f,f,h,b,g,c1
g,b,b,i,a,b,i,e,g,d,d,f,d,c,g,b,f,h,j,c,h,f,b,h,b,b,g,a,f,h,c4
i,c,b,i,b,d,b,d,h,b,d,a,c,d,c,c,g,c,j,j,d,b,h,a,f,b,b,a,c,j,c2
c,a,f,f,j,d,c,h,h,a,f,f,j,d,g,f,b,g,c,b,f,g,h,j,g,f,i,j,g,g,c3
c,f,i,i,j,g,a,c,f,f,d,d,d,h,b,b,f,h,h,a,a,f,a,h,b,b,c,i,f,h,c4
c,a,f,b,g,f,c,f,h,c,j,f,j,h,b,h,b,j,e,b,j,c,h,j,a,f,i,h,b,h,c3
g,a,a,i,b,a,a,b,d,g,d,j,d,d,g,b,f,h,g,i,a,i,c,h,b,b,i,a,f,h,c4
e,f,b,f,c,b,i,c,c,i,a,j,g,f,h,a,d,g,j,b,i,f,e,b,e,f,b,a,b,i,c1
d,i,e,b,f,e,c,b,f,a,c,c,c,d,f,h,e,h,a,d,e,a,e,j,c,f,i,f,c,i,c5
c,a,f,g,h,g,c,c,h,b,j,g,g,i,j,b,b,h,c,b,e,c,h,j,f,f,i,i,b,c,c3
e,f,b,f,g,b,j,a,c,b,a,i,h,c,h,a,f,h,c,b,f,f,e,h,h,f,a,g,b,h,c1
j,f,b,f,a,b,d,d,c,b,a,a,h,f,h,a,j,f,c,b,f,f,e,i,h,f,c,h,b,f,c1
d,h,f,i,h,b,b,h,g,g,d,e,d,h,a,b,f,h,d,f,h,i,c,h,b,b,i,f,f,h,c4
a,j,i,i,b,b,a,d,d,f,d,c,d,c,d,b,f,h,h,h,c,b,d,h,b,b,d,j,f,h,c4
d,i,c,i,b,a,b,d,h,b,d,h,b,d,j,c,d,c,g,j,e,f,b,e,f,b,g,b,e,j,c2
c,a,f,j,i,e,c,e,h,g,a,i,e,f,f,i,b,d,a,b,h,c,h,j,e,f,i,i,h,c,c3
h,i,c,h,b,f,b,d,h,b,d,i,d,d,b,a,f,c,e,j,d,a,b,g,f,b,j,c,e,d,c2
d,i,d,c,c,c,c,e,f,b,a,c,h,d,h,h,e,j,a,c,f,e,e,h,c,f,f,f,j,i,c5
c,a,f,c,a,d,c,c,h,j,e,b,i,h,f,h,b,a,e,b,a,g,h,j,g,f,i,f,i,e,c3
f,f,b,f,c,d,j,c,i,a,a,h,e,g,h,a,g,c,e,b,b,f,e,c,i,f,e,b,b,c,c1
d,i,c,h,a,a,c,d,f,a,d,c,a,d,c,g,e,d,a,a,h,b,e,i,c,f,d,h,b,f,c5
h,f,b,f,e,c,i,a,b,c,a,h,e,i,h,a,i,f,d,b,e,f,e,c,b,f,a,a,b,f,c1
j,f,b,f,g,c,b,f,i,h,a,g,j,h,h,a,e,j,d,b,d,f,e,f,d,f,e,e,b,a,c1
d,i,i,d,h,c,c,h,f,i,d,c,e,d,a,a,e,j,a,h,j,h,e,e,c,f,c,d,c,b,c5
a,g,e,f,b,d,b,d,h,b,d,e,e,d,c,j,i,c,d,j,f,c,c,c,f,b,d,d,e,g,c2
e,e,c,i,b,i,a,f,g,b,d,d,d,f,g,b,f,h,g,d,f,a,e,h,b,b,j,i,f,h,c4
c,a,f,f,f,b,c,j,h,c,g,f,i,b,j,b,b,b,f,b,f,e,h,j,e,f,i,j,e,c,c3
c,a,f,i,f,b,c,d,h,d,i,a,d,f,f,g,b,e,b,b,b,d,h,j,i,f,i,e,a,d,c3
d,i,b,b,a,d,c,c,f,b,a,c,e,d,j,f,e,c,a,c,f,a,e,c,c,f,j,d,b,g,c5
d,i,c,g,b,d,c,j,f,b,b,c,h,d,b,f,e,b,a,g,i,d,e,e,c,f,i,d,d,f,c5
c,c,j,i,b,b,i,c,c,j,d,i,d,f,b,b,f,h,f,i,d,e,f,h,b,b,f,i,f,h,c4
d,i,d,d,c,b,c,i,f,b,d,c,h,d,i,i,e,i,a,b,i,b,e,f,c,f,c,j,f,d,c5
d,i,c,g,a,h,c,i,f,a,g,c,h,d,j,c,e,j,a,d,g,j,e,f,c,f,i,f,b,h,c5
a,g,c,i,i,d,g,i,e,h,d,h,d,e,i,b,f,h,i,e,i,d,b,h,b,b,j,d,f,h,c4
i,a,h,i,g,i,c,h,b,c,d,c,d,g,f,b,f,h,e,d,f,j,e,h,b,b,c,c,f,h,c4
c,a,f,e,f,g,c,g,h,f,f,a,g,f,b,j,b,g,d,b,i,a,h,j,a,f,i,i,e,f,c3
d,i,f,i,a,j,c,e,f,g,i,c,c,d,f,h,e,f,a,c,f,a,e,b,c,f,j,i,c,j,c5
e,i,e,i,i,a,c,a,e,b,d,i,d,b,g,b,f,h,a,a,c,i,b,h,b,b,b,d,f,h,c4
d,i,i,a,f,i,c,j,f,f,a,c,a,d,h,d,e,c,a,c,i,d,e,f,c,f,d,e,b,g,c5
g,d,g,a,b,i,b,d,h,b,d,b,g,d,a,i,j,c,c,j,d,f,j,d,f,b,g,j,h,b,c2
d,i,j,e,f,h,c,d,f,d,e,c,i,d,a,c,e,f,a,f,c,b,e,c,c,f,g,g,b,e,c5
b,f,b,f,d,d,c,j,e,h,a,a,h,h,h,a,b,g,c,b,b,f,e,a,g,f,i,b,b,h,c1
d,c,i,c,b,g,b,d,h,b,d,c,i,d,i,d,g,c,i,j,a,g,i,g,f,b,b,h,f,e,c2
d,i,g,a,j,e,c,d,f,f,c,c,f,d,a,h,e,j,a,h,e,a,e,b,c,f,f,d,f,h,c5
f,f,f,d,b,d,b,d,h,b,d,b,a,d,e,d,c,c,c,j,i,c,c,a,f,b,d,j,b,e,c2
c,a,f,b,g,b,c,j,h,i,g,g,c,f,h,i,b,d,i,b,j,j,h,j,g,f,i,a,i,c,c3
c,a,f,a,j,g,c,e,h,i,c,f,a,b,i,a,b,h,f,b,g,c,h,j,c,f,i,e,j,g,c3
c,a,f,i,c,b,c,j,h,j,a,i,i,c,g,c,b,h,e,b,i,a,h,j,c,f,i,i,i,j,c3
d,h,d,i,b,b,b,d,h,b,d,g,g,d,i,a,g,c,d,j,g,h,a,g,f,b,c,c,f,i,c2
h,f,b,f,g,j,j,j,e,i,a,e,i,h,h,a,g,d,a,b,a,f,e,c,a,f,d,j,b,d,c1
d,i,b,e,e,e,c,a,f,e,i,c,b,d,j,j,e,a,a,j,f,d,e,i,c,f,e,h,f,f,c5
c,g,g,i,i,b,b,e,i,i,d,d,d,e,i,b,f,h,i,i,f,b,h,h,b,b,i,d,f,h,c4
i,f,b,f,g,d,g,i,g,f,a,e,h,f,h,a,i,h,g,b,j,f,e,g,f,f,i,g,b,f,c1
d,i,f,h,g,f,c,g,f,c,b,c,d,d,c,j,e,i,a,c,d,d,e,g,c,f,h,d,a,e,c5
h,h,j,j,b,d,b,d,h,b,d,j,c,d,g,f,i,c,f,j,a,g,h,c,f,b,f,d,c,e,c2
d,i,g,i,a,h,c,i,f,f,a,c,g,d,c,i,e,g,a,d,c,b,e,c,c,f,h,i,e,f,c5
c,a,f,i,d,a,c,d,h,d,f,c,e,g,j,a,b,e,a,b,f,g,h,j,e,f,i,c,e,b,c3
h,f,b,f,a,j,a,a,b,j,a,f,c,j,h,a,j,f,d,b,c,f,e,g,g,f,j,d,b,i,c1
e,h,j,h,b,i,b,d,h,b,d,e,g,d,c,c,b,c,d,j,f,e,h,b,f,b,d,d,b,g,c2
d,i,b,i,d,b,c,d,f,h,f,c,g,d,c,g,e,h,a,i,c,i,e,i,c,f,d,c,b,e,c5
d,i,j,h,a,b,c,b,f,h,c,c,j,d,j,f,e,e,a,b,b,d,e,f,c,f,i,j,i,f,c5
e,e,b,c,b,b,b,d,h,b,d,j,b,d,e,b,a,c,j,j,d,e,d,h,f,b,e,i,c,a,c2
b,f,b,f,e,i,a,a,d,c,a,h,a,h,h,a,a,i,c,b,e,f,e,h,a,f,j,e,b,h,c1
d,i,f,h,f,h,c,j,f,d,d,c,f,d,e,d,e,b,a,c,h,a,e,d,c,f,e,i,d,d,c5
c,a,f,b,j,b,c,e,h,b,c,b,g,f,e,h,b,b,h,b,d,i,h,j,j,f,i,b,f,c,c3
g,f,g,i,g,g,b,f,d,j,d,f,d,g,i,b,f,h,h,b,d,i,i,h,b,b,d,g,f,h,c4
h,f,b,f,i,i,b,j,g,b,a,h,f,d,h,a,g,a,c,b,h,f,e,d,i,f,h,f,b,f,c1
d,i,g,e,a,g,c,h,f,h,b,c,g,d,h,j,e,h,a,b,b,b,e,g,c,f,i,c,f,d,c5
c,d,d,i,a,h,j,a,a,j,d,g,d,i,g,b,f,h,b,b,b,f,e,h,b,b,g,h,f,h,c4
c,a,f,d,b,c,c,c,h,d,i,c,j,e,i,b,b,b,h,b,f,h,h,j,e,f,i,j,d,h,c3
a,g,f,e,b,b,b,d,h,b,d,e,d,d,g,g,g,c,g,j,a,i,b,b,f,b,c,a,b,h,c2
c,a,f,c,e,i,c,a,h,g,e,e,b,g,a,f,b,h,g,b,b,b,h,j,d,f,i,a,c,g,c3
j,b,a,i,h,g,a,a,d,j,d,e,d,e,b,b,f,h,h,b,b,i,f,h,b,b,e,g,f,h,c4
c,g,b,i,i,e,g,e,h,i,d,h,d,f,h,b,f,h,d,f,c,d,g,h,b,b,d,a,f,h,c4
d,f,b,f,b,c,c,g,i,d,a,c,c,f,h,a,c,g,e,b,f,f,e,a,i,f,h,f,b,c,c1
d,i,i,i,h,b,c,h,f,j,e,c,g,d,f,i,e,d,a,a,d,j,e,g,c,f,j,c,j,b,c5
d,c,j,b,b,d,b,d,h,b,d,j,i,d,c,i,g,c,a,j,b,g,a,a,f,b,f,h,a,h,c2
c,a,f,c,g,f,c,d,h,f,e,j,j,c,i,d,b,b,c,b,h,h,h,j,e,f,i,i,b,d,c3
c,a,f,e,i,d,c,d,h,e,e,h,h,a,e,a,b,a,f,b,c,c,h,j,g,f,i,h,a,c,c3
a,g,i,e,b,f,b,d,h,b,d,a,b,d,c,b,g,c,j,j,c,b,g,j,f,b,g,f,f,g,c2
d,i,g,h,c,f,c,a,f,i,d,c,b,d,a,g,e,e,a,f,e,e,e,b,c,f,j,b,b,d,c5
d,g,f,i,b,f,b,d,h,b,d,i,b,d,c,i,i,c,b,j,i,g,i,h,f,b,c,b,h,b,c2
c,f,b,f,g,e,b,e,c,f,a,j,i,b,h,a,a,g,d,b,e,f,e,b,g,f,d,i,b,g,c1
d,i,c,a,d,f,c,b,f,d,j,c,e,d,c,f,e,j,a,i,h,j,e,f,c,f,i,e,h,b,c5
c,a,f,d,c,b,c,c,h,e,j,e,g,e,c,h,b,a,i,b,a,j,h,j,i,f,i,e,f,c,c3
c,a,f,e,d,g,c,d,h,g,j,g,h,h,c,e,b,f,e,b,c,c,h,j,c,f,i,g,b,e,c3
j,f,b,f,c,b,h,h,e,c,a,c,b,a,h,a,b,g,j,b,a,f,e,a,c,f,h,f,b,g,c1
h,f,b,f,g,e,c,i,e,e,a,i,a,f,h,a,i,e,e,b,c,f,e,a,b,f,e,a,b,d,c1
c,a,f,d,d,d,c,i,h,f,h,f,c,i,a,d,b,h,a,b,b,f,h,j,j,f,i,j,j,d,c3
d,i,j,a,h,a,c,e,f,b,a,c,b,d,c,b,e,j,a,c,j,a,e,b,c,f,a,e,g,h,c5
i,e,b,a,b,e,b,d,h,b,d,a,j,d,g,g,g,c,c,j,g,j,i,b,f,b,c,e,a,d,c2
d,i,f,j,b,e,c,j,f,g,i,c,g,d,c,c,e,j,a,d,a,f,e,j,c,f,i,h,e,f,c5
c,j,i,i,h,g,d,e,a,i,d,g,d,d,g,b,f,h,h,h,j,j,a,h,b,b,c,g,f,h,c4
d,i,e,j,h,h,c,b,f,j,e,c,h,d,i,f,e,f,a,c,i,g,e,e,c,f,g,d,f,d,c5
c,a,f,b,i,b,c,g,h,a,b,a,c,i,c,e,b,a,j,b,b,d,h,j,e,f,i,f,j,j,c3
a,f,b,f,c,i,g,h,i,i,a,d,a,a,h,a,h,d,e,b,c,f,e,h,f,f,e,b,b,a,c1
g,f,b,f,f,h,i,e,c,d,a,h,b,h,h,a,e,e,b,b,d,f,e,a,a,f,a,g,b,e,c1
c,a,f,e,f,h,c,i,h,h,b,e,h,d,a,g,b,i,d,b,i,f,h,j,a,f,i,e,a,f,c3
h,f,b,f,e,g,a,d,c,i,a,c,g,i,h,a,b,h,c,b,g,f,e,f,i,f,g,h,b,j,c1
a,a,f,i,b,a,b,i,j,j,d,f,d,g,b,b,f,h,e,b,d,e,c,h,b,b,c,b,f,h,c4
f,b,e,i,d,i,j,i,e,j,d,d,d,h,g,b,f,h,g,b,g,c,f,h,b,b,h,i,f,h,c4
a,j,g,i,f,h,j,b,a,a,d,a,d,b,c,b,f,h,e,d,b,f,a,h,b,b,b,f,f,h,c4
d,i,b,d,b,g,c,d,f,i,h,c,d,d,g,h,e,b,a,d,h,g,e,a,c,f,f,b,c,j,c5
c,f,b,f,i,h,h,f,i,a,a,j,e,j,h,a,i,f,c,b,d,f,e,j,b,f,d,g,b,h,c1
a,e,d,e,b,g,b,d,h,b,d,b,d,d,c,f,f,c,i,j,b,i,e,j,f,b,a,e,d,e,c2
g,h,g,j,b,e,b,d,h,b,d,c,b,d,b,j,c,c,b,j,d,h,h,c,f,b,g,j,j,f,c2
d,b,a,i,b,a,f,d,c,g,d,j,d,i,a,b,f,h,d,a,j,c,c,h,b,b,c,f,f,h,c4
a,i,e,i,a,j,d,e,f,c,d,j,d,e,f,b,f,h,i,a,i,a,b,h,b,b,e,j,f,h,c4
a,e,e,g,b,b,b,d,h,b,d,e,c,d,h,e,c,c,g,j,j,e,g,c,f,b,f,c,h,i,c2
c,a,f,f,j,e,c,c,h,g,a,i,c,e,h,b,b,c,i,b,b,e,h,j,b,f,i,h,j,j,c3
b,a,f,a,b,f,b,d,h,b,d,g,a,d,i,j,f,c,a,j,f,c,j,e,f,b,h,d,b,f,c2
c,a,f,g,c,h,c,c,h,j,f,i,g,f,g,j,b,c,j,b,e,j,h,j,c,f,i,f,c,a,c3
g,c,b,i,a,b,d,j,b,h,d,b,d,f,f,b,f,h,e,j,g,f,f,h,b,b,g,f,f,h,c4
i,f,c,c,b,j,b,d,h,b,d,d,f,d,f,i,g,c,j,j,f,b,c,g,f,b,i,f,g,j,c2
d,i,h,a,b,b,c,h,f,g,f,c,c,d,f,b,e,c,a,d,g,c,e,b,c,f,j,a,j,j,c5
d,a,b,i,h,d,b,f,j,f,d,g,d,d,j,b,f,h,h,j,d,j,j,h,b,b,d,c,f,h,c4
d,i,j,h,d,b,c,a,f,d,e,c,i,d,e,a,e,c,a,j,f,d,e,d,c,f,j,b,i,c,c5
d,c,i,c,b,e,b,d,h,b,d,i,j,d,f,j,b,c,b,j,e,b,e,i,f,b,a,a,j,g,c2
h,f,b,f,c,c,d,a,g,b,a,j,h,d,h,a,g,a,f,b,c,f,e,c,a,f,h,h,b,g,c1
b,h,d,i,b,i,c,c,h,g,d,f,d,e,e,b,f,h,b,i,i,j,h,h,b,b,d,a,f,h,c4
i,g,h,i,g,f,f,e,e,e,d,i,d,f,h,b,f,h,c,h,c,i,a,h,b,b,e,d,f,h,c4
c,a,f,a,j,h,c,g,h,e,i,a,h,j,d,g,b,j,c,b,b,d,h,j,a,f,i,i,i,e,c3
c,a,f,a,g,i,c,a,h,f,c,e,c,i,h,a,b,h,i,b,b,j,h,j,c,f,i,b,g,f,c3
