@relation 20_10_5_10_10_500

@attribute A {e,b,f,g,d,h,i,a,j,c}
@attribute B {b,f,c,d,i,h,a,g,e,j}
@attribute C {i,e,b,a,g,h,c,d,j,f}
@attribute D {e,a,g,d,j,i,b,h,f,c}
@attribute E {a,c,e,g,h,j,d,f,i,b}
@attribute F {f,g,c,j,h,d,a,e,i,b}
@attribute G {g,i,a,j,c,h,f,e,b,d}
@attribute H {c,d,f,j,h,e,i,a,b,g}
@attribute I {i,d,e,f,a,h,g,b,c,j}
@attribute J {b,c,e,g,d,f,j,h,a,i}
@attribute K {a,h,d,c,e,i,g,j,f,b}
@attribute L {d,a,j,h,b,g,i,c,e,f}
@attribute M {b,i,h,j,c,e,g,f,d,a}
@attribute N {i,f,g,d,e,a,j,b,c,h}
@attribute O {c,h,i,g,b,e,j,f,d,a}
@attribute P {i,c,f,d,a,j,g,b,h,e}
@attribute Q {j,e,i,b,d,c,h,f,g,a}
@attribute R {g,c,b,d,h,a,j,i,e,f}
@attribute S {c,i,g,b,j,e,h,a,f,d}
@attribute T {d,a,e,h,c,g,f,b,i,j}
@attribute Class {c5,c1,c4,c2,c3}

@data
d,a,e,b,h,a,g,g,a,f,g,d,j,e,g,d,b,g,j,d,c2
a,e,e,g,c,c,i,i,d,a,h,a,i,f,h,d,e,f,h,a,c1
g,d,e,f,a,h,a,i,h,d,c,h,e,i,g,a,e,d,g,h,c3
i,a,b,b,h,h,g,j,a,e,c,f,j,h,g,d,b,g,j,j,c2
g,d,e,a,i,i,j,e,h,d,c,h,c,a,f,a,e,d,g,h,c3
c,a,e,b,h,i,g,f,a,i,j,a,j,c,g,d,b,g,j,b,c2
g,d,b,a,i,g,h,a,d,c,d,j,h,f,i,f,i,c,i,d,c4
b,a,a,b,h,j,g,c,a,i,f,f,j,a,g,d,b,g,j,f,c2
g,d,e,b,j,b,e,d,h,d,j,h,e,a,b,a,e,d,g,h,c3
g,d,e,g,d,g,a,c,h,d,a,h,e,j,g,a,e,d,g,h,c3
e,b,i,c,i,f,g,c,i,b,i,d,c,g,c,i,c,i,b,d,c5
g,d,e,g,b,c,e,d,h,d,a,h,i,f,f,a,e,d,g,h,c3
a,a,g,b,h,c,g,d,a,c,a,d,j,b,g,d,b,g,j,d,c2
g,d,e,f,b,i,c,a,h,d,g,h,a,a,e,a,e,d,g,h,c3
e,e,i,j,h,f,g,c,i,b,i,d,b,h,c,i,e,b,i,d,c5
g,d,e,f,d,c,i,e,h,d,d,h,d,j,c,a,e,d,g,h,c3
e,d,b,d,e,e,f,a,j,c,d,j,h,a,i,f,i,c,i,d,c4
e,a,j,b,h,i,g,h,a,b,h,f,j,g,g,d,b,g,j,g,c2
a,i,b,j,g,e,f,c,b,c,d,j,h,i,i,f,i,c,i,d,c4
j,i,e,i,c,b,i,h,d,e,h,a,i,f,h,h,e,j,a,a,c1
g,e,b,c,d,j,a,d,e,c,d,j,h,f,i,f,i,c,i,d,c4
g,d,e,e,g,c,i,a,h,d,e,h,e,d,b,a,e,d,g,h,c3
e,f,i,g,c,f,g,c,i,b,d,d,d,a,c,i,a,g,c,d,c5
g,h,e,d,c,d,i,f,d,d,h,a,i,f,h,e,e,g,j,a,c1
d,g,e,f,c,c,i,f,d,i,h,a,i,f,h,a,e,f,d,a,c1
i,a,b,i,j,c,a,a,c,c,d,j,h,e,i,f,i,c,i,d,c4
e,j,e,c,c,b,i,a,d,a,h,a,i,f,h,i,e,g,i,a,c1
g,f,e,d,c,j,i,c,d,e,h,a,i,f,h,e,e,b,h,a,c1
h,h,e,j,c,b,i,c,d,d,h,a,i,f,h,c,e,b,j,a,c1
j,i,e,d,c,j,i,i,d,g,h,a,i,f,h,d,e,h,e,a,c1
e,j,i,d,g,f,g,c,i,b,a,d,e,i,c,i,g,i,b,d,c5
g,d,e,d,i,g,f,i,h,d,f,h,i,j,i,a,e,d,g,h,c3
e,c,i,f,h,f,g,c,i,b,c,d,i,f,c,i,h,i,i,d,c5
e,a,g,b,h,a,g,j,a,j,g,i,j,a,g,d,b,g,j,h,c2
f,a,g,b,h,i,g,d,a,i,d,e,j,c,g,d,b,g,j,a,c2
a,g,b,e,f,j,g,e,f,c,d,j,h,f,i,f,i,c,i,d,c4
i,e,b,e,f,h,e,j,f,c,d,j,h,j,i,f,i,c,i,d,c4
h,d,b,j,g,a,g,g,d,c,d,j,h,f,i,f,i,c,i,d,c4
g,d,e,e,d,c,i,c,h,d,d,h,d,f,a,a,e,d,g,h,c3
g,d,e,i,h,g,a,c,h,d,d,h,b,g,j,a,e,d,g,h,c3
c,a,g,b,h,c,g,b,a,b,g,f,j,d,g,d,b,g,j,f,c2
g,d,e,i,j,h,j,g,h,d,d,h,d,f,e,a,e,d,g,h,c3
i,f,b,a,e,h,j,a,f,c,d,j,h,c,i,f,i,c,i,d,c4
a,i,e,f,c,e,i,a,d,d,h,a,i,f,h,b,e,b,f,a,c1
g,d,e,j,j,e,f,j,h,d,f,h,b,g,e,a,e,d,g,h,c3
e,d,i,g,f,f,g,c,i,b,d,d,j,b,c,i,f,d,c,d,c5
a,e,e,a,c,g,i,g,d,i,h,a,i,f,h,e,e,f,g,a,c1
h,c,e,j,c,a,i,i,d,f,h,a,i,f,h,c,e,d,a,a,c1
e,d,i,h,d,f,g,c,i,b,f,d,e,d,c,i,d,d,e,d,c5
b,i,e,d,c,c,i,g,d,g,h,a,i,f,h,g,e,e,d,a,c1
b,h,e,c,c,c,i,a,d,i,h,a,i,f,h,j,e,j,i,a,c1
g,d,e,f,b,h,c,e,h,d,g,h,f,i,b,a,e,d,g,h,c3
g,d,e,c,d,g,b,g,h,d,h,h,e,c,a,a,e,d,g,h,c3
g,d,e,a,a,e,h,a,h,d,e,h,b,a,h,a,e,d,g,h,c3
h,a,j,b,h,i,g,d,a,b,j,g,j,d,g,d,b,g,j,b,c2
b,a,d,b,h,f,g,j,a,b,g,g,j,f,g,d,b,g,j,j,c2
e,a,i,g,h,f,g,c,i,b,i,d,h,c,c,i,f,d,e,d,c5
e,e,i,a,d,f,g,c,i,b,i,d,h,d,c,i,a,i,d,d,c5
e,i,i,h,d,f,g,c,i,b,b,d,c,f,c,i,i,j,h,d,c5
g,d,e,i,b,e,d,d,h,d,h,h,f,d,c,a,e,d,g,h,c3
h,e,b,h,g,b,c,f,d,c,d,j,h,h,i,f,i,c,i,d,c4
f,h,b,i,i,i,b,b,h,c,d,j,h,h,i,f,i,c,i,d,c4
i,a,e,b,h,h,g,c,a,c,c,g,j,d,g,d,b,g,j,j,c2
e,g,i,d,d,f,g,c,i,b,i,d,g,f,c,i,e,b,e,d,c5
g,d,e,d,h,h,d,j,h,d,b,h,a,a,h,a,e,d,g,h,c3
e,b,e,d,c,b,i,i,d,i,h,a,i,f,h,d,e,e,e,a,c1
i,d,e,g,c,g,i,a,d,a,h,a,i,f,h,j,e,b,j,a,c1
j,a,j,b,h,i,g,h,a,b,b,h,j,j,g,d,b,g,j,i,c2
e,f,i,d,h,f,g,c,i,b,h,d,e,d,c,i,h,a,g,d,c5
e,i,i,h,j,f,g,c,i,b,e,d,h,f,c,i,j,c,g,d,c5
h,a,g,b,h,h,g,g,a,d,g,f,j,h,g,d,b,g,j,f,c2
a,g,e,i,c,g,i,f,d,g,h,a,i,f,h,e,e,g,e,a,c1
g,d,e,a,i,h,a,f,h,d,g,h,f,a,i,a,e,d,g,h,c3
e,h,i,d,c,f,g,c,i,b,c,d,d,j,c,i,g,i,j,d,c5
c,c,b,b,a,f,c,f,b,c,d,j,h,a,i,f,i,c,i,d,c4
g,d,e,g,i,h,d,g,h,d,d,h,f,i,a,a,e,d,g,h,c3
j,a,b,b,h,i,g,i,a,i,f,f,j,h,g,d,b,g,j,d,c2
g,d,e,h,f,d,b,e,h,d,b,h,j,f,f,a,e,d,g,h,c3
f,a,b,b,h,j,g,i,a,i,h,f,j,g,g,d,b,g,j,h,c2
i,a,b,e,e,d,b,e,h,c,d,j,h,i,i,f,i,c,i,d,c4
g,d,e,i,f,j,c,j,h,d,d,h,h,e,g,a,e,d,g,h,c3
b,a,b,b,h,h,g,d,a,a,c,f,j,c,g,d,b,g,j,e,c2
g,d,e,a,b,a,e,d,h,d,e,h,a,g,d,a,e,d,g,h,c3
g,f,b,i,b,i,h,d,e,c,d,j,h,i,i,f,i,c,i,d,c4
h,i,b,i,a,j,b,f,e,c,d,j,h,f,i,f,i,c,i,d,c4
g,d,e,g,g,f,j,g,h,d,c,h,d,c,d,a,e,d,g,h,c3
g,d,e,a,c,a,b,e,h,d,e,h,i,h,i,a,e,d,g,h,c3
e,g,b,b,f,h,h,a,f,c,d,j,h,j,i,f,i,c,i,d,c4
j,a,b,b,h,i,g,f,a,b,g,i,j,f,g,d,b,g,j,e,c2
h,f,b,e,b,f,g,j,h,c,d,j,h,d,i,f,i,c,i,d,c4
g,d,e,b,e,d,c,d,h,d,c,h,d,d,f,a,e,d,g,h,c3
e,h,i,g,i,f,g,c,i,b,b,d,f,i,c,i,c,g,f,d,c5
a,a,a,b,h,a,g,i,a,j,b,h,j,d,g,d,b,g,j,i,c2
a,f,b,c,b,h,d,d,c,c,d,j,h,c,i,f,i,c,i,d,c4
f,a,c,b,h,j,g,e,a,d,c,b,j,f,g,d,b,g,j,a,c2
h,c,b,b,f,h,a,i,d,c,d,j,h,h,i,f,i,c,i,d,c4
c,a,h,b,h,c,g,c,a,c,j,c,j,a,g,d,b,g,j,h,c2
e,j,i,f,j,f,g,c,i,b,e,d,e,h,c,i,c,i,c,d,c5
e,d,i,h,b,f,g,c,i,b,j,d,c,i,c,i,h,c,b,d,c5
i,d,e,j,c,j,i,i,d,a,h,a,i,f,h,i,e,g,j,a,c1
g,d,e,c,a,b,c,e,h,d,f,h,f,e,b,a,e,d,g,h,c3
h,b,e,h,c,d,i,a,d,e,h,a,i,f,h,f,e,j,e,a,c1
e,b,i,j,d,f,g,c,i,b,j,d,i,c,c,i,i,c,a,d,c5
g,d,e,a,c,c,a,g,h,d,e,h,c,f,f,a,e,d,g,h,c3
e,e,i,f,f,f,g,c,i,b,i,d,b,e,c,i,g,f,e,d,c5
e,h,i,a,h,f,g,c,i,b,c,d,h,h,c,i,g,j,a,d,c5
g,a,b,b,h,b,g,f,a,i,a,i,j,f,g,d,b,g,j,d,c2
h,a,e,b,h,j,g,e,a,a,d,i,j,c,g,d,b,g,j,c,c2
i,a,b,a,g,d,f,j,f,c,d,j,h,i,i,f,i,c,i,d,c4
g,d,e,c,i,j,h,c,h,d,a,h,f,f,h,a,e,d,g,h,c3
e,i,b,i,h,i,h,d,d,c,d,j,h,c,i,f,i,c,i,d,c4
g,a,b,b,h,c,g,b,a,b,j,d,j,a,g,d,b,g,j,h,c2
e,d,i,c,d,f,g,c,i,b,j,d,f,f,c,i,a,i,i,d,c5
a,e,b,d,c,e,h,g,f,c,d,j,h,i,i,f,i,c,i,d,c4
i,a,b,g,b,h,b,d,g,c,d,j,h,c,i,f,i,c,i,d,c4
g,e,b,c,f,i,d,f,i,c,d,j,h,b,i,f,i,c,i,d,c4
j,e,b,h,e,j,a,j,a,c,d,j,h,a,i,f,i,c,i,d,c4
e,b,i,i,h,f,g,c,i,b,a,d,a,d,c,i,h,i,b,d,c5
a,a,b,b,h,a,g,d,a,a,e,c,j,a,g,d,b,g,j,b,c2
j,a,b,j,e,h,h,c,h,c,d,j,h,c,i,f,i,c,i,d,c4
g,a,e,b,c,j,i,g,d,a,h,a,i,f,h,a,e,f,d,a,c1
i,a,b,d,j,i,i,a,i,c,d,j,h,b,i,f,i,c,i,d,c4
c,a,b,h,i,e,d,d,c,c,d,j,h,a,i,f,i,c,i,d,c4
h,g,e,c,c,e,i,i,d,a,h,a,i,f,h,d,e,b,f,a,c1
b,b,e,b,c,c,i,i,d,e,h,a,i,f,h,e,e,f,e,a,c1
g,d,e,a,e,d,c,g,h,d,a,h,i,i,c,a,e,d,g,h,c3
c,e,b,h,h,c,f,f,a,c,d,j,h,a,i,f,i,c,i,d,c4
e,h,i,e,g,f,g,c,i,b,f,d,f,h,c,i,i,b,j,d,c5
e,f,b,g,f,j,g,j,h,c,d,j,h,b,i,f,i,c,i,d,c4
h,j,b,j,g,a,i,j,h,c,d,j,h,a,i,f,i,c,i,d,c4
f,a,a,b,h,g,g,d,a,e,a,j,j,g,g,d,b,g,j,j,c2
e,e,i,d,i,f,g,c,i,b,f,d,f,d,c,i,b,h,b,d,c5
j,j,e,i,c,f,i,f,d,f,h,a,i,f,h,d,e,j,a,a,c1
e,g,i,j,j,f,g,c,i,b,c,d,i,i,c,i,d,b,d,d,c5
c,i,e,e,c,d,i,c,d,d,h,a,i,f,h,d,e,a,f,a,c1
d,a,g,b,h,c,g,i,a,f,c,b,j,e,g,d,b,g,j,i,c2
h,c,b,g,e,b,d,d,e,c,d,j,h,g,i,f,i,c,i,d,c4
e,g,i,f,c,f,g,c,i,b,h,d,i,i,c,i,e,e,g,d,c5
a,b,b,j,j,b,j,f,e,c,d,j,h,c,i,f,i,c,i,d,c4
f,i,b,f,e,c,f,e,e,c,d,j,h,d,i,f,i,c,i,d,c4
e,g,i,g,c,f,g,c,i,b,d,d,f,b,c,i,b,a,e,d,c5
e,b,i,d,a,f,g,c,i,b,i,d,j,e,c,i,h,g,j,d,c5
b,a,e,h,c,h,i,c,d,a,h,a,i,f,h,d,e,i,a,a,c1
b,a,h,b,h,f,g,f,a,b,a,c,j,j,g,d,b,g,j,g,c2
g,d,e,h,e,b,d,b,h,d,j,h,e,c,i,a,e,d,g,h,c3
f,a,f,b,h,b,g,e,a,e,e,c,j,d,g,d,b,g,j,j,c2
j,g,b,f,b,i,c,a,g,c,d,j,h,f,i,f,i,c,i,d,c4
e,i,i,e,d,f,g,c,i,b,i,d,j,d,c,i,f,i,d,d,c5
e,f,i,c,e,f,g,c,i,b,d,d,b,f,c,i,e,b,a,d,c5
b,a,i,b,h,g,g,f,a,g,a,c,j,h,g,d,b,g,j,a,c2
f,e,e,a,c,b,i,a,d,e,h,a,i,f,h,c,e,h,b,a,c1
e,i,i,i,a,f,g,c,i,b,c,d,e,j,c,i,c,a,j,d,c5
i,h,b,g,f,d,a,g,d,c,d,j,h,a,i,f,i,c,i,d,c4
j,g,e,d,c,e,i,e,d,i,h,a,i,f,h,i,e,f,e,a,c1
e,e,i,f,f,f,g,c,i,b,i,d,a,d,c,i,i,f,c,d,c5
i,e,e,h,c,c,i,d,d,g,h,a,i,f,h,c,e,j,d,a,c1
g,j,e,a,c,b,i,c,d,b,h,a,i,f,h,f,e,j,a,a,c1
h,a,j,b,h,h,g,i,a,c,i,j,j,b,g,d,b,g,j,b,c2
e,b,i,f,b,f,g,c,i,b,e,d,c,i,c,i,c,i,i,d,c5
f,b,b,b,d,f,f,h,a,c,d,j,h,a,i,f,i,c,i,d,c4
e,j,b,a,i,c,e,h,j,c,d,j,h,b,i,f,i,c,i,d,c4
g,d,e,h,e,f,f,f,h,d,e,h,a,e,j,a,e,d,g,h,c3
e,a,i,j,f,f,g,c,i,b,a,d,d,h,c,i,f,h,i,d,c5
e,e,i,a,d,f,g,c,i,b,j,d,d,f,c,i,h,c,a,d,c5
e,g,i,g,j,f,g,c,i,b,i,d,i,c,c,i,e,d,b,d,c5
d,f,e,f,c,i,i,a,d,e,h,a,i,f,h,g,e,i,a,a,c1
h,a,b,b,i,b,a,j,j,c,d,j,h,a,i,f,i,c,i,d,c4
e,a,i,h,b,f,g,c,i,b,e,d,b,h,c,i,j,g,b,d,c5
g,d,e,f,c,j,b,i,h,d,j,h,j,j,b,a,e,d,g,h,c3
j,i,b,d,i,f,e,a,a,c,d,j,h,d,i,f,i,c,i,d,c4
