@relation data2

@attribute A {w,au,bx,cn,co,u,an,ca,ag,ak,q,o,cs,t,n,bs,aa,cj,be,br,ct,aw,ai,ah,z,l,cb,cu,bp,ck,a,cv,j,cd,cm,ba,ch,ap,aj,bq,cg,bk,am,h,bu,bt,g,cl,as,bf,bi,av,bj,e,bb,bl,at,ad,af,cr,cf,bg,ar,ab,k,ci,aq,ax,bh,v,az,ao,i,bd,c,bm,m,b,r,ae,bo,by,bw,f,d,cq,ce,bc,bv,bn,ac,y,al,p,s,bz,cc,ay}
@attribute B {ch,bz,a,i,bt,j,bl,bj,co,ac,ad,ai,af,aq,bu,l,cr,au,bk,y,ak,x,av,q,cu,bh,ci,bg,at,r,be,an,c,bf,u,bd,az,bw,bs,f,cm,p,k,cs,cl,g,bv,b,cp,bq,ao,by,s,ce,bm,cj,d,bo,ap,ba,bi,n,bx,cb,ay,cn,as,bc,al,h,m,cd,cq,ca,aa,cv,cf,z,aw,bp,t,cc,am,ar,aj,ab,o,cg,ah,bb,v,bn,e,ct,ck,w,ae,ax,ag,br}
@attribute C {s,ah,ai,y,af,be,cg,j,ce,bs,cq,bp,o,t,k,ct,as,ay,c,cn,bk,ag,bf,ch,cr,d,bz,cl,z,b,ac,i,cm,az,bo,at,ci,l,ap,x,bu,al,cu,cc,bl,ck,ao,ad,cf,by,co,n,bi,am,p,bw,m,ba,bb,bv,ca,aj,bd,cs,cd,bm,f,au,bj,bh,ak,an,u,bc,ae,cb,e,ar,bq,h,ab,aq,br,v,bx,bg,a,q,aw,cp,av,bn,g,r,bt,ax,cv}
@attribute D {an,bv}
@attribute E {cd,w,aa,v,bp,aj,co,cr,af,z,ch,ay,bo,ai,cs,cl,m,ba,bk,cj,d,r,ap,bs,br,l,ct,i,cc,cq,ae,au,bx,cm,o,bj,bv,f,c,be,cu,ca,b,av,x,bz,ac,cf,at,cn,ao,bm,bi,az,ci,g,bn,ag,bd,by,bl,am,ak,ax,cg,t,y,a,ad,k,h,aq,bq,ce,p,al,ck,bg,j,bu,an,u,bc,bt,bh,cv,s,bf,q,cp,bw,n,ab,ar,e,aw,cb}
@attribute F {bc,ar,ay,q,a,bx,as,bw,f,cm,p,cu,o,ct,r,k,bk,at,au,bg,bp,ao,e,av,bn,az,cp,be,bi,bb,ae,bo,cs,br,j,bs,g,m,h,cj,ce,cf,cq,v,am,bv,s,cl,cg,ad,ai,y,bq,x,n,ch,by,bh,l,d,b,aw,ck,bz,u,ax,bt,cc,i,aj,bj,ca,cn,ba,ah,bf,bl,ac,t,aa,aq,c,al,cb,bd,z,cv,ab,ci,an,bu,cd,co,cr,af,w,bm,ap,ak,ag}
@attribute G {bn,y,g,m,ax,k,az,ca,cb,h,bj,bv,cl,cs,bf,e,cq,i,z,ch,ct,as,w,ae,at,aw,f,ah,ac,bt,bz,cf,cc,cv,bq,ba,ab,r,cp,a,v,cu,bc,bg,bh,bd,ck,t,ao,bb,ce,am,ak,cr,l,c,o,bo,an,bp,s,ap,x,ay,cn,bu,ci,cg,cm,j,al,bs,n,bm,co,q,by,p,cd,bi,aa,au,bw,bl,aq,ag,bk,be,cj,ad,b,ar,ai,af,u,br,aj,av,d}
@attribute H {ax,bv,bq,be,d,ar,an,bf,bh,ah,t,cu,ck,cd,x,i,f,cl,bk,aj,y,bu,aw,ce,as,p,w,cn,ab,a,ct,cc,bg,cf,cv,s,ac,bb,bj,bx,bc,bs,z,o,q,cj,b,bd,r,au,cp,bt,aa,ad,bm,bw,k,n,al,at,ap,cg,ae,ao,j,ak,by,h,cr,ci,bp,bo,am,ba,bl,e,cs,cq,ca,bi,m,ay,br,c,ch,v,aq,ag,g,cm,l,u,av,cb,bz,af,ai,bn,az,co}
@attribute I {j,af,bm,bz,x,bw,ab,cn,bd,bi,bp,cd,m,q,w,bb,cc,cb,ao,ag,y,bs,bx,bf,aj,bu,bg,g,cm,ad,bc,cu,co,r,bn,bv,c,f,ae,ah,ac,bj,ay,aw,d,cf,i,z,ck,aq,u,cg,an,cj,ba,az,bo,cr,ap,bl,s,t,l,al,br,bt,be,ch,ca,bk,av,am,ce,ak,n,ct,b,cq,p,aa,bh,k,as,cp,bq,v,o,cl,by,ax,at,a,cs,au,h,ci,ai,ar,cv}
@attribute J {h,ax,ct,cm,v,bo,bp,aw,bf,o,x,bv,aa,br,ai,cl,j,bc,i,af,m,an,u,ce,r,bl,ay,at,az,ac,cb,au,e,bn,s,bu,al,ap,t,l,cc,ca,bz,b,co,f,bj,av,ba,cr,bq,bb,be,aj,ch,ar,bh,cp,cf,c,cj,q,bt,ah,cv,cs,y,ab,bw,ad,bx,a,cg,z,as,cu,bg,ae,k,w,ao,d,ck,ak,bk,ci,bm,g,p,ag,cn,cq,cd,am,n,bd,by,aq,bi,bs}
@attribute K {bh,as,v,cj,p,bu,x,bq,g,ay,t,ci,bm,ar,ai,bg,a,cc,y,aa,by,bk,l,cq,n,h,i,ag,ae,r,aw,cp,am,cb,ah,an,w,aq,bi,bn,br,bl,cm,o,b,co,q,cv,cr,be,bz,cf,bx,j,ca,ax,bf,al,au,bw,bt,ad,bv,f,m,bo,c,bc,cg,cu,az,z,cl,ao,aj,ac,bj,bs,d,ba,k,s,cd,cn,e,cs,ct,ck,bb,bp,at,ak,af,ce,ab,ap,ch,bd,u,av}
@attribute L {b,aq,af,al,bm,cc,y,ag,s,ba,co,ca,cv,u,l,aj,ct,v,cm,cr,bk,bi,am,bo,ao,i,bz,as,ah,o,bl,cl,d,a,ch,cq,c,bf,br,cs,ay,n,an,cj,ck,ai,cn,cb,ad,r,aw,m,au,bg,bt,bx,k,be,cp,bp,bw,bc,cf,x,ar,cg,by,ak,cd,ae,bn,q,h,bu,bd,at,bj,av,az,ab,aa,ap,bb,p,f,e,ci,bh,w,cu,ce,j,ax,g,ac,t,bq,bs,bv,z}
@attribute M {v,aq,bh,t,bt,cf,p,ao,ba,z,cu,b,bb,cs,ar,aw,ce,g,cp,cc,br,ag,m,e,bd,k,ck,n,cm,ci,cr,by,cg,l,d,co,bw,cn,bk,a,az,am,o,ca,ak,af,cj,cq,c,an,ap,h,ct,y,f,ay,bv,aj,bx,av,ch,ah,bp,bz,bn,bc,ai,bi,i,cv,w,ad,bu,bj,j,bm,au,at,s,r,bs,q,aa,bq,bf,cb,al,cd,bg,x,be,ax,u,ab,ac,ae,bl,cl,bo,as}
@attribute N {cb,bo,x,bv,v,u,ae,cj,ap,bq,g,cd,bd,aa,k,cc,be,bf,br,cm,at,co,ag,cu,cr,by,bc,bi,af,cl,bm,bn,w,ak,ci,d,bp,aq,bb,i,au,cs,ac,s,bj,aw,bh,j,f,ca,bg,t,aj,bz,r,q,n,bk,ab,cn,ba,b,cv,az,cp,ax,cg,bl,o,an,z,ay,l,a,h,c,bt,as,ao,ai,ch,bs,bw,am,ad,p,y,cq,e,bu,ct,m,ck,av,ah,al,bx,ce,cf,ar}
@attribute O {v,bl,cc,aa,bu,ca,ce,bq,cg,w,cb,ba,ay,i,co,cv,cq,bv,bh,z,q,m,g,as,bg,bs,f,cr,bz,bj,cu,t,o,az,bt,c,cf,ci,ae,ck,d,ao,a,bn,bc,cl,by,n,r,cn,bk,aj,ar,cm,s,af,cs,bw,cj,ai,x,j,aw,ct,bp,ax,ch,aq,cd,u,bm,br,l,av,be,bb,bf,k,cp,y,b,bi,au,am,ag,bd,ap,ab,ah,bx,e,ad,an,al,ak,bo,p,at,ac,h}
@attribute Class {c1,c2}

@data
cm,bg,s,an,bv,bs,bn,ax,j,r,bl,o,h,cb,bk,c1
bx,bs,bo,bv,aa,aw,f,bb,y,ct,am,af,ct,aa,t,c2
bx,an,b,bv,aa,ck,bc,bj,ac,ct,al,af,aq,v,f,c2
bx,i,l,bv,aa,x,bg,bx,bx,ct,cq,af,ah,bh,ax,c2
bx,be,az,bv,aa,ao,bh,bk,bj,ct,au,af,cu,q,f,c2
o,at,s,an,f,az,bn,ax,j,bu,bk,c,bp,ab,ch,c1
bx,cp,ap,bv,aa,bz,bd,p,ay,ct,bu,af,bz,aa,d,c2
br,bm,s,an,aj,au,bn,ax,j,al,au,bo,bn,cv,o,c1
bx,x,x,bv,aa,u,at,bx,co,ct,bw,af,cg,br,bg,c2
ai,cj,s,an,c,cj,bn,ax,j,cb,bi,bf,bc,b,o,c1
bx,ch,bu,bv,aa,b,ck,y,bi,ct,n,af,ai,b,aq,c2
bx,d,al,bv,aa,ax,t,an,ac,ct,q,af,bi,az,cd,c2
ba,bo,s,an,be,bv,bn,ax,j,ap,cp,br,i,cp,ct,c1
ba,cu,s,an,aa,cg,bn,ax,j,t,j,cq,bk,bq,u,c1
bx,az,bf,bv,aa,as,ao,bc,aw,ct,bt,af,cv,bi,aa,c2
ch,g,s,an,cu,cu,bn,ax,j,s,ad,cs,w,k,w,c1
n,bw,s,an,ca,cj,bn,ax,j,ap,bt,cs,h,co,bm,c1
bx,be,cu,bv,aa,by,cf,bs,d,ct,by,af,ah,bz,j,c2
ap,ap,s,an,b,bt,bn,ax,j,j,bv,ay,ad,x,bw,c1
aj,ba,s,an,av,m,bn,ax,j,l,f,n,an,ax,br,c1
bq,bi,s,an,af,bs,bn,ax,j,cc,m,an,ct,n,l,c1
bx,ao,cc,bv,aa,cc,az,z,q,ct,bo,af,bu,cg,av,c2
ai,af,s,an,x,cm,bn,ax,j,bf,an,cr,f,bq,af,c1
o,n,s,an,bz,i,bn,ax,j,ac,by,cj,bn,bb,as,c1
cg,au,s,an,b,bx,bn,ax,j,ca,c,ck,cm,bl,be,c1
bx,cs,bl,bv,aa,b,ax,t,cf,ct,co,af,ci,aq,bb,c2
cn,bi,s,an,x,aj,bn,ax,j,bz,ci,ai,f,o,ci,c1
bk,bx,s,an,co,bk,bn,ax,j,b,n,cl,ag,ca,r,c1
bx,bf,ay,bv,aa,av,bb,o,i,ct,bt,af,ai,aw,bu,c2
ck,j,s,an,o,bj,bn,ax,j,s,bx,cn,bj,ag,t,c1
am,cs,s,an,ac,ca,bn,ax,j,ac,bc,ah,j,w,aa,c1
h,cb,s,an,cf,e,bn,ax,j,co,cj,cb,ca,an,ck,c1
bx,ay,ck,bv,aa,cn,az,q,bu,ct,cg,af,bu,ap,d,c2
bu,s,s,an,at,ba,bn,ax,j,j,bh,ad,ba,d,az,c1
bt,x,s,an,cn,bk,bn,ax,j,f,bk,cm,y,z,j,c1
g,cn,s,an,ao,ah,bn,ax,j,bj,bf,d,e,q,ck,c1
bx,bm,ao,bv,aa,ca,ce,cj,q,ct,bf,af,ai,bv,cq,c2
bx,as,al,bv,aa,n,am,bu,z,ct,bo,af,h,ba,ao,c2
cl,bc,s,an,cl,bk,bn,ax,j,av,cg,ca,ag,cd,bk,c1
bx,c,ad,bv,aa,bf,ak,bc,bp,ct,bw,af,bm,cn,q,c2
as,cr,s,an,w,bj,bn,ax,j,ba,cu,r,bb,ay,bl,c1
bf,av,s,an,l,ao,bn,ax,j,cr,bk,aw,i,n,bf,c1
bi,bq,s,an,bm,bt,bn,ax,j,bq,az,m,bw,ba,k,c1
bq,al,s,an,bi,bl,bn,ax,j,cr,t,au,bn,l,cp,c1
bx,cs,cf,bv,aa,y,cr,bu,ck,ct,br,af,b,cn,cb,c2
av,i,s,an,az,i,bn,ax,j,bb,bf,bg,au,cj,bp,c1
bx,bx,by,bv,aa,j,at,ac,aq,ct,cf,af,at,k,y,c2
bx,l,co,bv,aa,e,l,f,ab,ct,bi,af,c,bp,aq,c2
bx,h,n,bv,aa,bf,c,x,r,ct,cg,af,ba,a,ce,c2
bj,ao,s,an,aj,ac,bn,ax,j,u,z,bt,l,cj,by,c1
e,f,s,an,ci,bg,bn,ax,j,av,al,bx,w,bi,cr,c1
bx,cm,bp,bv,aa,t,bz,b,u,ct,an,af,t,j,cp,c2
q,b,s,an,g,ax,bn,ax,j,bn,p,co,bx,ba,q,c1
bx,m,n,bv,aa,aa,o,be,f,ct,az,af,s,h,b,c2
bx,s,c,bv,aa,x,cc,bb,cg,ct,cl,af,r,c,aj,c2
z,cl,s,an,bn,bt,bn,ax,j,cm,bz,k,ch,cb,v,c1
bx,bh,cl,bv,aa,q,ac,bd,d,ct,ao,af,at,l,cm,c2
bb,n,s,an,ag,at,bn,ax,j,s,c,bl,av,ab,bi,c1
bx,as,bi,bv,aa,q,bo,r,an,ct,aj,af,bb,c,b,c2
bx,cl,t,bv,aa,q,ae,cd,cj,ct,o,af,k,bt,cp,c2
bl,bx,s,an,bk,as,bn,ax,j,t,h,ba,ce,bv,bv,c1
bx,af,am,bv,aa,by,ch,au,y,ct,ac,af,r,ac,co,c2
bx,av,az,bv,aa,bo,f,y,cc,ct,t,af,bm,a,au,c2
au,cj,s,an,cq,cp,bn,ax,j,l,bj,au,bs,r,be,c1
at,cd,s,an,bd,bn,bn,ax,j,ay,w,i,q,ag,ct,c1
ad,bj,s,an,by,k,bn,ax,j,be,ca,be,ca,as,b,c1
bx,n,p,bv,aa,bc,an,cp,ba,ct,cl,af,y,ao,cp,c2
bl,bh,s,an,bp,aq,bn,ax,j,ce,cp,cp,bt,cu,ao,c1
af,cq,s,an,bl,ay,bn,ax,j,aj,bm,bp,bz,bp,b,c1
bx,ai,bw,bv,aa,t,az,bf,az,ct,az,af,ak,ai,aa,c2
bk,bh,s,an,i,by,bn,ax,j,ch,bs,ad,cr,t,am,c1
cr,be,s,an,am,ao,bn,ax,j,ar,az,au,aa,bv,cm,c1
cf,cq,s,an,ak,am,bn,ax,j,b,ag,ct,f,bm,cm,c1
bg,ca,s,an,ax,bf,bn,ax,j,bh,bl,u,cm,ca,ag,c1
af,ca,s,an,az,x,bn,ax,j,x,bt,cq,h,bt,bq,c1
l,ac,s,an,bd,by,bn,ax,j,cb,cb,bw,bq,ax,u,c1
cl,aa,s,an,l,bz,bn,ax,j,cp,d,bc,cp,be,z,c1
ar,cu,s,an,g,cn,bn,ax,j,cf,ba,bx,n,b,af,c1
bl,cv,s,an,cg,cs,bn,ax,j,c,k,aj,bf,bq,r,c1
bx,bk,cc,bv,aa,ah,bp,bt,bo,ct,cf,af,cb,bg,a,c2
bx,y,y,bv,aa,c,ce,aa,cd,ct,z,af,az,ch,af,c2
ab,cf,s,an,cn,bb,bn,ax,j,ac,cm,al,al,v,w,c1
bx,bv,ct,bv,aa,al,s,cl,ao,ct,bu,af,am,aw,ao,c2
bx,bd,p,bv,aa,m,ca,ad,d,ct,s,af,ay,br,bd,c2
bx,bi,co,bv,aa,ad,y,ck,cn,ct,aj,af,cm,cv,ap,c2
bx,ak,cr,bv,aa,v,ap,bm,bz,ct,am,af,cc,u,bp,c2
k,cl,s,an,m,cm,bn,ax,j,ax,cd,cf,ch,bs,l,c1
bx,j,bi,bv,aa,bs,ae,bw,cu,ct,cn,af,bi,aa,a,c2
ci,z,s,an,r,cb,bn,ax,j,ap,cu,br,aq,bo,ba,c1
bx,ak,am,bv,aa,u,cb,bt,cr,ct,m,af,ck,ap,bw,c2
bx,n,m,bv,aa,cm,cq,bb,ap,ct,g,af,bi,cs,ax,c2
ck,aw,s,an,bj,cg,bn,ax,j,c,c,bo,cn,f,ct,c1
bx,x,n,bv,aa,y,cp,k,bj,ct,bs,af,cs,n,r,c2
bx,p,ba,bv,aa,bd,x,ct,m,ct,cf,af,i,n,ab,c2
bx,au,bk,bv,aa,bq,ay,bu,x,ct,cl,af,au,cl,bp,c2
k,bl,s,an,d,au,bn,ax,j,au,cu,cb,ba,cv,aj,c1
t,d,s,an,t,bl,bn,ax,j,cf,co,x,bk,cu,bd,c1
bx,bp,ah,bv,aa,bj,cn,bu,bl,ct,cu,af,cb,cu,v,c2
bx,t,c,bv,aa,cj,bu,n,s,ct,a,af,by,as,ax,c2
bx,ch,bw,bv,aa,cb,ci,al,q,ct,bl,af,ar,af,ag,c2
co,f,s,an,ac,q,bn,ax,j,aa,e,cl,bi,cp,cj,c1
bx,cc,bk,bv,aa,ce,i,bt,t,ct,aa,af,bf,bk,ah,c2
aa,c,s,an,ag,f,bn,ax,j,cj,j,b,ci,at,av,c1
bx,bv,d,bv,aa,bz,ch,i,bb,ct,v,af,aj,ch,bx,c2
n,am,s,an,br,ax,bn,ax,j,q,ci,ar,ai,k,e,c1
aq,cn,s,an,m,by,bn,ax,j,bt,ag,cg,bc,bw,v,c1
af,ar,s,an,bd,bg,bn,ax,j,ah,cs,k,cm,am,j,c1
ci,ao,s,an,y,bs,bn,ax,j,cv,bw,ao,cb,br,br,c1
be,cc,s,an,a,s,bn,ax,j,av,x,bp,cq,aj,aw,c1
ax,bv,s,an,w,au,bn,ax,j,bq,br,by,q,aa,ah,c1
bx,af,bb,bv,aa,bq,ay,at,cb,ct,bw,af,cd,ao,aa,c2
bx,co,bk,bv,aa,s,f,bv,bg,ct,bh,af,ak,cv,t,c2
bx,d,k,bv,aa,aw,cr,bw,ah,ct,cr,af,bv,cs,ad,c2
bx,aj,i,bv,aa,cm,t,ap,l,ct,h,af,n,ci,bg,c2
ag,ci,s,an,m,ce,bn,ax,j,cs,au,cg,bg,bo,j,c1
ak,b,s,an,cu,ac,bn,ax,j,bh,al,ak,an,k,an,c1
g,ab,s,an,ax,x,bn,ax,j,y,cs,cd,x,be,bg,c1
bx,bh,bv,bv,aa,cc,a,cg,al,ct,bu,af,bh,bm,cq,c2
bx,bp,af,bv,aa,ae,bq,ae,bc,ct,cb,af,ca,cd,cl,c2
o,cu,s,an,bd,cn,bn,ax,j,az,cs,u,bv,cl,cf,c1
g,cl,s,an,ad,o,bn,ax,j,ab,bq,ae,aa,ad,o,c1
bh,be,s,an,g,br,bn,ax,j,i,y,bl,bj,p,al,c1
bf,t,s,an,k,l,bn,ax,j,aw,j,ak,ag,cd,am,c1
bx,cp,co,bv,aa,az,i,ab,bb,ct,cn,af,ce,am,ct,c2
bx,ba,ai,bv,aa,z,cg,ao,cn,ct,bv,af,ah,v,ae,c2
bx,au,ca,bv,aa,r,c,cl,br,ct,ay,af,ci,bg,g,c2
cn,ac,s,an,h,b,bn,ax,j,bu,bs,ae,au,cu,z,c1
bx,t,x,bv,aa,cv,a,o,bt,ct,ct,af,e,be,f,c2
bx,z,am,bv,aa,bn,f,cv,aj,ct,cc,af,aa,cp,c,c2
ak,bo,s,an,aq,au,bn,ax,j,h,ck,bn,bd,aa,cc,c1
bx,m,y,bv,aa,cn,y,j,r,ct,au,af,j,y,cj,c2
bx,c,cc,bv,aa,cf,bc,bm,be,ct,cv,af,aa,ay,m,c2
q,o,s,an,h,as,bn,ax,j,bj,cf,cv,m,bg,ah,c1
bx,f,aj,bv,aa,t,cm,o,l,ct,bu,af,br,aj,bv,c2
at,aj,s,an,bq,ar,bn,ax,j,bw,ax,x,w,br,ad,c1
br,bc,s,an,au,bd,bn,ax,j,ax,a,q,bt,bw,ak,c1
bx,cv,be,bv,aa,a,j,ak,x,ct,al,af,ah,cq,cj,c2
bx,bc,bd,bv,aa,aq,t,bh,l,ct,f,af,aw,ci,x,c2
bx,at,cs,bv,aa,cc,an,d,ch,ct,w,af,bz,an,az,c2
g,cq,s,an,ce,aj,bn,ax,j,az,bb,c,b,cd,bo,c1
v,am,s,an,ct,aq,bn,ax,j,ad,ae,b,e,ch,ci,c1
bx,cr,t,bv,aa,cs,al,p,bj,ct,be,af,e,ci,n,c2
bx,al,ba,bv,aa,cq,bs,bd,ab,ct,bo,af,be,ao,cr,c2
n,cn,s,an,ag,a,bn,ax,j,e,v,ao,ba,p,ap,c1
az,cg,s,an,ch,ab,bn,ax,j,o,bo,v,cf,cm,n,c1
bp,d,s,an,t,ci,bn,ax,j,bx,cc,n,al,cp,p,c1
ao,ap,s,an,p,ca,bn,ax,j,bj,cs,h,bi,e,x,c1
bx,al,y,bv,aa,h,g,by,af,ct,bm,af,co,s,bd,c2
ct,au,s,an,p,bb,bn,ax,j,i,ck,ca,az,af,bf,c1
bx,ce,bo,bv,aa,ab,cc,cg,ao,ct,bp,af,bc,cn,bc,c2
bx,ah,cf,bv,aa,cm,x,cv,co,ct,r,af,bi,aw,o,c2
bx,aj,af,bv,aa,aa,n,h,cj,ct,at,af,c,bq,co,c2
l,bd,s,an,h,cg,bn,ax,j,c,n,cj,ak,l,br,c1
ad,s,s,an,br,ao,bn,ax,j,al,l,ad,m,cm,k,c1
i,ca,s,an,al,an,bn,ax,j,i,y,bu,bs,aw,co,c1
bx,aa,cn,bv,aa,n,bm,bu,y,ct,bn,af,ci,ai,cc,c2
bx,bw,ad,bv,aa,cu,w,bg,ca,ct,b,af,aq,be,be,c2
bd,bm,s,an,az,ci,bn,ax,j,a,m,cd,cr,ap,ad,c1
bx,cl,ap,bv,aa,cm,z,aa,bk,ct,an,af,bc,as,bt,c2
bx,z,cd,bv,aa,ct,co,h,av,ct,y,af,d,bm,br,c2
bx,o,co,bv,aa,bf,q,z,cm,ct,ar,af,v,ca,ck,c2
bx,at,bm,bv,aa,s,ap,bu,az,ct,cl,af,b,cp,bt,c2
u,s,s,an,ck,c,bn,ax,j,f,bb,u,ax,bt,al,c1
c,a,s,an,bg,cv,bn,ax,j,cg,c,bd,w,cu,au,c1
bx,cq,f,bv,aa,j,by,aj,be,ct,cb,af,bh,bv,am,c2
bx,cn,cs,bv,aa,bh,cr,w,ay,ct,am,af,bq,bf,bz,c2
ad,bp,s,an,r,cm,bn,ax,j,z,l,i,o,l,ap,c1
bm,bg,s,an,j,bu,bn,ax,j,as,bw,bn,l,cs,bc,c1
bx,l,cn,bv,aa,f,p,cr,bc,ct,aj,af,ci,ac,ar,c2
m,co,s,an,bu,j,bn,ax,j,ap,cp,af,q,k,bj,c1
bx,ab,al,bv,aa,g,cd,ci,am,ct,p,af,p,bt,ad,c2
z,bs,s,an,aq,bq,bn,ax,j,cj,ak,d,ak,e,bi,c1
bx,ao,ck,bv,aa,ba,bt,cj,ay,ct,cp,af,y,bu,cp,c2
bq,cg,s,an,ax,bq,bn,ax,j,ad,af,bu,u,n,aj,c1
v,aq,s,an,br,ba,bn,ax,j,cm,ax,cd,s,cl,cj,c1
bx,l,cu,bv,aa,ac,bi,bp,bu,ct,bv,af,c,am,ad,c2
bx,bm,cq,bv,aa,cd,ce,z,ce,ct,ca,af,ao,ai,ar,c2
bx,bb,au,bv,aa,cu,aa,ct,ak,ct,ck,af,c,bl,ar,c2
bx,cr,ag,bv,aa,q,j,ab,ap,ct,ag,af,r,bj,x,c2
bx,ai,bj,bv,aa,cv,bo,aj,bt,ct,ak,af,f,co,ad,c2
bx,v,au,bv,aa,ax,ca,al,cd,ct,bw,af,au,ap,ax,c2
bx,bn,bm,bv,aa,cq,cl,bo,cg,ct,j,af,bc,bj,an,c2
ap,y,s,an,o,aa,bn,ax,j,ar,cv,by,cm,ct,bf,c1
bx,bj,bm,bv,aa,by,au,w,s,ct,bf,af,t,bw,bs,c2
bx,cg,i,bv,aa,be,cs,by,n,ct,bq,af,e,ad,af,c2
w,ac,s,an,bl,co,bn,ax,j,cu,t,ag,cf,m,bw,c1
bx,bg,d,bv,aa,ar,bm,bg,cg,ct,e,af,bs,cs,bf,c2
u,e,s,an,a,bs,bn,ax,j,ch,cb,ar,a,bp,ba,c1
ci,bd,s,an,af,ct,bn,ax,j,bz,k,at,bs,cj,bl,c1
bx,bs,bw,bv,aa,ct,bw,am,ct,ct,v,af,bz,aw,s,c2
bx,ce,bh,bv,aa,bn,al,ct,b,ct,aq,af,ba,bb,cc,c2
bx,j,d,bv,aa,cp,bl,ba,ac,ct,s,af,u,n,az,c2
bx,ct,ak,bv,aa,aj,cs,cu,ae,ct,h,af,bd,y,ce,c2
ab,av,s,an,an,aj,bn,ax,j,bg,o,bm,h,bv,f,c1
bx,y,an,bv,aa,bo,co,ap,bx,ct,l,af,o,ck,az,c2
ci,ab,s,an,ce,cd,bn,ax,j,bf,at,bj,ab,x,w,c1
bx,cc,i,bv,aa,cq,x,aj,av,ct,an,af,t,bh,z,c2
bx,by,u,bv,aa,al,aq,bj,i,ct,as,af,ar,ao,cr,c2
bx,bo,t,bv,aa,bd,as,bl,bc,ct,cg,af,bs,cu,bk,c2
bx,e,s,bv,aa,ah,ba,e,cq,ct,ct,af,y,o,ah,c2
bx,bj,bw,bv,aa,cj,by,cv,p,ct,cu,af,bz,aj,cr,c2
bx,cl,bc,bv,aa,al,as,cd,bo,ct,bw,af,cu,as,by,c2
b,ck,s,an,ao,bf,bn,ax,j,ar,l,bw,ay,ak,cv,c1
bx,e,co,bv,aa,by,aq,ce,ap,ct,n,af,ca,bo,t,c2
m,ce,s,an,cc,bf,bn,ax,j,ap,bb,av,at,bp,au,c1
af,v,s,an,b,b,bn,ax,j,m,cd,ar,c,av,bz,c1
bx,aa,cs,bv,aa,ae,ax,ar,an,ct,bb,af,ct,q,ci,c2
cb,be,s,an,cu,bf,bn,ax,j,ae,cj,by,bd,j,bn,c1
r,cr,s,an,b,bh,bn,ax,j,ax,aq,az,b,b,ct,c1
ae,i,s,an,au,ck,bn,ax,j,o,bx,m,cs,z,p,c1
bx,bk,ae,bv,aa,cr,ag,by,cf,ct,ae,af,cr,ap,br,c2
an,r,s,an,f,bj,bn,ax,j,v,bi,am,bw,ah,k,c1
bx,p,bd,bv,aa,av,bk,j,aa,ct,ck,af,bx,k,bn,c2
bo,ab,s,an,bz,t,bn,ax,j,bj,bb,ba,ay,an,bh,c1
bx,al,cc,bv,aa,cv,be,d,ao,ct,c,af,w,bf,g,c2
bx,bs,bd,bv,aa,ay,bo,bw,ak,ct,y,af,cq,x,cc,c2
bi,cq,s,an,x,f,bn,ax,j,x,ak,ab,bj,i,ai,c1
b,aw,s,an,r,cl,bn,ax,j,cr,bj,v,k,al,ae,c1
ap,cl,s,an,ae,cu,bn,ax,j,k,bp,bf,y,af,b,c1
r,as,s,an,o,af,bn,ax,j,w,bg,ae,r,r,ar,c1
bx,w,n,bv,aa,ck,be,bb,ba,ct,y,af,bf,cn,al,c2
bx,v,cb,bv,aa,cl,r,cs,cd,ct,b,af,bq,bt,p,c2
q,s,s,an,u,bq,bn,ax,j,h,cu,h,t,bg,at,c1
bs,bg,s,an,ao,au,bn,ax,j,cb,ck,q,z,cq,co,c1
bo,bd,s,an,l,b,bn,ax,j,ao,bq,aa,af,i,bt,c1
j,bx,s,an,cn,bo,bn,ax,j,bu,as,ap,bi,ay,n,c1
bx,bs,cl,bv,aa,am,bj,bq,cb,ct,cj,af,u,cg,a,c2
by,ck,s,an,al,cm,bn,ax,j,i,br,as,ah,cg,aw,c1
cf,bj,s,an,bc,co,bn,ax,j,be,ce,ct,h,as,ai,c1
bo,bf,s,an,ae,ct,bn,ax,j,d,ce,r,cb,h,a,c1
bx,be,e,bv,aa,bc,am,bw,m,ct,ab,af,cn,bn,co,c2
z,bn,s,an,bt,ax,bn,ax,j,bh,cu,ca,by,a,cq,c1
bw,cv,s,an,f,bw,bn,ax,j,r,q,ap,cd,as,cj,c1
bx,cj,ar,bv,aa,cr,ac,cq,ct,ct,cu,af,ac,a,ad,c2
aq,ch,s,an,bj,bl,bn,ax,j,m,p,az,t,au,al,c1
l,cp,s,an,cf,bs,bn,ax,j,m,ar,b,r,b,ad,c1
ch,u,s,an,ao,bz,bn,ax,j,ay,v,bx,bf,az,aq,c1
bx,an,bq,bv,aa,ao,bg,ae,f,ct,bm,af,ch,ak,as,c2
ch,ae,s,an,bi,t,bn,ax,j,ck,ce,bb,t,bg,cs,c1
bx,cp,cm,bv,aa,ba,az,ca,bp,ct,i,af,by,bz,ba,c2
by,cm,s,an,ay,r,bn,ax,j,ct,aq,cd,r,bv,bw,c1
br,aw,s,an,i,ab,bn,ax,j,bc,bi,aq,c,o,w,c1
as,o,s,an,bh,x,bn,ax,j,bb,ap,n,bg,be,as,c1
bi,bu,s,an,p,bg,bn,ax,j,ak,n,p,ck,bd,bm,c1
