@relation data_100_20_5_10_10_500

@attribute A1 {q,e,h,g,d,b,a,m,l,s,p,j,i,r,f,o,c,t,n,k}
@attribute A2 {n,c,k,a,d,o,q,s,t,r,e,p,g,f,i,m,j,h,b,l}
@attribute A3 {o,b,c,a,m,q,e,p,s,h,i,n,k,j,t,r,l,d,f,g}
@attribute A4 {h,q,b,l,t,g,p,j,e,o,k,m,r,d,f,s,n,c,a,i}
@attribute A5 {r,j,d,a,p,h,c,e,l,m,q,g,t,n,b,i,f,o,s,k}
@attribute A6 {t,a,q,k,s,h,f,m,i,r,o,l,d,j,c,b,p,g,n,e}
@attribute A7 {j,c,h,l,r,k,d,f,a,i,s,n,e,b,t,q,g,p,o,m}
@attribute A8 {s,j,h,a,q,n,d,r,p,c,m,t,k,e,o,f,i,g,l,b}
@attribute A9 {m,r,k,b,i,f,h,n,d,o,q,p,l,a,s,c,e,t,j,g}
@attribute A10 {d,a,o,h,j,s,t,e,l,c,m,k,r,b,n,g,q,f,p,i}
@attribute A11 {p,o,i,j,f,d,s,l,n,t,r,m,a,g,q,k,b,c,e,h}
@attribute A12 {t,r,q,e,i,k,s,j,b,a,d,f,g,c,h,l,o,p,n,m}
@attribute A13 {b,h,g,s,e,l,c,j,t,o,d,i,f,n,a,k,p,q,r,m}
@attribute A14 {l,t,o,r,m,s,p,f,c,a,g,n,q,h,k,j,d,e,i,b}
@attribute A15 {t,k,a,g,q,n,f,o,h,c,m,b,j,l,e,r,d,p,i,s}
@attribute A16 {j,a,d,f,p,c,k,e,i,n,q,l,h,g,s,r,t,o,b,m}
@attribute A17 {d,i,f,s,t,n,o,l,e,b,q,g,j,a,p,m,h,c,r,k}
@attribute A18 {g,c,i,n,r,f,o,s,a,q,b,h,m,l,j,t,k,d,p,e}
@attribute A19 {f,o,p,n,c,l,q,j,i,k,r,d,s,m,g,e,t,a,h,b}
@attribute A20 {e,g,a,m,f,s,t,p,l,o,q,j,d,b,c,n,r,h,i,k}
@attribute A21 {k,e,l,b,f,n,d,a,q,j,s,r,t,o,h,c,p,i,m,g}
@attribute A22 {o,f,r,q,j,d,t,p,i,l,m,n,g,s,a,c,k,h,e,b}
@attribute A23 {n,l,c,o,h,g,q,b,t,a,i,k,f,s,j,m,r,d,p,e}
@attribute A24 {t,f,m,g,a,h,s,i,e,n,k,c,b,j,r,l,o,q,d,p}
@attribute A25 {q,a,c,j,r,g,e,p,f,s,m,n,d,i,b,t,o,k,l,h}
@attribute A26 {c,f,g,q,d,j,m,i,n,s,l,b,o,k,h,a,r,t,p,e}
@attribute A27 {b,n,s,f,p,d,o,h,i,r,g,c,q,l,k,m,a,t,j,e}
@attribute A28 {o,t,r,l,k,q,i,n,c,h,f,g,s,j,d,p,b,m,a,e}
@attribute A29 {l,f,k,n,i,c,m,j,b,s,g,p,q,a,d,e,h,r,o,t}
@attribute A30 {s,k,c,g,q,e,h,f,p,d,t,a,r,o,b,i,l,n,j,m}
@attribute A31 {k,g,j,p,i,a,o,d,n,e,c,h,l,q,b,s,m,t,r,f}
@attribute A32 {d,l,m,j,a,c,k,g,r,s,p,b,q,o,t,i,n,h,f,e}
@attribute A33 {q,a,f,j,c,e,k,i,n,o,g,r,b,d,h,s,t,p,l,m}
@attribute A34 {t,a,p,b,l,s,n,f,r,k,e,j,o,m,q,g,d,c,i,h}
@attribute A35 {k,b,l,d,i,a,m,g,r,n,o,j,c,p,t,q,f,e,s,h}
@attribute A36 {o,m,h,d,c,f,t,i,e,r,n,q,b,j,l,p,s,a,k,g}
@attribute A37 {l,f,k,d,s,c,p,r,a,o,h,n,b,q,m,t,j,g,e,i}
@attribute A38 {l,p,n,j,b,g,a,t,h,r,c,f,d,o,i,k,q,m,s,e}
@attribute A39 {m,g,e,f,i,a,s,o,j,c,d,q,k,t,l,r,p,b,n,h}
@attribute A40 {o,f,r,b,d,q,h,e,l,j,a,n,t,k,m,p,c,s,i,g}
@attribute A41 {r,m,f,j,l,b,s,e,g,o,c,k,t,n,a,h,d,i,p,q}
@attribute A42 {j,b,m,h,d,g,k,r,n,q,l,f,t,e,s,a,p,c,o,i}
@attribute A43 {k,b,p,j,m,s,n,d,o,c,q,r,i,a,f,t,g,h,l,e}
@attribute A44 {t,n,q,f,k,b,g,r,c,i,d,s,l,m,a,h,o,e,j,p}
@attribute A45 {g,t,b,i,q,o,m,j,k,s,e,r,p,l,a,h,n,f,d,c}
@attribute A46 {c,t,h,f,k,q,b,d,l,s,i,p,n,g,r,m,e,o,j,a}
@attribute A47 {d,t,l,j,h,f,s,m,g,o,q,c,b,r,a,e,k,n,i,p}
@attribute A48 {r,s,i,q,c,a,b,f,j,g,t,l,o,n,m,k,e,d,p,h}
@attribute A49 {j,g,o,r,m,d,b,p,k,f,n,e,i,q,l,t,c,s,a,h}
@attribute A50 {h,l,g,t,p,m,f,a,i,r,b,s,d,k,q,c,o,e,j,n}
@attribute A51 {b,i,p,c,j,g,f,d,n,k,m,s,t,q,l,h,o,a,r,e}
@attribute A52 {k,j,q,n,l,a,p,e,m,s,t,g,c,o,f,b,d,r,i,h}
@attribute A53 {t,r,o,d,e,g,n,c,b,s,k,j,f,a,l,i,m,q,p,h}
@attribute A54 {b,t,k,f,q,g,m,r,c,d,a,j,l,p,o,h,e,n,i,s}
@attribute A55 {f,h,k,o,m,t,l,j,i,e,q,c,g,p,n,a,s,d,r,b}
@attribute A56 {r,n,g,c,l,j,h,e,b,s,p,t,f,a,d,k,m,o,i,q}
@attribute A57 {t,a,n,j,g,i,q,k,r,p,l,s,m,h,b,c,e,f,o,d}
@attribute A58 {t,r,f,m,h,c,o,s,g,k,n,d,b,i,q,l,p,j,e,a}
@attribute A59 {k,l,p,g,b,r,n,j,c,m,s,o,f,h,e,i,t,a,q,d}
@attribute A60 {c,r,h,j,m,g,s,k,o,f,i,d,a,p,e,t,l,n,b,q}
@attribute A61 {f,n,j,r,k,p,a,q,i,m,b,t,e,h,c,l,o,s,g,d}
@attribute A62 {b,e,l,j,d,k,f,r,n,c,i,a,s,g,q,m,h,o,t,p}
@attribute A63 {b,r,p,j,a,l,m,o,f,q,i,n,c,g,e,d,h,s,k,t}
@attribute A64 {k,l,n,m,s,i,h,b,c,t,j,d,r,q,p,o,g,f,a,e}
@attribute A65 {q,m,j,k,t,o,l,h,c,a,s,b,p,i,r,d,e,g,f,n}
@attribute A66 {t,j,k,g,i,c,s,o,h,e,d,b,f,a,r,n,p,l,q,m}
@attribute A67 {i,f,n,q,l,b,e,o,s,r,m,g,d,j,h,c,k,a,t,p}
@attribute A68 {a,m,r,h,j,p,k,q,e,d,c,i,n,b,l,s,o,g,f,t}
@attribute A69 {c,a,t,l,b,s,e,f,m,k,n,q,r,j,p,i,d,g,h,o}
@attribute A70 {b,p,d,q,a,m,k,c,f,r,n,g,l,s,i,e,o,j,h,t}
@attribute A71 {p,h,s,n,m,k,q,f,e,l,d,o,j,t,g,i,c,b,r,a}
@attribute A72 {p,q,t,n,k,f,l,s,a,j,d,m,c,e,r,g,b,h,o,i}
@attribute A73 {t,j,g,s,h,k,n,f,q,a,o,l,e,d,b,c,i,r,m,p}
@attribute A74 {j,g,n,d,a,t,h,q,b,o,r,c,m,p,k,f,e,l,s,i}
@attribute A75 {h,e,o,p,k,f,a,c,s,d,t,n,i,m,b,g,r,l,j,q}
@attribute A76 {p,f,g,h,a,o,n,c,e,s,m,r,k,i,b,t,l,q,j,d}
@attribute A77 {p,f,b,s,d,h,g,a,i,n,k,t,l,q,e,o,m,j,c,r}
@attribute A78 {n,p,q,d,s,b,l,j,c,t,e,r,i,h,o,m,k,f,a,g}
@attribute A79 {q,r,j,s,o,n,a,t,m,b,l,h,k,d,e,c,p,f,g,i}
@attribute A80 {k,h,l,p,s,r,n,b,t,i,f,d,m,o,e,a,g,q,j,c}
@attribute A81 {a,t,s,p,b,r,g,j,e,q,f,c,d,n,h,m,l,i,o,k}
@attribute A82 {k,d,m,e,o,l,t,c,g,a,s,n,p,q,j,i,h,r,f,b}
@attribute A83 {t,i,e,m,o,s,d,l,h,n,g,q,k,f,a,b,c,r,p,j}
@attribute A84 {a,j,d,f,n,t,q,m,r,p,o,h,l,k,g,c,b,s,e,i}
@attribute A85 {l,q,n,c,t,r,a,e,m,j,g,o,p,h,s,f,k,b,d,i}
@attribute A86 {a,c,k,d,t,o,f,q,l,m,b,n,h,e,j,p,i,r,s,g}
@attribute A87 {a,b,e,i,s,h,o,j,m,d,c,f,g,n,p,r,l,k,t,q}
@attribute A88 {b,o,s,f,j,c,e,r,m,p,l,k,h,n,t,a,g,i,q,d}
@attribute A89 {n,e,o,b,l,m,f,j,g,d,i,s,p,c,q,k,t,h,r,a}
@attribute A90 {l,j,n,s,p,a,c,g,h,m,e,r,t,b,f,o,k,i,d,q}
@attribute A91 {j,a,e,k,d,q,n,b,o,p,t,f,i,h,l,r,s,m,c,g}
@attribute A92 {i,e,f,c,r,s,d,a,m,t,k,l,g,p,h,o,j,b,n,q}
@attribute A93 {r,a,j,i,n,k,l,m,c,g,t,p,e,o,q,d,b,h,s,f}
@attribute A94 {h,m,e,s,t,b,q,o,j,c,p,n,f,d,g,r,i,a,l,k}
@attribute A95 {l,p,r,k,s,m,f,o,t,c,g,n,e,j,i,a,d,q,b,h}
@attribute A96 {m,q,r,n,b,l,g,t,h,a,s,e,i,c,d,p,j,k,o,f}
@attribute A97 {q,d,s,h,j,c,k,g,m,r,f,n,e,l,b,p,a,t,o,i}
@attribute A98 {q,h,i,l,n,p,o,a,t,f,g,e,r,d,c,k,m,b,s,j}
@attribute A99 {o,h,t,p,a,g,b,m,l,i,j,e,q,r,f,n,c,d,k,s}
@attribute A100 {e,m,c,o,f,g,i,s,t,r,k,h,l,b,p,j,d,n,a,q}
@attribute Class {c4,c3,c2,c1,c5}

@data
s,r,t,f,i,q,c,r,l,a,p,h,s,q,j,f,i,r,k,b,o,a,b,g,i,n,o,k,d,o,q,t,s,r,r,m,f,p,d,d,r,a,i,m,j,f,r,i,t,b,i,k,g,e,g,n,l,i,o,g,i,r,f,p,d,g,q,h,e,p,b,e,d,m,i,e,o,t,f,m,n,i,f,g,l,c,g,n,c,t,b,h,r,m,p,i,r,o,h,b,c3
h,q,a,g,b,o,s,m,i,o,a,d,f,a,t,n,o,m,c,c,j,o,a,a,f,s,k,j,l,f,b,t,a,a,o,i,b,k,p,k,h,k,k,k,a,l,a,n,g,f,n,r,f,f,p,r,t,b,f,c,f,b,m,l,q,a,l,a,e,b,h,p,b,c,m,k,p,n,q,k,e,h,q,q,t,e,a,o,q,p,j,o,q,q,i,c,l,i,m,l,c4
b,f,r,s,d,c,s,o,a,t,g,l,t,o,l,a,s,n,l,f,h,c,g,r,m,l,n,o,k,f,g,j,t,l,m,q,r,j,f,m,j,b,b,a,e,r,o,f,c,t,d,e,f,r,n,c,l,q,g,j,t,h,q,t,r,b,d,r,t,i,i,j,g,t,k,i,i,i,c,b,p,o,a,f,c,l,m,t,j,p,o,m,d,e,a,g,m,c,l,t,c1
j,o,o,d,e,i,c,f,s,a,q,o,k,h,t,i,i,l,e,q,s,k,k,l,n,m,k,p,e,s,d,k,i,p,f,m,f,p,b,d,d,b,r,t,h,m,g,i,r,c,i,e,d,l,a,n,t,c,s,j,n,c,j,o,m,r,j,i,r,p,c,r,k,r,o,m,n,h,q,d,e,r,t,d,h,c,n,c,l,f,n,k,m,m,f,d,n,i,m,p,c3
i,t,i,n,a,j,s,i,c,k,j,o,d,n,t,d,p,i,t,l,c,k,k,l,n,l,q,h,d,p,p,l,n,b,q,b,a,q,c,p,i,p,k,h,n,e,j,b,e,d,t,e,t,r,o,r,t,b,h,c,f,f,i,g,c,n,b,a,s,e,c,c,t,b,i,c,h,n,j,k,j,o,b,c,n,j,a,p,g,f,j,m,n,h,t,h,b,a,t,i,c4
d,j,q,t,a,d,n,q,d,t,i,c,t,r,h,t,d,q,e,n,n,f,g,o,j,j,m,b,q,p,s,i,f,j,b,r,h,t,s,l,b,q,a,g,f,p,j,b,l,g,p,q,s,f,l,s,s,f,j,j,b,q,h,n,h,o,h,r,c,e,j,j,d,c,t,s,m,o,p,i,e,r,q,o,s,m,g,n,k,e,d,s,c,e,e,b,m,k,b,l,c5
r,p,l,q,d,k,e,c,e,m,g,c,k,g,t,e,m,i,s,r,b,k,f,s,q,b,d,i,p,h,m,q,a,o,d,e,l,f,s,b,t,r,k,m,f,o,t,q,f,l,s,a,g,a,l,r,t,i,j,c,f,h,s,h,i,h,c,a,e,n,h,k,t,a,n,i,j,n,b,k,c,q,c,j,r,j,a,p,i,r,j,g,l,g,k,c,p,i,j,h,c4
m,h,b,c,d,l,c,n,e,a,k,k,j,g,c,l,i,l,e,e,t,a,h,g,p,o,r,m,n,o,t,s,h,k,j,m,f,p,t,r,o,n,f,k,s,t,j,i,k,t,i,k,o,m,p,n,k,b,j,k,e,h,e,h,h,j,s,n,j,p,e,k,e,c,f,o,j,i,f,l,d,t,e,j,t,c,b,c,t,s,p,p,q,m,c,p,f,q,g,t,c3
f,q,d,p,q,d,i,q,r,c,b,e,a,m,h,o,s,n,p,r,f,k,f,h,f,k,f,o,k,e,n,j,c,m,e,e,q,h,f,c,r,t,b,d,h,e,b,g,d,t,q,m,c,t,p,p,m,s,m,j,p,s,a,f,t,o,e,r,t,f,t,t,c,m,k,a,l,r,l,o,n,d,f,f,a,c,p,r,j,p,t,h,m,b,p,l,l,l,l,l,c1
r,q,c,a,a,r,b,d,t,c,p,o,r,k,a,d,e,l,p,r,l,r,s,t,s,g,q,t,p,c,l,m,o,r,c,n,b,c,b,e,o,c,m,o,d,r,e,m,t,i,p,i,s,k,n,l,n,f,e,k,k,g,e,b,t,r,e,a,p,i,s,p,t,f,e,k,i,j,k,e,r,p,o,d,m,p,o,c,c,h,f,j,j,s,s,g,a,g,e,c,c2
l,p,k,k,g,k,t,d,d,h,q,t,h,a,j,b,s,n,t,h,s,h,h,k,b,c,a,o,k,b,i,j,t,l,m,e,p,r,f,s,f,o,q,q,m,s,k,i,m,t,l,h,d,a,j,j,h,b,c,j,a,n,q,k,p,r,d,r,t,a,b,b,i,a,k,o,j,p,d,a,p,s,s,f,c,m,r,a,f,e,p,c,m,r,e,q,e,i,j,m,c1
h,j,c,j,e,s,l,a,h,r,b,p,k,h,b,d,h,b,p,t,l,k,j,r,c,g,t,n,q,c,e,m,g,b,e,j,q,p,q,a,m,r,n,n,p,t,q,s,q,f,p,o,l,t,s,j,n,f,o,j,b,f,o,k,e,t,n,e,m,o,b,k,r,e,e,b,i,m,l,a,h,e,h,d,t,m,s,c,m,h,j,d,j,e,s,j,l,c,q,c,c2
p,k,c,b,j,l,q,n,p,b,o,l,t,m,a,d,g,o,p,j,l,s,o,g,n,g,n,h,e,c,b,m,c,q,r,t,m,o,p,c,k,r,t,h,g,n,b,k,c,c,p,r,t,b,f,b,n,r,h,g,h,h,j,h,t,r,o,q,j,o,c,r,s,b,b,h,d,b,e,b,m,l,t,d,c,p,d,g,d,o,k,o,j,s,o,r,s,h,t,c,c2
d,c,m,k,j,r,n,f,d,t,r,h,j,c,a,p,b,q,d,b,s,r,g,l,a,j,q,d,h,f,t,b,g,q,g,c,d,p,l,a,j,p,q,a,e,q,o,g,q,b,q,m,i,b,l,p,l,n,n,r,j,m,g,o,g,r,n,k,e,o,c,c,c,t,i,s,c,o,m,s,g,o,t,q,n,j,l,o,h,p,d,m,b,f,j,s,m,m,b,j,c5
o,s,c,p,f,p,n,g,q,m,t,f,h,h,j,d,b,m,p,c,l,n,m,a,q,g,a,n,s,c,k,m,i,m,m,l,r,n,j,c,p,g,p,e,a,m,n,s,p,d,p,o,m,c,t,t,n,b,s,s,a,f,l,q,p,d,s,d,k,e,m,b,m,l,g,t,b,b,n,g,t,e,f,d,m,e,f,h,g,s,i,l,q,o,c,p,b,h,a,c,c2
g,t,c,f,n,j,h,e,a,a,c,j,b,q,b,d,q,j,p,l,l,d,h,q,j,g,g,a,r,c,b,m,b,n,e,e,t,m,m,d,m,a,i,n,l,r,c,e,c,o,p,b,q,r,a,f,n,g,s,e,k,d,k,j,r,p,c,e,n,b,m,n,m,f,b,b,c,p,c,k,l,f,r,d,f,i,r,n,j,e,n,c,g,s,t,i,g,k,l,c,c2
f,e,c,g,a,d,c,i,b,a,r,a,a,f,g,d,i,h,p,b,l,r,g,h,q,g,n,p,c,c,r,m,e,j,a,e,n,h,s,o,g,s,o,s,m,p,t,r,e,p,p,h,o,q,n,n,n,d,j,o,c,o,q,d,c,l,k,p,l,j,r,m,m,f,k,m,b,o,s,r,t,b,b,d,h,i,p,r,b,n,h,k,r,f,k,h,s,r,m,c,c2
o,j,n,j,j,g,c,j,k,a,j,n,i,h,e,b,i,t,n,a,j,n,s,j,a,h,f,b,k,g,h,o,d,g,o,m,f,p,r,f,t,c,q,l,g,q,q,d,m,d,i,j,f,f,c,n,a,r,f,t,n,h,d,h,p,q,b,e,i,p,h,p,l,o,e,f,o,k,g,q,r,g,q,d,f,c,k,i,k,a,l,p,m,m,s,k,b,b,l,f,c3
e,c,a,c,n,n,b,r,f,h,m,r,e,o,t,s,m,k,i,a,c,f,m,t,t,i,c,n,l,p,i,m,k,m,s,d,t,j,i,r,n,g,k,n,i,j,b,a,r,f,s,g,i,d,d,r,t,c,g,c,f,q,t,h,o,g,j,a,m,g,m,b,t,j,i,h,r,n,a,k,i,f,l,c,o,c,a,q,s,j,j,s,p,i,d,n,c,m,g,d,c4
c,b,c,t,e,q,t,q,h,n,r,b,e,j,j,d,l,d,p,m,l,e,m,h,q,g,k,p,k,c,d,m,r,f,s,p,j,q,p,b,p,p,b,s,t,l,h,k,j,p,p,a,d,h,f,f,n,c,r,r,l,n,b,l,l,g,j,b,q,m,q,l,e,j,f,r,h,f,t,h,s,r,h,d,n,l,c,f,p,k,r,g,j,o,q,h,t,r,q,c,c2
t,s,a,t,l,o,j,l,p,a,t,d,a,r,t,g,c,g,d,n,f,j,n,l,q,a,p,a,h,e,a,m,k,d,f,p,g,t,g,h,r,m,k,n,a,j,q,d,m,e,b,r,j,c,j,r,t,l,p,c,f,i,t,g,r,i,l,a,p,e,o,f,c,n,r,l,n,n,t,k,b,j,a,j,a,m,a,r,q,b,j,i,d,p,a,m,d,o,r,m,c4
d,j,s,q,p,n,s,s,d,t,l,q,h,r,c,o,o,q,n,n,e,d,g,b,s,j,q,e,q,c,t,b,g,l,p,s,t,k,j,h,s,q,q,d,r,m,k,a,l,j,h,f,m,m,l,a,b,p,j,j,f,b,l,c,b,f,e,l,n,s,m,h,e,p,g,s,o,j,k,t,o,g,p,h,r,t,j,q,f,f,d,c,r,s,i,d,m,i,b,c,c5
e,m,k,i,d,b,c,j,p,a,t,t,g,f,l,o,i,f,n,g,n,k,r,r,s,q,s,q,e,s,k,d,k,s,f,m,f,p,r,j,s,b,g,k,q,g,m,m,j,r,i,n,p,n,g,n,c,l,j,i,i,a,c,h,o,a,l,m,s,p,d,t,a,o,l,b,n,b,p,d,j,g,o,l,g,c,c,i,s,l,k,p,k,m,m,q,g,h,f,g,c3
m,b,c,n,a,h,e,n,i,t,r,j,f,n,a,d,l,p,p,o,l,r,d,q,o,g,r,s,o,c,p,m,s,s,d,c,s,b,p,a,o,g,s,c,c,g,h,b,k,c,p,q,m,i,h,s,n,c,s,o,o,r,r,r,c,r,i,h,d,i,a,q,n,e,j,a,f,n,l,g,l,n,l,d,e,h,b,e,d,k,j,b,h,t,m,d,c,d,r,c,c2
l,e,e,i,o,m,g,q,i,a,s,k,g,j,t,d,f,o,q,b,a,k,q,i,g,j,r,a,k,b,t,c,t,q,j,s,f,r,o,b,q,h,k,d,g,q,n,o,s,c,j,i,h,d,j,r,t,j,l,c,f,s,q,m,a,h,o,a,k,n,h,f,d,j,f,a,g,n,d,k,t,d,t,r,h,j,a,n,g,i,j,b,k,f,r,i,h,p,g,j,c4
o,i,c,g,s,m,c,i,b,k,a,n,t,o,f,d,r,k,p,n,l,f,l,i,q,g,m,l,a,c,l,m,h,j,o,f,m,s,e,d,d,r,q,t,t,h,i,a,f,m,p,j,s,t,k,d,n,r,b,d,t,o,i,j,a,g,i,b,i,h,h,n,k,p,q,g,m,t,h,q,s,h,j,d,q,b,r,r,t,j,h,k,d,d,c,m,t,k,o,c,c2
s,t,b,p,b,q,c,a,j,a,o,n,d,c,k,k,i,s,o,j,s,e,k,d,j,g,b,r,o,i,l,n,a,s,h,m,f,p,n,o,t,n,i,e,s,k,f,p,o,l,i,d,s,r,c,n,e,n,i,l,r,n,t,p,h,h,b,m,g,p,f,r,b,f,r,r,a,f,e,i,f,n,e,a,h,c,k,t,r,a,k,n,i,m,j,i,e,k,g,n,c3
g,f,c,c,f,e,p,d,o,e,j,o,l,k,j,d,q,h,p,f,l,q,s,g,s,g,o,n,p,c,j,m,o,k,i,b,q,l,g,h,s,n,d,t,j,q,o,t,m,n,p,t,f,t,r,p,n,c,p,e,i,q,q,p,i,k,k,r,s,n,r,f,h,h,m,q,f,o,h,e,d,p,f,d,j,a,f,n,o,p,i,h,m,p,j,c,k,p,a,c,c2
d,p,l,g,h,p,c,h,d,t,c,g,l,d,e,o,n,q,k,g,h,d,g,e,t,j,c,t,m,l,b,c,n,m,p,m,s,l,f,t,o,t,o,f,t,k,m,s,d,l,p,l,c,k,l,l,j,o,k,m,k,r,j,m,l,e,a,a,h,o,f,s,r,a,g,s,o,r,i,r,e,k,i,d,k,e,s,d,q,n,d,s,p,d,k,h,m,n,b,m,c5
q,j,f,s,f,k,c,c,m,a,q,a,e,k,m,l,i,e,a,l,r,k,m,g,m,m,n,m,q,q,g,s,k,p,g,m,f,p,a,t,d,d,n,q,p,r,g,k,q,b,i,b,o,q,m,n,i,g,c,d,i,r,s,k,c,d,k,s,q,p,c,o,g,r,q,a,o,j,d,b,k,o,o,b,f,c,d,m,i,l,i,p,i,m,b,r,f,i,f,a,c3
i,s,d,i,l,g,q,p,l,d,d,q,m,j,t,s,i,d,d,n,b,e,n,c,m,b,d,c,t,k,d,q,d,f,e,b,k,o,d,l,g,b,k,l,b,c,p,j,a,q,b,j,a,o,t,r,t,e,b,c,f,c,d,m,t,i,o,a,i,m,d,j,t,n,c,e,c,n,t,k,c,d,i,a,o,e,a,k,b,k,j,l,c,e,n,q,p,r,b,e,c4
p,d,c,c,d,o,f,i,b,g,g,p,c,c,t,t,r,f,h,t,c,n,b,e,m,o,n,r,b,r,t,t,p,c,f,b,g,i,t,o,r,i,k,c,f,q,a,q,t,a,p,p,g,i,t,r,t,a,h,c,f,h,k,k,g,r,h,a,j,j,o,g,q,s,n,b,k,n,j,k,n,e,q,o,g,d,a,r,g,t,j,n,a,g,l,l,k,d,l,h,c4
d,f,l,d,s,g,r,m,d,t,l,t,k,l,r,m,l,q,h,j,k,e,g,e,e,j,l,e,t,n,n,d,h,c,g,j,e,c,i,o,k,m,i,i,r,a,f,i,d,k,k,i,f,j,l,k,b,c,i,h,b,h,d,o,i,o,k,d,a,q,a,b,s,b,p,s,q,n,f,n,a,a,n,a,s,p,t,c,o,j,d,p,c,t,c,j,m,c,b,e,c5
d,c,c,f,b,k,a,f,d,t,l,j,a,j,f,a,h,q,p,g,p,p,g,m,p,j,o,d,o,i,e,g,c,l,a,b,r,k,c,l,e,k,r,c,i,a,r,g,o,s,o,b,i,e,l,a,k,b,o,r,b,l,n,h,h,b,c,e,q,m,r,s,j,d,t,s,l,o,h,i,n,o,o,j,m,m,d,c,m,b,d,f,h,j,p,c,m,s,b,j,c5
i,d,j,d,m,p,c,q,k,a,q,j,l,a,l,s,i,p,t,f,d,h,j,k,g,s,p,k,a,b,f,b,i,r,d,m,f,p,r,p,a,q,i,l,b,s,o,c,j,a,i,b,t,e,b,n,p,o,j,n,c,n,f,l,a,l,s,j,c,p,q,s,d,r,g,h,l,d,e,f,a,n,j,g,b,c,g,c,j,d,i,e,j,m,a,k,c,o,l,e,c3
c,h,b,a,o,b,s,q,i,l,d,g,l,g,t,e,p,a,l,l,o,a,d,c,t,s,q,j,s,o,r,o,c,c,k,t,f,m,s,e,r,j,k,n,q,r,m,s,d,o,k,g,m,s,m,r,t,h,j,c,f,f,i,a,l,t,k,a,o,c,r,e,m,g,g,j,b,n,r,k,f,q,o,r,m,r,a,g,f,i,j,k,r,d,j,a,o,a,n,a,c4
d,m,r,e,g,d,c,b,l,a,q,a,a,s,h,a,i,f,e,h,b,r,t,r,g,l,l,s,b,d,j,p,g,o,r,m,f,p,i,i,c,e,r,s,h,g,i,o,j,f,i,c,q,q,l,n,g,e,t,p,r,l,m,g,k,h,t,r,b,p,g,a,s,n,k,i,h,t,b,a,q,i,n,m,d,c,l,o,g,d,s,a,t,m,h,q,e,b,c,g,c3
h,s,c,a,p,g,g,p,a,n,f,i,o,o,g,d,q,s,p,g,l,h,l,l,q,g,d,i,i,c,g,m,i,o,f,m,q,i,f,h,t,s,d,f,f,r,s,p,i,a,p,a,i,n,a,r,n,j,a,s,c,c,j,e,c,b,r,h,m,e,o,a,m,q,g,j,g,q,j,f,t,p,p,d,g,t,s,q,p,d,e,j,t,o,j,m,o,d,p,c,c2
g,m,b,q,k,k,i,t,l,q,l,o,t,t,t,p,h,s,i,c,f,f,q,m,o,g,g,l,p,a,i,g,p,i,n,l,q,b,o,k,h,a,k,r,s,n,a,m,c,t,o,t,q,i,a,r,t,l,k,c,f,f,k,q,d,s,i,a,s,b,j,r,q,a,r,k,c,n,o,k,s,p,i,d,t,i,a,g,p,o,j,h,i,h,d,r,q,j,q,a,c4
m,i,i,r,b,g,l,i,e,m,k,e,f,f,t,q,a,m,e,m,f,l,j,c,g,l,q,k,t,b,f,k,j,l,s,t,d,q,f,m,p,l,k,j,i,q,m,l,l,g,b,q,q,e,n,r,t,s,o,c,f,f,l,h,m,p,r,a,g,j,c,a,m,t,i,l,g,n,t,k,a,j,q,f,l,f,a,p,t,d,j,l,t,a,n,t,j,k,d,l,c4
a,g,f,g,l,a,c,q,r,a,t,m,k,e,o,d,i,n,k,s,c,n,m,m,c,s,d,r,m,e,e,n,p,a,f,m,f,p,j,g,e,h,q,r,r,i,o,b,p,o,i,l,s,o,q,n,i,s,p,g,f,g,o,r,d,d,m,j,t,p,k,l,m,m,d,s,m,a,k,o,s,d,q,g,m,c,s,g,r,i,h,t,l,m,l,g,j,p,b,o,c3
c,p,l,k,l,n,c,p,j,a,b,h,g,c,j,n,i,d,j,j,k,t,l,i,e,s,d,e,o,t,k,o,l,d,d,m,f,p,m,f,f,h,b,l,g,q,t,r,e,s,i,b,r,o,q,n,k,e,h,b,k,f,h,n,d,l,s,n,p,p,d,k,p,c,s,p,t,d,j,l,t,e,t,l,c,c,t,h,e,e,h,a,g,m,h,h,l,t,l,d,c3
f,p,o,o,h,i,j,n,r,c,r,j,b,j,t,d,m,p,f,s,i,d,h,h,b,g,t,o,r,q,t,p,f,p,l,m,l,g,h,s,q,e,k,b,f,i,r,i,l,d,g,q,f,k,p,r,t,g,j,c,f,m,b,r,a,r,g,a,t,s,p,l,r,o,e,s,n,n,o,k,c,h,h,s,r,e,a,h,o,e,j,c,g,f,t,a,m,p,k,g,c4
i,p,q,l,m,c,i,a,b,m,t,h,e,r,o,b,s,n,e,n,d,c,t,e,d,j,i,o,k,t,m,j,l,t,m,s,j,i,f,e,e,h,p,k,e,a,h,h,f,t,f,l,t,n,t,m,c,f,m,j,a,e,p,g,b,j,n,r,t,o,t,d,t,d,f,e,q,e,r,g,s,e,r,f,f,e,f,t,l,c,a,e,d,b,m,g,m,d,m,i,c1
