@relation data3

@attribute A {ar,v,d,ao,ae,an,r,as,p,ag,ax,w,n,u,ah,i,z,s,e,ab,aq,al,f,ad,aa,au,ai,t,m,ak,am,aw,q,ap,a,o,ac,af,l,at,h,c,aj,x,av,k,j,b,y,g}
@attribute B {i,al,ak,m,ax,t,ab,ao,aa,l,c,k,as,ah,ap,q,b,ac,v,x,j,af,ai,d,ae,o,ar,ad,u,an,y,n,at,aw,f,p,am,aq,h,av,g,r,a,w,s,au,e,z,ag,aj}
@attribute C {al,j,as,ak,b,r,g,o,ag,ah,p,an,m,ar,h,x,ad,ab,ao,q,f,ap,e,aw,ac,i,av,z,v,l,y,c,aq,aj,u,d,t,ai,w,at,ae,am,ax,n,a,s,aa,au,af,k}
@attribute D {aw,c,an,aa,f,q,m,y,o,ax,g,as,ak,ao,af,l,ag,at,aj,w,ai,u,av,ar,t,n,am,d,ae,ad,z,s,j,h,v,al,ab,ap,r,ac,i,e,a,b,x,ah,k,au,p,aq}
@attribute E {r,ah,g,al,p,ag,ad,af,j,h,ae,s,l,f,i,b,k,am,u,ak,ao,aa,ar,ac,v,c,e,aj,an,w,z,o,n,a,m,ab,aw,ap,ax,at,ai,y,au,q,x,aq,t,as,d,av}
@attribute F {av,v,ap,u,n,w,r,ax,ac,ab,ar,aa,o,ag,ah,a,al,h,m,s,j,p,e,y,af,au,ak,f,k,z,aq,aw,c,i,an,g,b,ai,at,d,as,q,am,x,ad,t,l,ao,ae,aj}
@attribute G {ax,an,t,j,s,p,at,c,v,ah,aj,ar,f,m,r,aa,w,l,a,e,y,i,ag,ap,u,af,au,ao,ae,x,ad,k,ai,am,ak,aq,ac,d,b,h,av,ab,aw,as,g,o,q,al,z,n}
@attribute H {d,g,p,f,av,aq,aw,q,ao,am,ak,ah,u,ab,x,ac,c,o,e,i,ai,ar,af,r,w,au,ad,ag,y,as,al,at,k,l,ax,n,b,a,h,t,aj,j,m,ap,ae,an,aa,z,v,s}
@attribute I {k,aj,q,r,am,n,au,v,av,d,b,ai,ak,f,z,an,l,u,i,ao,h,o,aq,g,ab,as,ad,c,ag,ar,a,af,ap,s,ax,aa,ac,w,j,aw,ah,p,t,at,m,y,al,e,x,ae}
@attribute J {ac,b,k,s,ag,av,v,ai,c,ap,ak,y,h,an,a,i,af,r,ab,j,am,aq,q,as,ax,w,d,z,m,o,at,ae,u,x,p,e,aw,ah,n,t,ar,aa,au,ao,aj,g,l,al,ad,f}
@attribute K {b,s,ad,o,ax,ac,r,g,ah,aw,ao,p,e,ak,a,av,aq,l,ai,ap,au,k,d,ab,n,w,v,af,z,as,y,c,u,m,at,x,ag,t,aa,h,ae,f,al,i,an,j,q,aj,am,ar}
@attribute L {r,z,g,u,ah,ar,n,aq,b,am,an,p,w,ax,ab,ak,l,at,ac,o,au,a,aw,j,aj,f,av,t,al,ap,x,h,d,ad,ao,c,as,af,y,m,i,ai,ae,ag,q,k,s,e,aa,v}
@attribute M {n,as,s,aj,b,ao,ar,t,j,ad,ax,z,ab,h,x,l,aw,g,an,ac,y,u,ag,w,p,ak,aa,ah,e,d,i,q,al,a,k,v,c,ae,am,o,m,av,f,at,aq,ap,r,af,ai,au}
@attribute N {o,y,ap,ac,al,x,ax,am,u,v,an,n,aj,ab,l,g,t,ar,ae,r,as,q,a,aw,z,ag,ad,ao,d,p,ai,aq,ak,af,b,k,f,m,c,aa,i,av,s,e,h,j,ah,w,au,at}
@attribute O {k,s,ab,o,av,i,r,v,g,aj,at,ah,a,c,j,e,u,al,h,f,ac,ar,as,ae,ax,au,aa,ai,y,m,aq,af,l,am,z,x,d,an,ag,ad,w,p,ao,n,q,ak,t,b,aw,ap}
@attribute P {am,ax,r,x,aw,ae,k,v,a,av,ak,s,q,b,aq,h,c,ao,at,ap,z,w,ai,d,an,al,t,aa,af,ac,g,ar,j,e,ah,ag,n,as,l,au,u,f,ab,ad,p,m,o,i,y,aj}
@attribute Q {ap,z,h,af,k,ax,aj,a,as,f,aq,ag,ab,w,v,j,u,ak,y,l,i,ai,e,m,ae,ad,x,o,aw,av,am,at,ao,t,r,ar,q,s,au,ac,ah,aa,p,n,an,g,d,b,c,al}
@attribute R {j,ax,ae,w,c,u,am,a,ar,z,ad,p,ak,an,v,h,i,s,g,o,au,ac,ao,ai,k,ah,aj,b,t,af,av,r,q,ap,l,aq,n,as,m,ab,y,aw,e,x,at,al,ag,d,aa,f}
@attribute S {aj,b,aa,d,aw,at,x,ab,ax,au,ag,ak,aq,ae,n,l,v,f,o,ah,as,e,an,ac,z,ad,h,u,k,w,s,y,j,r,i,ai,m,a,af,al,t,q,g,ar,ao,am,c,ap,av,p}
@attribute T {t,l,j,s,as,ak,aj,ap,r,a,aw,ag,o,ae,z,q,aq,y,f,w,ax,e,x,c,ad,b,at,v,am,ai,aa,av,ab,p,an,k,ah,ar,g,au,i,ac,m,ao,u,h,af,n,al,d}
@attribute U {ae,av,j,q,aq,r,d,al,ax,as,ah,aj,l,ag,aw,v,p,au,ac,ap,y,ak,s,k,af,x,a,e,z,i,ao,n,ad,ar,g,an,ai,ab,w,aa,m,b,u,c,am,t,at,o,f,h}
@attribute V {av,g,v,aa,ah,ac,aw,aq,t,x,aj,ag,al,e,s,ax,ak,w,am,l,ar,ai,h,i,ao,ad,ae,b,at,j,u,q,m,a,au,an,ap,d,k,as,f,af,o,z,r,p,c,ab,y,n}
@attribute W {ak,as,r,af,k,h,ab,n,m,i,q,j,ao,am,z,ae,ax,aw,a,p,f,an,at,y,o,ah,w,e,ac,d,l,x,aq,g,av,ai,ad,s,aj,al,t,ag,b,v,c,aa,au,u,ap,ar}
@attribute X {z,m,ag,d,ar,n,c,aj,l,o,s,ai,p,ao,y,f,t,ax,g,k,e,q,i,ap,ab,au,aq,j,aw,ak,at,h,an,ac,av,ae,v,al,r,b,x,af,am,ad,ah,as,w,aa,u,a}
@attribute Y {au,m,p,ax,ae,av,af,am,ak,g,an,c,aw,al,y,at,z,b,aj,ap,aq,j,ai,as,h,ar,x,d,ao,t,v,e,ah,s,l,o,ac,i,ad,a,r,ab,w,f,n,u,k,ag,aa,q}
@attribute Z {a,aw,c,x,al,n,v,ak,aa,ab,g,aj,ag,ai,r,e,i,q,p,h,b,ah,l,y,ar,w,ac,k,t,at,ax,an,u,as,d,au,aq,f,af,s,z,o,ao,ap,ad,ae,am,av,m,j}
@attribute [ {l,y,ao,aq,r,a,k,ae,j,av,g,ax,w,b,i,ag,ac,ak,q,h,z,c,af,v,ab,ar,o,f,ai,ap,aj,e,p,n,at,ad,t,d,u,au,aa,an,ah,s,m,am,aw,al,x,as}
@attribute '\\' {as,e,af,am,v,ap,x,g,o,a,ar,c,z,ag,al,n,l,b,ax,av,t,aw,at,p,aj,u,ak,w,h,s,ah,d,an,ae,m,q,aa,ad,aq,ai,f,y,ao,k,ac,ab,r,i,j,au}
@attribute ] {as,aj,n,u,h,s,d,ap,ab,v,ao,an,ar,c,r,y,x,au,ae,m,aw,a,am,al,af,z,aq,b,q,o,t,g,ac,aa,k,ad,ak,j,f,i,at,ah,l,ag,p,ax,e,ai,av,w}
@attribute ^ {v,w,y,al,f,ao,z,a,aa,aq,au,p,n,k,ae,l,s,h,aj,b,av,at,an,o,aw,ak,ab,ap,ad,ar,as,m,ag,j,ax,am,t,r,g,i,ai,c,d,x,e,ah,ac,q,af,u}
@attribute Class {c2,c4,c3,c1}

@data
ag,ab,as,x,ag,l,t,o,s,ae,ad,aq,al,e,o,a,aj,ag,q,ap,aq,an,o,ar,at,ap,aq,s,av,aa,c1
aa,n,p,ak,aa,av,an,s,aj,au,b,z,as,ad,s,ax,p,p,b,y,z,ai,av,d,m,aw,y,e,i,f,c4
ab,u,al,aw,r,j,ax,ae,m,ac,p,ax,ab,aj,j,g,aq,v,aq,t,ae,av,ak,z,w,a,e,a,s,ak,c2
ao,ad,ap,aj,n,u,ar,s,q,m,j,g,at,u,g,l,af,v,am,l,q,ax,f,d,p,c,ao,af,as,ap,c3
a,a,al,aw,r,z,ax,af,af,n,av,x,af,p,am,am,aj,r,ao,t,ae,av,ak,z,n,a,s,aq,b,e,c2
ag,ab,j,ah,ag,l,o,aj,ai,i,ar,aq,a,av,o,a,aj,as,ae,j,aq,ax,aa,ar,ak,g,u,aq,aa,aa,c1
k,c,ax,k,ai,w,an,af,ap,aq,v,z,as,ad,s,ax,av,o,b,m,e,s,ae,v,m,aw,y,e,t,q,c4
ag,ab,g,ab,ag,av,e,e,h,u,m,aq,m,ad,o,a,aj,ac,an,l,aq,aw,r,ar,m,g,f,aq,b,aa,c1
ao,ap,g,aa,e,k,aa,ae,q,k,ai,g,as,t,ac,c,af,y,aj,x,q,r,p,d,p,c,ao,af,r,am,c3
f,w,al,aw,r,v,ax,aj,q,p,ah,an,af,as,ar,c,v,q,d,t,ae,av,ak,z,u,a,ac,r,af,r,c2
ak,n,j,e,n,am,an,ab,i,ad,n,z,as,al,s,ax,u,aq,b,d,z,aw,b,ab,m,aw,y,e,k,i,c4
ah,b,al,aw,r,au,ax,ad,af,ak,at,w,z,d,e,ar,ac,ac,ao,t,ae,av,ak,z,c,a,r,g,ah,m,c2
ag,ab,z,al,ag,r,ac,s,ak,q,i,aq,f,x,o,a,aj,n,u,ax,aq,k,ar,ar,n,m,a,g,au,aa,c1
ao,am,am,af,o,n,c,o,q,ao,ab,g,j,as,g,x,af,w,w,s,q,u,au,d,p,c,ao,af,ag,v,c3
ag,ab,t,ag,ag,aq,au,aj,as,d,t,aq,t,am,o,a,aj,ah,r,d,aq,ai,p,ar,f,b,y,f,as,aa,c1
c,ad,al,aw,r,ai,ax,m,ap,h,ar,ab,ap,aa,ai,af,h,am,aj,t,ae,av,ak,z,at,a,h,ar,ax,au,c2
a,aq,q,ap,f,j,an,am,at,an,q,z,as,ak,s,ax,j,an,b,g,ad,at,x,ai,m,aw,y,e,z,au,c4
ao,aa,ak,al,ao,e,m,d,q,h,ax,g,ad,af,at,as,af,d,f,ac,q,aj,e,d,p,c,ao,af,ah,aa,c3
ao,s,j,ak,m,ah,aj,ac,q,a,h,g,aa,ab,aw,x,af,af,v,u,q,aq,av,d,p,c,ao,af,j,t,c3
ao,t,k,ah,c,h,h,l,q,w,a,g,a,l,ab,t,af,af,aj,h,q,q,h,d,p,c,ao,af,av,s,c3
g,s,al,aw,r,ac,ax,j,k,ar,au,an,au,al,t,y,ae,am,s,t,ae,av,ak,z,d,a,af,i,ac,ab,c2
e,d,ah,z,k,ak,an,i,j,ar,ac,z,as,af,s,ax,n,au,b,c,aj,ap,ar,v,m,aw,y,e,d,an,c4
ak,u,al,aw,r,ab,ax,y,ar,ap,v,ao,t,ar,p,ak,ao,ai,i,t,ae,av,ak,z,aa,a,s,w,s,aw,c2
ao,ah,ap,k,af,b,ab,ak,q,p,q,g,d,o,t,e,af,af,g,w,q,ah,o,d,p,c,ao,af,l,as,c3
n,e,u,u,l,aj,an,aa,as,ac,am,z,as,m,s,ax,b,au,b,al,ah,o,aa,an,m,aw,y,e,r,w,c4
ag,ab,p,l,ag,av,an,t,ai,f,h,aq,as,h,o,a,aj,as,ae,ax,aq,m,ag,ar,ak,t,av,ai,ab,aa,c1
o,b,al,aw,r,ax,ax,at,ab,u,e,aw,at,af,m,b,ad,r,w,t,ae,av,ak,z,i,a,af,l,av,s,c2
ag,ab,h,j,ag,ac,al,ag,z,ab,o,aq,av,a,o,a,aj,al,ax,ak,aq,x,aa,ar,z,l,e,au,at,aa,c1
e,u,x,q,ag,af,an,l,an,aj,ah,z,as,p,s,ax,i,u,b,ab,al,ar,o,ar,m,aw,y,e,y,ac,c4
ag,ab,p,j,ag,n,r,ak,r,an,m,aq,a,au,o,a,aj,d,q,ad,aq,ax,p,ar,e,z,p,ai,aw,aa,c1
aw,an,al,aw,r,s,ax,aj,aq,e,au,ak,p,a,w,ai,p,j,w,t,ae,av,ak,z,t,a,e,av,aw,as,c2
ag,ab,ai,n,ag,m,ad,p,ag,m,aw,aq,c,av,o,a,aj,i,as,b,aq,ax,m,ar,l,ai,l,at,aj,aa,c1
ao,y,b,l,aw,n,ag,af,q,g,ad,g,y,n,af,ah,af,b,aa,o,q,l,z,d,p,c,ao,af,ad,a,c3
aj,ax,al,aw,r,i,ax,o,b,ax,a,am,n,am,au,n,t,z,u,t,ae,av,ak,z,x,a,af,w,ad,ar,c2
ag,ab,aj,x,ag,ae,ax,t,a,ak,j,aq,as,aj,o,a,aj,x,ar,z,aq,ap,aw,ar,aq,af,k,o,aq,aa,c1
ag,ab,ae,as,ag,ap,v,t,ad,w,c,aq,ax,s,o,a,aj,an,aj,g,aq,k,i,ar,m,z,k,ab,af,aa,c1
ao,aw,f,r,am,an,n,z,q,y,d,g,ad,ae,af,ax,af,i,aj,s,q,z,f,d,p,c,ao,af,n,av,c3
ag,ab,ac,i,ag,e,ap,ai,an,x,s,aq,ax,ar,o,a,aj,as,ak,at,aq,d,ap,ar,ae,ad,at,ab,h,aa,c1
ag,ab,x,aw,ag,aw,at,aw,au,w,au,aq,av,e,o,a,aj,ap,av,r,aq,w,q,ar,u,i,c,aa,e,aa,c1
c,x,al,aw,r,p,ax,aq,ai,k,ac,u,z,n,aq,k,ad,ah,v,t,ae,av,ak,z,v,a,x,x,at,ak,c2
k,y,am,ax,q,ag,an,au,ap,ag,t,z,as,d,s,ax,ah,aa,b,an,ae,ao,i,ap,m,aw,y,e,p,w,c4
ao,ab,av,am,al,aq,aq,x,q,aa,o,g,g,r,h,ac,af,a,k,at,q,aw,at,d,p,c,ao,af,af,h,c3
ag,ab,c,m,ag,m,n,o,e,ax,aw,aq,aa,ab,o,a,aj,s,ag,au,aq,ai,d,ar,d,v,ai,f,ax,aa,c1
ao,d,aa,an,ad,m,ab,ad,q,p,i,g,ab,r,an,n,af,aw,d,au,q,x,u,d,p,c,ao,af,ap,aa,c3
ag,ab,l,t,ag,ac,r,b,u,x,b,aq,ad,am,o,a,aj,c,n,d,aq,al,z,ar,ao,ag,ag,aj,as,aa,c1
ao,n,aj,w,af,h,ag,aw,q,r,as,g,u,aj,i,a,af,s,t,l,q,x,au,d,p,c,ao,af,au,j,c3
ag,ab,ax,w,ag,d,n,k,ak,ac,at,aq,s,ak,o,a,aj,b,aq,e,aq,w,ab,ar,r,aj,w,z,aa,aa,c1
ao,b,z,k,n,am,ah,u,q,k,a,g,e,y,a,k,af,ah,j,e,q,a,ac,d,p,c,ao,af,ap,i,c3
ao,b,am,an,n,ao,ab,al,q,ac,av,g,g,l,m,g,af,n,t,ar,q,s,ax,d,p,c,ao,af,ao,y,c3
ag,ab,aw,ar,ag,aw,av,ab,r,d,d,aq,ah,av,o,a,aj,o,aq,aq,aq,e,n,ar,z,as,i,an,y,aa,c1
at,x,al,aw,r,an,ax,y,t,as,b,h,an,aq,q,ab,af,ah,f,t,ae,av,ak,z,d,a,j,af,l,aw,c2
ao,l,af,b,t,n,r,ab,q,aa,ag,g,an,at,ao,m,af,w,w,o,q,ak,ap,d,p,c,ao,af,o,ab,c3
k,o,s,ar,as,ae,an,ap,h,au,b,z,as,aj,s,ax,i,x,b,aq,au,an,ai,r,m,aw,y,e,af,ac,c4
ag,ab,ak,i,ag,at,aw,ag,ag,a,ax,aq,w,aq,o,a,aj,l,t,r,aq,t,at,ar,ao,ad,ap,v,i,aa,c1
ao,h,v,c,at,ar,i,am,q,g,ap,g,m,ax,j,e,af,ax,e,ag,q,aa,e,d,p,c,ao,af,ad,p,c3
ah,f,j,d,aa,af,an,f,an,av,s,z,as,j,s,ax,ae,as,b,l,j,av,am,c,m,aw,y,e,as,j,c4
ao,ae,af,h,d,ab,v,b,q,an,l,g,u,av,r,g,af,ao,w,au,q,as,d,d,p,c,ao,af,ah,at,c3
y,ag,al,a,a,z,an,ap,ac,av,aq,z,as,c,s,ax,r,q,b,e,s,e,aj,s,m,aw,y,e,av,ab,c4
ag,ab,m,c,ag,as,a,ac,ah,aq,y,aq,ai,as,o,a,aj,at,aa,ae,aq,ar,k,ar,p,o,ab,aq,as,aa,c1
al,g,x,ao,ar,at,an,ak,aw,p,x,z,as,t,s,ax,v,ag,b,d,u,h,b,k,m,aw,y,e,aa,as,c4
f,e,al,aw,r,w,ax,m,t,j,p,q,ap,s,aj,z,a,x,aa,t,ae,av,ak,z,a,a,l,t,l,ab,c2
ao,au,z,aq,af,at,p,ad,q,am,n,g,af,s,ad,a,af,aq,k,ag,q,ap,z,d,p,c,ao,af,ap,ab,c3
af,l,al,aw,r,w,ax,r,c,z,ax,y,aw,q,k,at,as,c,af,t,ae,av,ak,z,an,a,d,f,at,ao,c2
ai,al,aa,as,al,o,an,ao,ag,v,am,z,as,q,s,ax,ad,aa,b,j,ax,ac,ah,i,m,aw,y,e,y,at,c4
ao,s,aa,g,k,ap,l,ab,q,ax,ae,g,n,v,b,ao,af,an,at,o,q,o,av,d,p,c,ao,af,am,ag,c3
ag,ab,af,z,ag,ap,ak,s,ax,aj,aj,aq,f,n,o,a,aj,an,ag,ai,aq,ab,d,ar,ax,ap,o,q,i,aa,c1
ao,c,ax,g,p,g,ae,d,q,am,ak,g,aa,w,an,d,af,s,w,d,q,u,p,d,p,c,ao,af,aj,j,c3
ag,ab,i,w,ag,ab,ag,m,a,aa,ad,aq,j,an,o,a,aj,ad,aj,ah,aq,w,y,ar,aw,r,a,a,al,aa,c1
ag,ab,g,i,ag,an,ar,q,ab,ax,u,aq,w,n,o,a,aj,v,ad,af,aq,x,aw,ar,ab,ai,ai,d,am,aa,c1
ao,s,al,h,s,l,n,au,q,n,aj,g,d,u,ai,as,af,am,y,g,q,ar,af,d,p,c,ao,af,ab,v,c3
al,u,s,av,d,ax,an,ap,ag,ag,n,z,as,aa,s,ax,t,an,b,e,y,i,au,v,m,aw,y,e,as,al,c4
ae,n,r,e,j,e,an,ap,an,au,aj,z,as,at,s,ax,aw,d,b,am,aw,an,l,aw,m,aw,y,e,i,b,c4
ao,d,al,aw,r,d,ax,as,b,as,s,a,af,x,u,ax,ae,v,q,t,ae,av,ak,z,af,a,ah,aa,t,l,c2
ag,ab,e,u,ag,a,ax,ao,s,k,x,aq,x,r,o,a,aj,b,s,aq,aq,ap,ar,ar,e,an,ag,ad,w,aa,c1
b,ag,al,ar,ab,t,an,ae,q,n,y,z,as,t,s,ax,s,al,b,e,al,w,aa,s,m,aw,y,e,v,ak,c4
ag,ab,ah,c,ag,af,af,ae,al,z,m,aq,ar,f,o,a,aj,an,aj,x,aq,s,af,ar,w,e,k,ar,ak,aa,c1
av,an,al,aw,r,ah,ax,q,a,ax,af,av,w,w,s,af,q,aq,t,t,ae,av,ak,z,am,a,ag,g,am,m,c2
ag,ab,au,w,ag,m,r,k,ai,ag,ar,aq,k,h,o,a,aj,as,ab,n,aq,l,a,ar,ag,ac,am,n,ao,aa,c1
o,j,n,a,e,k,an,d,p,i,x,z,as,au,s,ax,ai,p,b,av,am,ax,i,c,m,aw,y,e,f,s,c4
ao,am,at,d,ap,aq,ax,at,q,t,ac,g,ax,i,af,x,af,ar,aa,g,q,m,ag,d,p,c,ao,af,ak,w,c3
b,r,al,aw,r,t,ax,y,aw,am,ac,e,au,aj,d,x,at,m,an,t,ae,av,ak,z,am,a,s,r,ah,au,c2
ao,ah,p,ab,p,e,ac,h,q,ak,ag,g,ai,g,as,ar,af,s,ak,g,q,n,d,d,p,c,ao,af,ak,av,c3
ag,ab,b,af,ag,ad,d,ab,aj,q,ac,aq,aj,ad,o,a,aj,aa,aq,ai,aq,r,am,ar,ar,ak,l,af,aj,aa,c1
ag,ab,y,b,ag,at,ah,ai,au,t,at,aq,g,s,o,a,aj,g,ag,ad,aq,d,v,ar,i,ak,x,ax,ab,aa,c1
ab,c,av,av,q,ac,an,y,a,z,ax,z,as,p,s,ax,u,u,b,k,aj,ab,b,ai,m,aw,y,e,ah,q,c4
t,j,al,aw,r,l,ax,z,w,ak,b,ap,h,a,q,m,aw,a,r,t,ae,av,ak,z,aq,a,m,ac,c,z,c2
e,t,al,aw,r,ak,ax,x,ai,aq,q,k,am,l,al,ar,h,d,ao,t,ae,av,ak,z,an,a,aa,at,z,at,c2
ag,ab,p,au,ag,ab,h,h,e,t,b,aq,r,q,o,a,aj,ak,aq,am,aq,ad,t,ar,p,o,aa,au,at,aa,c1
g,l,ab,f,m,aa,an,i,c,at,g,z,as,z,s,ax,t,k,b,g,as,v,ak,l,m,aw,y,e,e,q,c4
ag,ab,ak,m,ag,e,c,aa,ak,y,c,aq,as,ag,o,a,aj,ab,ax,q,aq,aw,an,ar,y,k,r,v,m,aa,c1
am,z,al,aw,r,w,ax,i,e,k,q,e,v,aq,am,ah,i,i,u,t,ae,av,ak,z,av,a,ap,at,al,aw,c2
aw,ad,al,aw,r,ar,ax,p,i,a,g,av,ac,aa,n,ap,f,i,p,t,ae,av,ak,z,y,a,z,q,aq,z,c2
v,ae,al,aw,r,ak,ax,m,ar,m,ar,j,d,aq,m,an,an,t,ak,t,ae,av,ak,z,au,a,z,t,av,ad,c2
ao,a,am,an,ac,ap,av,ao,q,ag,aw,g,m,ab,l,af,af,at,l,an,q,at,q,d,p,c,ao,af,aq,i,c3
ao,ai,n,ar,b,r,n,v,q,aa,t,g,as,v,d,am,af,r,ae,as,q,at,e,d,p,c,ao,af,k,y,c3
ag,ab,i,aw,ag,ak,s,af,o,ah,d,aq,m,ah,o,a,aj,ab,ai,d,aq,g,z,ar,q,as,ax,c,f,aa,c1
am,aa,n,v,ad,aj,an,f,u,a,y,z,as,ab,s,ax,ar,ap,b,aw,aw,m,s,ar,m,aw,y,e,ax,am,c4
f,y,q,o,y,ai,an,q,ap,f,l,z,as,ar,s,ax,z,y,b,ad,an,k,w,ae,m,aw,y,e,ap,o,c4
m,ac,al,aw,r,at,ax,l,j,p,ad,ah,f,at,al,c,b,aa,i,t,ae,av,ak,z,c,a,p,ax,y,p,c2
d,af,al,aw,r,aw,ax,aq,aw,ao,m,n,x,ae,r,al,d,b,au,t,ae,av,ak,z,n,a,ai,aq,ae,ab,c2
af,ab,v,af,aq,aq,an,z,v,af,j,z,as,au,s,ax,t,aq,b,l,z,an,o,u,m,aw,y,e,q,ap,c4
ao,q,g,ae,ap,au,j,i,q,ai,ai,g,ae,m,n,ah,af,ax,av,an,q,as,ao,d,p,c,ao,af,av,al,c3
u,x,o,aw,ak,p,an,ai,au,am,i,z,as,ac,s,ax,ab,v,b,c,ae,ai,p,w,m,aw,y,e,ar,s,c4
ah,u,al,aw,r,h,ax,o,au,r,ar,ah,t,k,ai,ai,f,aa,x,t,ae,av,ak,z,s,a,y,ai,f,ap,c2
ag,ab,y,aw,ag,af,n,o,o,al,aa,aq,ab,ap,o,a,aj,m,z,ae,aq,m,am,ar,p,d,ap,ab,ab,aa,c1
ag,ab,ad,at,ag,l,y,am,u,al,e,aq,e,ap,o,a,aj,b,as,a,aq,t,ah,ar,at,h,ao,f,e,aa,c1
m,m,al,aw,r,i,ax,j,g,ar,ai,ag,y,q,h,ac,ak,an,as,t,ae,av,ak,z,g,a,ak,t,k,ao,c2
ao,aa,at,an,ab,n,o,ad,q,l,aj,g,ah,ai,n,y,af,e,p,ad,q,ax,t,d,p,c,ao,af,l,n,c3
av,y,j,w,q,y,an,o,l,ax,o,z,as,d,s,ax,ab,w,b,t,aw,e,aw,w,m,aw,y,e,u,ad,c4
t,e,al,aw,r,aw,ax,x,ax,aj,s,aq,y,d,e,ar,au,ak,z,t,ae,av,ak,z,as,a,av,ao,n,ax,c2
ao,c,t,g,s,ap,as,av,q,ae,ao,g,aq,aj,ab,l,af,b,ae,l,q,w,ag,d,p,c,ao,af,ax,ai,c3
l,at,al,aw,r,n,ax,g,i,aw,i,f,aj,l,an,aq,ag,ax,as,t,ae,av,ak,z,aa,a,l,ak,ax,x,c2
av,aq,ar,am,m,e,an,t,ac,aj,am,z,as,z,s,ax,w,g,b,t,x,af,x,u,m,aw,y,e,ah,aa,c4
ao,w,g,a,h,ae,ao,h,q,ar,ao,g,ah,ac,ax,q,af,e,ar,an,q,l,w,d,p,c,ao,af,ag,z,c3
ag,ab,g,z,ag,l,ag,o,u,ak,t,aq,as,ad,o,a,aj,t,ab,a,aq,t,e,ar,at,d,ac,x,j,aa,c1
ag,ab,ap,aj,ag,b,aa,aj,t,ao,o,aq,ac,x,o,a,aj,aw,g,aj,aq,ap,i,ar,e,h,b,s,t,aa,c1
ag,ab,av,h,ag,ae,af,ac,b,f,af,aq,j,at,o,a,aj,o,l,au,aq,e,o,ar,n,al,au,aa,v,aa,c1
ag,ab,l,o,ag,w,l,am,ah,r,p,aq,au,e,o,a,aj,ap,d,ap,aq,u,i,ar,ax,ao,x,l,s,aa,c1
ao,j,n,l,t,an,q,q,q,ar,g,g,s,ae,b,j,af,a,t,av,q,ae,u,d,p,c,ao,af,x,ah,c3
ao,y,am,ag,z,d,ai,z,q,o,as,g,r,u,ak,w,af,ac,at,l,q,aj,i,d,p,c,ao,af,k,am,c3
ao,l,g,ah,al,ae,ao,k,q,d,ab,g,aa,ax,f,g,af,ao,as,ae,q,ad,l,d,p,c,ao,af,al,ar,c3
as,af,al,aw,r,ah,ax,e,e,c,at,aw,aj,o,ac,r,ac,aq,aq,t,ae,av,ak,z,aa,a,aa,aj,ax,ap,c2
r,al,al,aw,r,g,ax,af,ao,u,ap,a,ab,ad,aw,b,k,h,ax,t,ae,av,ak,z,ai,a,n,h,n,au,c2
p,g,x,ai,e,j,an,aj,f,d,am,z,as,ac,s,ax,d,d,b,e,l,am,ag,e,m,aw,y,e,k,af,c4
ag,ab,aj,x,ag,m,ar,av,f,ax,j,aq,ah,at,o,a,aj,p,ac,ak,aq,am,m,ar,ax,aa,p,as,h,aa,c1
ao,ah,au,ai,ab,aq,r,ao,q,y,n,g,k,ah,aa,i,af,b,ao,y,q,s,ar,d,p,c,ao,af,n,ao,c3
m,c,af,an,x,ar,an,aj,f,o,as,z,as,j,s,ax,i,e,b,av,p,c,ab,a,m,aw,y,e,a,j,c4
aa,r,al,aw,r,ap,ax,au,s,r,f,av,ao,ap,y,o,r,e,aq,t,ae,av,ak,z,y,a,ai,i,b,aw,c2
ao,d,d,av,ap,au,i,ao,q,a,af,g,ap,s,q,av,af,q,d,o,q,n,r,d,p,c,ao,af,o,ae,c3
aq,h,ao,x,e,ah,an,b,an,j,ac,z,as,l,s,ax,j,al,b,at,ai,s,ah,y,m,aw,y,e,aw,ag,c4
h,d,al,aw,r,au,ax,j,s,ai,ah,ah,l,al,ax,s,x,ad,y,t,ae,av,ak,z,a,a,m,al,ac,o,c2
ao,ad,at,aa,z,r,w,q,q,ak,i,g,ap,z,v,b,af,am,ak,p,q,m,y,d,p,c,ao,af,e,au,c3
ao,s,ag,ax,f,as,c,j,q,p,e,g,o,ax,ac,z,af,g,d,ac,q,g,aa,d,p,c,ao,af,c,g,c3
ag,ab,au,ak,ag,ah,au,au,ap,av,ap,aq,d,l,o,a,aj,ad,am,ap,aq,n,au,ar,ar,au,ak,ad,j,aa,c1
ag,ab,i,al,ag,ak,af,ar,a,af,u,aq,n,ap,o,a,aj,ad,au,aj,aq,ak,ap,ar,f,g,ab,ak,as,aa,c1
ag,ab,au,t,ag,a,aw,l,ak,al,x,aq,av,af,o,a,aj,p,i,an,aq,m,aa,ar,ar,i,a,ar,af,aa,c1
ag,ab,r,ad,ag,m,ai,ag,x,l,z,aq,aj,au,o,a,aj,aj,ax,m,aq,h,x,ar,s,d,z,b,u,aa,c1
ag,ab,w,ap,ag,m,e,aw,q,n,aq,aq,ad,x,o,a,aj,i,a,k,aq,c,aq,ar,ao,aj,i,ag,ac,aa,c1
ag,as,ap,aa,r,j,an,x,ar,aa,z,z,as,t,s,ax,am,n,b,aj,c,ab,o,y,m,aw,y,e,al,an,c4
