@relation 50_10_5_10_5_1000

@attribute A1 {c,a,e,d,i,j,h,b,f,g}
@attribute A2 {h,c,d,g,j,i,e,a,f,b}
@attribute A3 {c,h,e,a,b,g,d,f,j,i}
@attribute A4 {e,c,d,g,f,b,h,a,j,i}
@attribute A5 {d,j,h,i,f,g,b,e,c,a}
@attribute A6 {d,h,b,g,c,j,f,e,a,i}
@attribute A7 {i,e,d,j,g,f,h,c,a,b}
@attribute A8 {g,e,c,h,d,j,i,f,a,b}
@attribute A9 {e,h,a,g,i,b,j,d,f,c}
@attribute A10 {i,j,b,f,d,a,c,h,g,e}
@attribute A11 {c,b,g,h,j,d,i,a,e,f}
@attribute A12 {a,g,c,f,j,e,h,d,b,i}
@attribute A13 {f,a,d,b,g,j,c,e,i,h}
@attribute A14 {d,f,j,b,c,g,i,a,h,e}
@attribute A15 {d,b,e,h,g,a,i,j,c,f}
@attribute A16 {h,d,i,j,a,g,c,f,b,e}
@attribute A17 {f,b,h,c,a,e,g,j,d,i}
@attribute A18 {h,f,c,i,e,g,j,a,b,d}
@attribute A19 {c,e,b,i,j,d,a,g,h,f}
@attribute A20 {j,h,b,d,c,f,g,e,a,i}
@attribute A21 {g,f,a,e,c,h,d,b,i,j}
@attribute A22 {e,h,g,a,j,b,i,c,f,d}
@attribute A23 {e,h,d,g,a,i,b,f,j,c}
@attribute A24 {i,g,c,h,d,j,a,f,b,e}
@attribute A25 {e,f,j,a,b,i,h,g,d,c}
@attribute A26 {g,b,c,a,d,j,i,h,f,e}
@attribute A27 {g,c,f,i,a,b,h,e,j,d}
@attribute A28 {i,c,e,j,b,d,f,h,g,a}
@attribute A29 {f,b,h,i,a,g,e,c,j,d}
@attribute A30 {a,g,d,b,i,j,h,f,e,c}
@attribute A31 {g,a,e,b,i,h,d,j,c,f}
@attribute A32 {c,d,i,h,f,j,g,e,b,a}
@attribute A33 {d,e,c,j,b,h,i,g,a,f}
@attribute A34 {d,b,e,h,i,a,c,j,f,g}
@attribute A35 {h,d,a,i,b,j,e,c,f,g}
@attribute A36 {e,i,b,h,a,d,g,f,j,c}
@attribute A37 {e,a,c,h,j,f,d,b,g,i}
@attribute A38 {j,b,a,d,h,g,e,c,f,i}
@attribute A39 {a,j,i,b,c,h,g,e,d,f}
@attribute A40 {e,c,g,d,i,h,a,f,b,j}
@attribute A41 {b,f,e,i,d,h,c,j,g,a}
@attribute A42 {a,h,i,f,d,e,j,c,b,g}
@attribute A43 {d,i,f,h,j,c,a,g,e,b}
@attribute A44 {c,h,f,i,d,g,j,a,e,b}
@attribute A45 {c,f,g,e,b,j,d,i,h,a}
@attribute A46 {a,f,d,i,g,e,c,j,b,h}
@attribute A47 {c,i,g,b,a,h,d,j,f,e}
@attribute A48 {c,g,d,i,j,h,b,a,e,f}
@attribute A49 {c,j,i,g,h,e,a,d,f,b}
@attribute A50 {f,j,h,a,e,d,c,b,g,i}
@attribute Class {c4,c1,c3,c2,c5}

@data
f,e,h,b,i,c,e,i,e,b,a,a,g,d,g,g,e,g,c,f,a,c,f,b,e,a,j,h,f,h,h,h,h,d,h,i,a,e,e,d,j,a,g,h,g,g,f,i,e,c,c5
j,h,j,f,i,d,c,c,d,g,g,e,f,d,g,f,b,f,d,c,g,h,i,g,h,d,a,e,h,d,e,g,b,a,b,e,f,j,b,a,b,a,d,e,g,c,h,c,c,e,c4
f,c,g,a,e,d,f,i,f,g,g,a,g,i,h,b,e,b,h,f,h,a,e,b,i,d,j,c,f,g,b,h,a,d,f,d,f,e,e,i,i,a,e,f,g,j,a,i,a,b,c5
f,j,c,h,h,b,a,i,j,g,c,a,g,g,a,g,e,a,b,e,d,i,f,i,e,a,j,h,f,f,h,h,f,d,g,g,d,e,e,e,d,i,a,i,c,b,b,i,d,h,c5
i,a,a,g,d,f,f,e,d,i,d,f,b,j,g,e,j,a,h,a,a,g,a,j,f,d,f,h,a,e,j,f,b,e,h,a,d,d,c,i,g,j,g,a,e,f,g,j,i,h,c2
i,g,i,h,h,b,g,g,c,i,i,f,b,b,b,c,j,e,e,b,b,g,g,g,f,h,f,j,e,f,j,f,b,e,j,h,g,j,c,e,j,i,d,h,h,d,a,h,i,g,c2
f,a,c,b,g,c,d,i,g,a,g,a,g,a,i,i,e,j,j,h,c,a,d,j,b,i,j,i,f,e,i,g,a,d,j,f,f,e,e,e,i,a,a,h,e,c,b,i,e,d,c5
f,c,g,g,b,f,d,i,b,b,g,a,g,h,b,a,e,i,g,c,a,h,j,j,b,a,j,g,f,d,c,e,g,d,j,e,j,e,e,f,c,c,i,c,a,g,c,i,g,c,c5
j,d,h,h,h,c,a,c,a,f,g,e,a,h,e,i,j,j,i,b,g,g,b,c,g,i,h,e,h,a,f,b,h,e,h,e,e,h,i,h,i,c,d,g,g,d,g,b,j,g,c1
f,d,h,f,g,b,g,i,g,b,j,a,g,g,i,d,e,c,e,f,h,i,d,e,d,e,j,d,f,c,c,f,e,d,d,a,h,e,e,f,d,f,a,j,c,d,e,i,f,j,c5
i,h,d,d,g,b,c,a,a,i,g,f,b,h,j,b,f,h,b,f,c,g,i,c,f,d,f,f,e,i,j,f,b,i,j,f,h,d,c,f,j,h,c,i,g,f,a,j,i,j,c2
d,d,a,d,h,b,g,c,a,h,g,e,a,d,e,i,d,a,g,b,g,j,f,c,f,h,c,e,a,a,g,g,h,c,g,e,i,c,j,g,c,j,j,j,j,j,b,h,i,h,c1
f,h,c,g,f,c,d,i,f,h,d,a,g,j,c,h,e,d,c,h,i,c,c,g,b,g,j,f,f,c,i,f,a,d,e,a,h,e,e,e,e,b,j,f,h,f,i,i,h,c,c5
i,c,f,d,b,d,i,j,f,g,e,j,f,d,i,h,g,g,g,h,g,j,d,i,g,h,i,h,e,c,j,b,j,j,g,e,a,j,g,g,b,a,d,c,g,c,f,c,c,d,c4
d,a,h,c,f,f,b,i,g,f,i,f,c,j,j,j,f,g,h,i,f,j,i,c,f,f,g,f,f,d,a,h,h,i,e,d,h,a,b,c,h,e,b,g,f,f,b,g,h,g,c3
f,f,f,j,g,d,e,i,i,f,e,a,g,h,g,d,e,i,e,b,b,j,h,g,f,g,j,i,f,e,d,i,g,d,h,e,i,e,e,h,c,j,d,c,j,f,f,i,d,i,c5
h,j,h,h,h,c,a,c,a,a,g,h,a,b,e,i,d,h,i,b,j,b,d,c,h,b,j,e,e,e,g,a,j,b,f,e,c,f,h,a,a,d,j,c,b,d,b,d,i,g,c1
e,a,g,c,f,j,j,c,h,g,d,h,a,a,j,j,e,e,g,e,f,i,f,a,e,h,a,c,b,d,g,h,f,i,i,e,j,a,b,c,h,j,f,a,g,j,a,g,b,g,c3
b,a,i,i,h,e,e,c,a,h,g,f,a,a,e,i,j,i,c,b,a,h,f,c,b,b,j,e,c,j,f,c,g,b,g,e,a,i,i,f,a,i,i,c,f,g,f,b,e,i,c1
b,j,g,c,f,e,f,h,h,i,d,d,b,j,j,j,h,a,g,g,f,j,a,g,a,f,f,a,i,d,c,h,j,i,j,h,i,a,b,c,g,e,e,d,g,h,j,g,e,e,c3
c,i,i,c,f,d,d,j,a,d,j,a,c,d,a,j,b,j,c,c,f,f,c,d,a,i,e,h,f,d,a,h,h,i,j,i,b,a,b,c,f,e,b,e,b,j,b,g,b,d,c3
e,h,c,h,h,b,g,c,a,d,g,d,a,a,e,i,f,c,b,b,h,c,d,c,i,c,c,e,i,c,e,b,d,a,j,e,e,e,b,i,i,g,c,b,d,d,j,j,i,f,c1
a,b,d,c,h,b,g,c,a,h,g,c,a,a,e,i,j,d,e,b,b,c,d,c,i,j,i,e,f,h,g,j,j,h,g,e,a,f,h,b,e,j,c,f,i,c,g,i,h,h,c1
c,d,h,c,f,h,j,a,c,h,b,c,c,a,c,j,a,j,b,g,f,c,f,c,e,g,g,i,i,d,b,h,g,i,f,b,c,a,b,c,j,h,h,j,b,g,j,g,i,g,c3
a,b,h,b,h,d,g,g,f,i,h,c,f,d,d,d,e,g,b,a,g,a,e,c,a,b,b,e,c,a,c,d,e,c,g,e,f,j,d,c,b,a,d,a,e,e,f,c,c,i,c4
h,d,i,i,c,d,f,i,g,f,h,f,f,d,f,e,i,b,c,b,g,a,f,d,h,j,b,e,h,i,f,f,h,f,a,e,b,j,c,g,b,a,d,h,i,f,c,c,c,j,c4
b,e,a,a,h,j,h,c,a,f,g,b,a,h,e,i,f,a,e,b,h,e,c,c,j,f,e,e,a,c,f,c,h,j,c,e,d,j,c,i,b,i,i,c,f,f,b,i,e,c,c1
d,c,f,j,h,c,e,c,a,h,g,a,a,g,e,i,f,c,g,b,c,a,i,c,a,e,d,e,c,a,i,e,g,e,f,e,h,c,g,c,f,b,i,c,c,a,f,a,a,h,c1
i,f,g,h,i,h,d,e,i,i,i,f,b,b,a,j,h,e,e,c,h,g,f,h,f,h,f,j,b,i,i,f,b,b,b,g,h,f,c,h,b,h,b,g,d,j,i,g,i,d,c2
h,d,h,a,g,d,b,d,g,f,i,j,f,d,h,f,f,d,b,d,g,d,b,i,a,h,a,c,i,e,f,b,a,b,e,e,d,j,d,d,b,a,d,d,h,h,g,c,c,g,c4
f,i,h,c,h,e,i,i,f,a,f,a,g,b,h,a,e,h,e,g,d,b,d,f,j,a,j,j,f,a,a,g,j,d,b,g,a,e,e,j,b,a,f,a,d,g,g,i,f,i,c5
i,b,b,i,f,d,d,h,a,i,h,f,b,e,d,c,j,j,b,g,f,g,h,c,f,j,f,g,f,i,g,f,b,i,a,h,h,a,c,a,d,f,b,a,g,e,a,h,i,j,c2
b,i,i,f,h,j,a,c,a,i,g,b,a,c,e,i,b,g,i,b,e,b,h,c,f,e,a,e,h,b,h,h,f,b,j,e,j,h,g,b,a,d,i,g,i,e,d,h,b,f,c1
a,c,j,f,f,d,i,e,i,b,i,a,f,d,a,b,a,j,h,e,g,a,a,c,j,d,c,d,b,g,b,i,j,c,a,e,e,j,j,h,b,a,d,g,a,j,c,c,c,e,c4
i,g,f,b,i,d,j,c,d,j,f,a,f,d,b,i,b,d,i,g,g,g,j,g,h,c,a,g,c,d,e,h,h,i,h,e,j,j,b,f,b,a,d,f,j,d,j,c,c,a,c4
i,j,h,c,c,f,c,i,j,i,d,f,b,i,b,j,f,g,f,d,b,g,c,i,f,b,f,i,j,b,h,f,b,e,b,j,c,c,c,i,b,h,g,d,g,e,f,b,i,g,c2
f,g,b,h,i,f,e,i,i,b,h,a,g,j,g,e,e,g,f,g,c,c,i,g,j,h,j,d,f,b,b,c,j,d,j,d,i,e,e,j,e,b,e,f,e,d,a,i,e,a,c5
f,g,d,j,h,e,i,c,a,i,g,f,a,j,e,i,j,b,c,b,i,d,j,c,a,a,b,e,d,c,f,g,g,c,a,e,e,h,c,i,f,h,a,b,a,f,e,g,i,f,c1
h,b,f,j,h,e,b,c,a,h,g,b,a,d,e,i,a,h,a,b,g,e,d,c,f,b,j,e,j,e,j,j,c,a,h,e,e,a,g,e,f,d,d,j,e,b,a,a,a,i,c1
f,i,b,g,f,c,j,i,j,i,b,a,g,f,h,h,e,a,a,d,g,j,h,d,a,i,j,f,f,j,b,i,h,d,g,f,d,e,e,f,b,e,j,b,j,b,a,i,a,c,c5
i,h,a,a,f,j,g,h,f,i,g,f,b,j,h,a,d,d,d,f,g,g,e,h,f,f,f,e,g,h,a,f,b,b,f,j,i,a,c,i,h,f,c,a,f,c,h,j,i,e,c2
f,d,b,c,j,f,c,i,c,i,g,a,g,h,d,i,e,c,a,b,b,f,b,a,f,a,j,c,f,a,j,j,c,d,e,i,h,e,e,b,g,j,d,c,a,i,c,i,j,c,c5
h,j,j,a,d,d,c,d,h,f,g,f,f,d,j,f,h,a,b,d,g,h,e,b,f,b,d,d,i,c,f,h,e,i,j,e,g,j,i,g,b,a,d,a,c,h,i,c,c,a,c4
f,b,d,b,a,c,h,i,h,c,g,a,g,i,a,f,e,f,h,g,d,e,e,b,e,h,j,c,f,d,h,b,g,d,c,b,f,e,e,d,e,g,d,d,j,h,g,i,a,d,c5
c,h,a,c,f,g,f,e,h,j,i,i,e,d,i,j,e,c,c,f,f,a,h,j,d,e,c,f,d,d,i,h,a,i,g,h,d,a,b,c,j,j,f,c,a,f,j,g,g,f,c3
f,a,b,c,b,j,i,i,d,a,i,a,g,h,h,a,e,d,b,a,a,d,j,h,f,e,j,j,f,e,e,b,i,d,i,i,d,e,e,j,i,h,g,c,h,j,c,i,c,a,c5
i,a,j,i,a,e,a,g,c,i,a,f,b,j,a,h,g,f,h,i,g,g,a,d,f,d,f,j,h,f,f,f,b,e,f,i,c,e,c,b,i,a,g,e,a,d,e,e,i,f,c2
e,g,c,c,f,a,c,h,h,c,i,a,e,f,i,j,h,b,a,i,f,i,d,e,f,b,a,j,e,d,j,h,g,i,a,i,c,a,b,c,g,c,c,f,g,h,d,g,h,c,c3
b,h,g,c,f,d,f,f,j,i,b,e,i,b,d,j,e,b,e,f,f,j,i,j,i,c,f,f,j,d,d,h,a,i,e,j,i,a,b,c,h,i,c,a,b,d,b,g,d,d,c3
d,g,j,i,j,d,j,g,i,d,i,a,f,d,g,a,g,c,h,f,g,g,i,e,g,j,c,b,c,d,i,e,g,h,f,e,b,j,a,a,b,a,d,h,g,f,j,c,c,d,c4
a,c,e,d,h,h,h,c,a,b,g,c,a,g,e,i,c,d,c,b,j,a,d,c,c,a,g,e,e,a,b,c,b,h,h,e,g,h,j,f,e,i,b,g,b,c,i,j,h,d,c1
g,d,e,c,f,f,a,c,j,j,i,d,f,c,c,j,b,i,e,i,f,b,c,c,d,h,f,e,f,d,c,h,j,i,a,i,i,a,b,c,c,d,b,c,f,f,j,g,a,a,c3
i,h,i,d,h,d,b,c,a,g,g,h,a,f,e,i,j,h,e,b,g,b,a,c,d,e,e,e,h,h,g,h,b,c,e,e,e,b,c,a,c,f,f,j,c,f,b,f,f,d,c1
i,h,h,b,h,j,a,c,a,g,g,f,a,a,e,i,e,g,a,b,b,b,j,c,j,a,d,e,e,i,f,a,d,a,e,e,f,j,b,i,c,h,i,e,c,a,a,c,d,a,c1
f,d,i,c,c,f,f,i,e,j,g,a,g,f,c,e,e,c,d,f,h,h,d,j,d,e,j,e,f,i,i,a,j,d,i,h,a,e,e,g,j,e,j,h,b,a,f,i,a,g,c5
f,f,b,a,h,a,b,i,e,f,e,a,g,j,a,i,e,e,j,d,i,h,i,h,d,g,j,h,f,h,d,j,e,d,i,d,c,e,e,f,i,d,f,h,b,e,b,i,i,g,c5
b,f,g,b,j,d,f,b,c,j,g,a,f,d,c,h,g,d,b,b,g,g,j,g,a,e,b,j,e,i,i,b,a,d,f,e,j,j,j,h,b,a,d,e,a,h,f,c,c,e,c4
h,g,g,d,h,e,d,c,a,d,g,d,a,i,e,i,e,e,d,b,j,c,c,c,b,c,j,e,c,b,a,h,a,h,j,e,f,h,i,i,g,c,a,j,e,g,d,i,c,d,c1
d,j,e,b,h,a,b,c,a,g,g,j,a,c,e,i,h,f,e,b,i,a,j,c,e,b,g,e,h,g,i,a,d,c,f,e,a,c,h,c,c,f,a,f,g,d,b,f,a,a,c1
f,i,h,g,d,g,b,i,e,d,j,a,g,b,d,g,e,f,j,h,g,h,h,d,j,d,j,d,f,e,a,f,f,d,i,i,i,e,e,c,a,c,e,i,h,d,j,i,g,a,c5
f,i,g,d,d,b,g,i,i,j,a,a,g,a,h,j,e,h,b,h,c,a,b,h,g,g,j,j,f,b,f,d,f,d,a,e,e,e,e,f,c,h,h,b,c,b,j,i,a,e,c5
i,i,e,d,h,g,c,f,d,i,e,f,b,e,f,b,d,c,b,c,f,g,h,f,f,d,f,g,e,a,h,f,b,a,e,d,a,b,c,h,e,i,b,j,a,j,d,i,i,c,c2
f,a,i,b,h,d,d,i,b,d,f,a,g,e,i,e,e,j,e,c,e,a,i,g,f,g,j,i,f,d,d,g,e,d,g,g,c,e,e,b,c,b,e,c,c,e,g,i,j,j,c5
b,e,f,a,c,d,e,f,d,c,c,c,f,d,e,h,e,c,a,c,g,e,c,i,e,j,h,a,d,c,g,g,d,b,f,e,j,j,c,h,b,a,d,e,e,g,b,c,c,d,c4
j,d,a,c,h,c,e,c,a,e,g,j,a,e,e,i,b,f,a,b,j,h,f,c,d,e,h,e,c,h,h,h,d,b,g,e,f,g,g,f,f,d,g,a,g,a,g,j,j,d,c1
d,a,g,c,f,g,c,i,g,h,g,f,h,e,h,j,d,h,f,d,f,j,h,a,g,g,d,j,j,d,g,h,j,i,d,a,c,a,b,c,e,e,d,e,j,g,e,g,c,a,c3
j,g,i,b,h,a,d,c,a,f,g,h,a,i,e,i,b,e,i,b,g,a,b,c,d,g,d,e,b,i,c,a,d,b,a,e,g,e,d,e,j,c,c,h,d,b,e,h,h,c,c1
j,f,b,f,h,g,f,c,a,g,g,c,a,g,e,i,f,f,e,b,c,h,b,c,i,b,f,e,h,g,h,h,i,a,b,e,j,h,i,c,c,i,d,d,h,h,f,a,d,c,c1
f,g,h,a,g,h,e,i,c,c,d,a,g,g,b,i,e,c,g,h,g,d,c,c,g,b,j,c,f,a,c,g,i,d,g,i,e,e,e,b,b,i,g,e,h,c,f,i,j,e,c5
f,c,c,c,f,a,a,a,a,e,i,e,b,e,f,j,j,e,j,b,f,b,d,a,e,b,a,d,g,d,h,h,d,i,b,h,h,a,b,c,b,f,j,d,b,b,a,g,f,j,c3
d,g,c,f,h,d,e,c,a,f,g,a,a,b,e,i,h,e,a,b,f,c,b,c,b,f,g,e,e,a,h,d,j,a,h,e,b,j,h,h,a,i,j,f,a,b,e,a,g,i,c1
a,f,b,d,h,f,b,c,a,c,g,a,a,b,e,i,d,d,c,b,i,e,c,c,j,f,d,e,e,e,j,d,h,e,d,e,g,j,j,c,f,j,e,b,e,c,e,g,i,d,c1
f,d,h,j,a,c,j,i,h,c,c,a,g,i,b,h,e,g,e,d,c,b,j,f,h,a,j,g,f,d,d,j,e,d,e,c,d,e,e,h,h,d,c,e,f,i,a,i,d,g,c5
i,a,h,h,h,f,f,c,a,b,g,h,a,h,e,i,b,j,c,b,c,f,c,c,a,f,c,e,f,h,d,j,h,f,d,e,e,d,h,d,j,a,g,e,d,d,a,d,c,g,c1
i,g,a,i,h,d,e,c,a,g,g,c,a,b,e,i,e,j,c,b,e,e,i,c,d,e,e,e,j,g,i,d,c,e,a,e,e,f,i,d,e,d,j,f,i,f,e,j,b,h,c1
c,e,i,g,h,d,h,c,a,j,g,g,a,g,e,i,e,d,i,b,i,a,c,c,e,c,c,e,e,b,e,j,c,h,h,e,j,g,g,d,b,i,d,h,c,c,b,g,c,e,c1
e,d,d,d,h,i,c,c,a,b,g,e,a,h,e,i,c,c,d,b,f,c,i,c,j,f,d,e,d,a,i,h,d,i,a,e,d,e,d,a,g,f,c,f,g,d,h,f,i,j,c1
e,c,b,c,f,a,a,d,i,e,g,h,g,e,j,j,h,j,e,h,f,j,g,j,i,j,g,c,i,d,e,h,h,i,c,j,f,a,b,c,b,i,e,i,e,f,h,g,i,i,c3
f,c,b,i,f,h,i,i,a,f,a,a,g,c,h,j,e,h,c,i,f,j,c,j,b,d,j,g,f,e,i,e,h,d,c,g,e,e,e,b,i,f,g,a,b,e,b,i,h,f,c5
j,a,g,b,h,f,d,c,a,f,g,b,a,g,e,i,j,g,c,b,j,h,e,c,i,b,i,e,a,j,f,d,g,j,f,e,c,a,j,j,a,c,h,j,a,h,h,h,j,b,c1
d,e,e,c,f,h,g,c,h,g,d,j,c,j,h,j,i,g,i,e,f,j,d,g,g,h,d,d,g,d,h,h,j,i,h,d,a,a,b,c,f,e,a,a,g,j,g,g,b,j,c3
d,g,d,e,f,d,e,a,e,g,h,j,f,d,i,c,f,j,f,a,g,h,g,a,f,f,d,g,a,h,a,e,i,f,i,e,h,j,j,f,b,a,d,a,b,j,e,c,c,h,c4
e,i,f,i,d,d,e,f,h,d,e,h,f,d,f,e,i,g,c,f,g,f,a,d,c,e,c,d,i,j,a,d,d,i,h,e,c,j,a,g,b,a,d,g,c,d,b,c,c,e,c4
h,i,b,f,h,g,b,c,a,b,g,j,a,f,e,i,b,i,i,b,c,a,i,c,j,e,c,e,f,j,c,g,c,b,h,e,f,c,h,g,f,g,i,a,i,f,g,d,d,i,c1
j,b,d,e,d,d,c,i,d,d,c,e,f,d,c,e,j,f,a,c,g,h,j,i,j,c,d,j,f,f,d,b,b,h,a,e,c,j,b,c,b,a,d,j,a,f,g,c,c,e,c4
c,e,f,f,h,f,c,c,a,g,g,d,a,f,e,i,e,c,j,b,h,a,a,c,a,f,c,e,e,e,e,b,b,h,j,e,e,i,i,f,a,i,d,j,c,j,d,e,b,e,c1
h,f,f,c,f,e,f,b,j,b,h,d,a,c,a,j,h,d,b,i,f,e,g,g,i,h,i,b,d,d,g,h,f,i,d,j,d,a,b,c,j,d,d,h,e,h,j,g,j,i,c3
f,b,a,g,h,b,i,i,h,h,b,a,g,b,i,d,e,a,e,j,f,f,a,f,c,i,j,j,f,d,j,i,b,d,a,j,a,e,e,h,j,h,b,a,a,j,b,i,c,e,c5
f,e,a,i,j,c,h,i,h,f,d,a,g,g,f,i,e,h,i,c,a,d,a,g,a,a,j,j,f,h,g,d,j,d,d,e,d,e,e,j,b,f,a,c,e,f,g,i,f,j,c5
c,b,g,j,b,d,g,j,h,i,d,g,f,d,e,e,d,j,f,c,g,i,d,j,d,g,e,e,f,e,f,c,d,a,g,e,f,j,i,b,b,a,d,b,b,i,j,c,c,c,c4
d,e,i,c,f,c,c,d,g,a,e,a,e,a,i,j,e,f,c,f,f,g,g,j,d,b,g,i,j,d,h,h,j,i,h,f,d,a,b,c,i,i,f,c,e,g,f,g,d,a,c3
b,d,i,j,i,d,f,j,f,e,e,i,f,d,a,e,d,h,e,c,g,a,b,e,d,f,f,b,f,h,c,e,a,f,b,e,j,j,c,d,b,a,d,j,b,j,g,c,c,g,c4
