@relation data50_5_5_10_5_300

@attribute A1 {d,c,e,b,a}
@attribute A2 {a,b,e,c,d}
@attribute A3 {c,a,d,e,b}
@attribute A4 {e,d,c,b,a}
@attribute A5 {b,e,a,d,c}
@attribute A6 {a,b,e,c,d}
@attribute A7 {c,b,e,a,d}
@attribute A8 {d,a,c,b,e}
@attribute A9 {c,d,b,a,e}
@attribute A10 {d,c,e,b,a}
@attribute A11 {b,c,d,a,e}
@attribute A12 {c,b,a,d,e}
@attribute A13 {e,d,b,a,c}
@attribute A14 {b,e,c,d,a}
@attribute A15 {e,d,c,b,a}
@attribute A16 {d,b,a,e,c}
@attribute A17 {c,b,a,d,e}
@attribute A18 {b,c,d,e,a}
@attribute A19 {c,d,e,a,b}
@attribute A20 {c,b,e,d,a}
@attribute A21 {a,b,d,e,c}
@attribute A22 {d,b,a,c,e}
@attribute A23 {a,d,b,c,e}
@attribute A24 {e,a,d,b,c}
@attribute A25 {d,a,c,e,b}
@attribute A26 {e,d,a,c,b}
@attribute A27 {b,d,c,e,a}
@attribute A28 {d,e,a,b,c}
@attribute A29 {b,c,d,a,e}
@attribute A30 {d,b,c,e,a}
@attribute A31 {a,b,c,d,e}
@attribute A32 {c,d,e,b,a}
@attribute A33 {c,a,b,d,e}
@attribute A34 {a,d,b,e,c}
@attribute A35 {c,b,a,d,e}
@attribute A36 {a,d,c,e,b}
@attribute A37 {e,d,a,b,c}
@attribute A38 {a,c,e,b,d}
@attribute A39 {e,a,c,d,b}
@attribute A40 {e,a,c,d,b}
@attribute A41 {a,e,b,d,c}
@attribute A42 {d,a,c,e,b}
@attribute A43 {d,e,a,c,b}
@attribute A44 {c,e,d,b,a}
@attribute A45 {e,d,c,b,a}
@attribute A46 {d,c,e,b,a}
@attribute A47 {a,e,c,b,d}
@attribute A48 {e,a,c,b,d}
@attribute A49 {d,e,a,b,c}
@attribute A50 {d,b,c,e,a}
@attribute Class {c3,c5,c4,c2,c1}

@data
c,a,b,c,a,a,a,b,a,a,a,b,e,e,b,d,a,b,d,d,c,d,b,d,e,a,e,b,b,a,b,d,d,b,e,d,d,e,d,d,e,b,b,a,a,c,d,d,b,b,c1
b,d,e,d,c,e,a,d,a,e,b,a,b,e,e,e,c,e,d,e,d,b,e,a,c,e,b,d,a,b,c,a,e,d,c,b,a,c,b,c,b,a,e,c,c,d,a,b,d,c,c2
b,d,b,d,d,e,d,c,b,e,d,a,e,e,e,d,d,a,b,c,d,d,e,c,c,e,b,d,c,b,a,e,c,c,c,b,a,e,c,a,b,e,c,c,c,d,b,b,d,c,c2
d,b,c,b,e,e,b,a,c,c,d,b,a,b,a,d,e,d,a,d,a,b,b,e,a,d,b,e,a,d,e,b,a,e,d,a,a,a,e,e,a,a,e,d,d,d,b,a,c,b,c5
a,b,e,b,b,c,e,d,e,b,b,c,e,a,b,d,a,e,a,d,a,d,b,c,d,e,b,b,b,b,e,a,b,a,c,d,e,c,c,e,e,b,e,e,c,d,a,c,c,c,c3
c,b,c,c,b,d,b,a,b,e,d,e,c,b,d,c,b,a,e,c,a,e,c,d,d,d,a,e,b,a,a,a,c,a,a,b,e,c,e,a,a,a,a,c,d,b,a,d,d,d,c5
a,e,c,d,a,e,a,e,e,e,d,a,e,d,e,b,c,b,b,a,b,d,b,b,c,b,e,d,d,a,c,e,e,e,e,b,a,b,a,a,d,e,c,e,a,b,d,b,d,c,c2
c,b,d,a,d,a,b,a,c,b,b,c,e,b,a,c,a,d,a,d,a,c,c,a,c,d,d,e,e,d,b,e,a,e,e,e,d,d,e,a,a,a,d,b,d,e,d,d,b,d,c5
b,a,c,b,b,b,a,a,a,b,d,d,a,c,c,d,d,d,a,b,c,b,c,c,a,d,e,b,b,e,b,e,e,b,d,e,d,d,b,e,d,e,e,d,a,b,e,c,d,a,c4
b,a,c,d,e,c,e,d,c,d,d,b,a,c,d,c,a,d,a,d,c,a,c,c,b,c,e,c,b,b,c,e,a,a,c,e,d,d,c,b,d,d,a,a,c,a,e,c,d,e,c4
e,a,c,a,a,b,e,b,b,c,d,b,b,c,b,a,b,c,a,c,b,e,c,c,b,b,e,a,b,e,a,e,b,c,d,e,d,b,a,b,d,d,b,b,d,d,e,c,a,a,c4
a,e,c,d,e,e,b,c,b,e,e,a,c,c,e,c,e,e,e,e,e,b,b,d,c,d,d,d,c,b,d,d,e,b,c,b,a,c,e,d,e,a,b,b,c,e,a,b,e,c,c2
b,b,c,a,e,b,b,a,b,b,a,b,c,b,c,a,d,e,c,a,a,d,a,a,d,d,a,e,d,a,a,b,b,d,b,e,d,a,e,b,a,a,b,c,d,d,e,d,c,b,c5
c,a,d,c,e,e,b,b,c,a,a,d,e,d,c,a,c,e,d,a,e,e,b,a,e,a,e,b,b,a,a,e,d,d,b,e,b,a,d,d,e,d,b,d,d,a,b,d,c,c,c1
c,a,c,c,e,d,c,d,b,c,a,b,e,e,a,c,c,a,d,b,c,e,b,a,e,a,a,b,b,a,c,c,e,e,c,e,c,a,d,b,e,d,c,e,e,e,a,d,a,d,c1
d,d,d,c,c,c,d,d,b,c,e,a,e,d,e,a,a,a,d,d,d,b,b,a,e,a,c,b,b,a,d,a,a,a,a,a,b,e,d,c,e,b,a,c,d,b,c,e,d,c,c1
a,a,c,c,d,a,b,c,e,b,a,b,e,c,c,c,e,d,a,d,d,d,c,a,a,b,a,c,b,a,d,e,a,c,b,e,d,c,e,c,b,c,c,d,c,c,e,c,d,b,c4
a,d,b,c,b,c,d,d,d,d,b,a,a,d,e,d,e,b,b,e,a,d,d,b,d,d,e,a,b,c,a,e,b,a,c,c,e,b,c,e,b,a,d,e,a,d,a,c,b,e,c3
b,a,c,c,d,e,d,d,a,b,e,a,c,c,d,d,d,b,a,d,b,a,c,e,a,e,c,e,b,b,d,e,b,c,c,e,d,c,e,a,e,a,e,d,e,a,e,c,e,d,c4
c,a,a,c,e,d,b,b,a,b,d,c,e,d,a,c,b,a,d,d,d,b,b,d,e,a,e,b,b,a,c,c,c,c,d,d,e,d,d,e,e,c,a,b,a,e,a,b,a,c,c1
c,b,b,c,d,b,d,e,c,a,c,d,e,b,c,c,c,c,d,c,c,b,b,d,e,a,e,b,b,a,b,b,d,a,b,a,e,d,d,b,e,d,d,c,e,e,d,b,b,b,c1
c,b,a,d,b,a,e,d,e,c,b,b,b,d,a,d,e,e,d,c,a,d,e,c,d,a,b,d,b,d,a,d,c,a,a,c,e,a,a,d,e,b,c,c,e,d,e,a,c,b,c3
e,c,c,d,d,e,c,d,e,e,b,a,d,a,e,b,a,d,b,d,d,e,c,d,c,d,e,d,d,c,a,e,b,e,d,b,a,c,a,b,b,d,a,e,c,c,c,b,c,c,c2
e,b,b,a,a,b,b,a,b,d,e,a,d,b,b,b,e,e,a,d,a,d,d,e,a,d,d,e,b,d,e,e,e,b,c,e,b,b,e,a,a,a,d,a,d,d,b,b,a,c,c5
a,c,c,c,a,a,d,d,c,c,a,a,e,a,d,c,b,e,d,b,e,a,b,a,e,a,b,b,b,a,c,c,a,d,d,c,b,d,d,d,e,e,e,b,d,a,c,a,d,d,c1
e,a,d,d,c,e,d,c,b,e,e,a,b,d,e,e,a,e,e,a,a,e,c,d,c,e,d,d,e,d,e,b,d,b,e,b,a,a,e,d,e,d,b,e,a,c,a,b,e,c,c2
e,a,c,a,d,d,d,d,a,c,c,b,d,c,c,b,e,e,a,d,c,a,c,d,c,e,a,a,b,c,c,e,a,b,e,e,d,b,d,a,e,d,b,b,d,b,e,c,d,a,c4
b,a,c,d,c,c,d,c,a,e,c,c,d,c,b,e,b,c,a,a,d,c,c,b,e,e,c,b,b,a,a,e,c,c,d,e,d,b,d,d,d,b,b,d,e,d,e,c,c,d,c4
b,a,c,e,d,d,d,c,a,b,a,a,d,c,a,a,d,e,a,e,c,e,c,a,d,b,a,e,b,c,e,e,d,c,e,e,d,a,a,a,d,c,e,d,c,a,e,c,a,e,c4
d,e,b,d,b,e,d,d,a,c,b,d,d,a,b,d,a,b,b,a,a,d,d,b,d,d,a,b,b,b,a,d,c,a,b,c,e,c,b,a,b,d,b,e,c,d,b,c,a,d,c3
b,a,a,e,b,d,e,d,b,d,b,b,b,d,b,d,a,d,c,e,a,d,a,d,d,a,c,b,b,b,b,c,b,a,c,c,e,d,a,b,a,b,d,c,e,d,a,d,c,c,c3
d,a,c,c,b,d,e,a,d,b,b,c,e,c,d,d,c,e,d,e,e,c,b,e,e,a,e,b,b,a,b,c,b,c,d,b,b,e,d,c,e,c,e,a,a,e,c,d,b,b,c1
a,e,a,c,e,d,e,b,c,e,b,e,e,e,d,e,d,c,d,b,c,b,b,b,e,a,c,b,b,a,e,c,d,a,d,b,e,a,d,c,e,c,e,d,a,d,a,c,c,e,c1
c,b,e,a,c,b,b,a,d,b,d,d,c,b,b,e,b,c,d,e,a,b,e,a,c,d,c,e,c,e,e,b,b,e,e,d,e,d,e,a,a,a,a,b,d,b,d,a,b,b,c5
b,a,c,e,b,d,d,d,e,d,d,d,b,c,b,c,d,d,a,a,e,d,c,d,b,c,a,d,b,c,e,e,d,c,d,e,d,c,e,b,a,d,c,b,b,e,e,c,d,c,c4
d,c,d,c,a,a,e,e,c,a,d,d,e,a,d,e,d,a,d,d,e,d,b,d,e,a,e,b,b,a,e,e,a,c,e,a,d,b,d,b,e,a,e,e,b,d,b,d,c,c,c1
b,b,a,d,c,e,e,c,a,e,b,a,a,b,e,e,a,c,e,b,d,c,a,a,c,e,e,d,b,e,c,e,c,c,e,b,a,d,e,b,a,a,c,d,c,d,b,b,e,c,c2
c,b,b,c,c,c,b,a,c,d,b,c,c,b,e,a,a,b,c,b,a,a,a,d,e,d,a,e,c,b,a,a,e,c,e,d,a,d,e,b,a,a,b,e,d,c,a,d,b,d,c5
c,c,a,b,b,e,a,d,d,c,b,c,e,a,c,d,e,e,b,d,a,d,c,a,d,b,c,d,b,e,b,a,d,a,a,a,e,b,e,a,a,c,d,d,c,d,e,c,b,b,c3
d,b,c,b,c,d,b,a,a,e,a,e,a,b,b,e,d,b,a,d,a,c,b,a,c,d,b,e,a,c,d,d,b,c,c,d,d,b,e,d,a,a,b,a,d,e,c,a,d,d,c5
e,a,d,c,a,b,b,d,b,a,e,d,e,c,e,a,a,a,d,a,a,d,b,a,e,a,b,b,b,a,c,e,b,d,b,a,e,d,d,b,e,a,d,a,b,c,a,c,a,b,c1
a,e,e,d,a,e,a,a,b,e,c,a,c,a,e,e,c,c,d,d,b,a,c,a,c,c,b,d,d,a,b,a,d,b,d,b,a,c,b,a,a,d,c,d,a,e,e,b,d,c,c2
b,d,c,e,b,e,e,d,b,b,b,b,b,c,d,d,a,c,b,d,a,d,c,b,d,d,e,a,b,e,c,b,d,a,a,d,e,e,d,e,b,c,b,b,e,d,e,e,e,d,c3
e,b,e,c,a,c,b,a,d,d,d,c,e,b,a,b,a,b,d,d,a,d,d,c,c,d,d,e,c,b,d,d,e,a,d,b,c,c,e,c,a,a,d,a,d,e,a,a,e,b,c5
a,d,e,d,b,e,c,d,a,a,b,b,e,b,e,d,e,e,e,b,a,d,d,b,d,e,b,b,b,c,e,e,e,a,e,e,e,e,e,c,e,c,d,d,d,d,b,d,b,e,c3
c,c,e,e,b,e,e,d,c,e,b,a,d,d,d,d,d,a,e,a,a,d,a,c,d,a,e,e,b,d,e,a,a,a,e,c,e,d,c,b,a,b,b,b,e,d,c,e,d,b,c3
b,b,c,d,d,e,b,e,c,e,d,a,c,e,e,e,d,c,a,d,c,b,c,e,c,b,b,d,c,d,c,e,b,a,e,b,a,c,a,b,a,a,c,e,a,e,d,b,a,c,c2
b,a,c,e,d,e,a,e,d,e,e,d,d,c,c,d,d,a,a,d,e,e,c,b,c,a,d,b,b,a,c,e,e,d,c,e,d,b,d,a,a,c,b,e,a,c,e,c,c,b,c4
e,d,b,d,b,a,b,d,c,e,b,e,e,d,c,d,a,e,d,c,a,d,a,e,d,a,e,e,b,e,a,d,b,a,a,e,e,a,e,b,a,c,c,c,a,d,b,d,b,c,c3
e,a,a,d,b,e,b,c,d,e,d,a,d,a,e,e,b,b,a,c,e,a,a,a,c,d,d,d,b,d,a,b,b,c,b,b,a,b,a,d,c,d,b,a,d,e,d,b,a,c,c2
a,a,b,d,c,e,e,d,a,e,e,a,b,b,e,d,a,d,e,c,e,b,e,d,c,d,d,d,b,d,e,b,d,e,e,b,a,e,b,b,e,a,c,d,d,c,a,b,e,c,c2
e,b,c,e,a,e,b,a,a,e,c,a,a,b,e,c,e,c,b,e,a,c,c,b,a,d,c,e,c,e,b,a,b,e,b,a,b,d,e,d,a,a,d,e,d,a,b,e,c,d,c5
e,b,c,d,e,d,b,a,d,c,d,d,b,b,c,e,c,a,e,c,a,e,c,d,e,d,b,e,b,b,e,c,c,e,e,c,b,c,e,b,a,a,c,b,d,d,a,d,d,b,c5
b,d,c,c,b,e,b,d,a,c,b,c,e,a,d,d,a,c,b,c,a,d,d,d,d,b,c,e,b,c,d,a,a,a,e,a,e,b,e,c,b,e,a,b,c,d,d,d,c,d,c3
b,e,d,c,b,d,e,d,e,a,b,b,c,e,e,d,e,b,b,c,a,d,c,e,d,e,e,b,b,a,c,e,c,a,d,c,e,c,e,b,c,c,b,c,e,d,d,a,a,a,c3
d,b,a,d,b,e,b,b,b,e,d,a,a,e,e,a,e,c,b,a,b,e,b,a,c,c,c,d,c,d,c,d,c,c,b,b,a,e,e,b,b,e,b,e,a,d,c,b,e,c,c2
d,c,d,c,c,d,e,b,c,d,a,d,e,a,c,e,e,c,d,d,d,e,b,c,e,a,d,b,b,a,d,a,b,a,a,b,c,b,d,b,e,c,c,b,e,b,b,d,c,d,c1
b,a,c,b,d,a,e,e,a,a,c,b,b,c,a,c,a,a,a,c,d,a,c,e,a,e,d,b,b,c,d,e,e,e,e,e,d,c,a,c,b,c,a,e,e,a,e,c,c,a,c4
c,a,c,d,a,a,b,b,e,b,c,e,e,c,e,a,c,a,a,c,d,e,c,b,a,a,c,d,b,c,b,e,c,e,a,e,d,d,b,b,c,a,a,e,b,a,e,c,b,b,c4
e,a,c,c,d,c,c,c,a,b,b,e,c,c,d,e,d,a,a,b,b,a,c,e,c,d,b,d,b,c,e,e,b,a,b,e,d,a,a,e,b,d,b,d,b,c,e,c,c,a,c4
d,e,a,d,e,e,d,e,d,e,d,a,e,b,e,c,c,d,a,e,d,c,e,d,c,e,b,d,d,e,a,e,e,b,a,b,a,c,b,a,c,e,d,b,b,a,e,b,e,c,c2
d,d,b,c,b,c,b,b,b,c,a,c,e,e,e,c,d,b,d,e,c,d,b,d,e,a,c,b,b,a,c,a,d,c,e,b,d,c,d,a,e,d,b,c,d,c,d,b,b,d,c1
b,e,d,d,e,e,b,e,e,e,d,a,a,b,e,e,c,b,a,b,a,e,b,c,c,d,a,d,e,d,e,c,d,e,e,b,a,c,e,a,d,e,a,d,a,d,c,b,b,c,c2
e,a,d,a,b,c,a,d,a,b,b,e,d,b,c,d,b,b,b,d,a,d,a,b,d,a,c,a,b,b,c,b,a,a,e,d,e,c,a,a,c,e,a,a,b,d,d,c,b,a,c3
b,a,c,a,d,c,a,b,b,c,b,e,d,c,a,d,a,a,a,b,a,d,c,e,c,a,e,a,b,e,b,e,d,a,b,e,d,a,c,a,a,c,c,b,a,b,e,c,c,b,c4
d,d,e,c,e,b,d,a,d,b,a,e,e,d,b,c,a,b,d,c,c,c,b,d,e,a,c,b,b,a,d,b,d,a,d,c,e,c,d,a,e,b,d,c,e,a,d,e,b,c,c1
e,d,d,d,c,e,b,d,c,e,b,a,e,c,e,e,d,e,c,d,a,b,b,a,c,d,a,d,b,c,a,d,a,b,c,b,a,e,c,a,d,c,c,d,d,d,b,b,b,c,c2
e,d,d,d,e,e,d,d,b,e,c,a,b,b,e,c,c,a,d,d,d,b,b,d,c,b,a,d,c,e,b,d,c,a,c,b,a,c,e,a,c,d,a,e,c,b,b,b,e,c,c2
c,a,c,d,c,d,b,e,b,a,e,c,a,c,b,e,a,e,a,d,c,e,c,c,b,b,c,b,b,c,b,e,a,a,a,e,d,b,a,e,c,b,c,a,e,b,e,c,d,b,c4
c,a,a,c,d,c,c,b,b,e,e,d,e,a,b,a,a,e,d,e,b,b,b,b,e,a,b,b,b,a,e,a,e,e,e,d,b,b,d,c,e,b,b,a,b,e,c,d,d,c,c1
b,d,a,d,b,e,d,b,c,e,b,a,c,c,e,d,d,c,c,a,d,d,c,d,c,c,b,d,d,b,b,d,b,c,a,b,a,b,a,e,a,b,d,d,c,c,a,b,c,c,c2
c,a,c,c,d,a,a,c,a,b,d,a,d,c,c,e,c,a,a,a,b,e,c,c,a,e,b,c,b,c,b,e,e,e,e,e,d,e,a,b,a,e,e,e,b,c,e,c,e,e,c4
a,b,e,e,a,a,b,a,c,a,d,c,c,b,a,a,c,e,a,c,a,c,b,e,b,d,d,e,e,b,d,e,a,a,a,e,b,b,e,d,a,a,d,b,d,e,d,b,e,d,c5
c,d,d,d,e,e,b,b,d,e,b,a,b,d,e,a,b,a,b,e,d,d,e,b,c,e,a,d,d,d,e,a,b,d,c,b,a,a,e,e,a,d,d,d,e,d,d,b,d,c,c2
d,b,c,d,d,e,d,a,a,e,c,a,c,d,e,c,d,c,e,e,a,b,a,b,c,d,e,d,c,e,e,d,a,b,d,b,a,e,b,c,b,d,b,d,a,c,e,b,d,c,c2
a,a,c,c,c,d,e,b,d,b,c,d,d,c,a,e,b,b,a,d,a,b,c,b,a,c,c,a,b,b,d,e,e,c,a,e,d,b,c,d,b,e,c,d,d,e,e,c,a,a,c4
c,a,c,b,a,d,a,a,d,a,c,e,e,c,e,d,b,a,a,a,e,d,c,d,a,d,e,b,b,e,e,e,b,b,b,e,d,e,e,e,a,a,b,d,e,d,e,c,e,d,c4
b,b,d,a,d,e,b,a,b,c,b,a,d,b,a,c,d,d,d,c,a,a,a,b,a,d,e,e,e,a,b,d,c,b,b,b,c,c,e,e,a,a,a,c,d,b,d,b,c,d,c5
a,b,e,c,b,d,c,c,c,e,e,d,e,e,e,b,c,c,d,e,e,e,b,d,e,a,b,b,b,a,e,a,a,a,e,d,c,a,d,d,e,a,d,b,e,d,b,a,d,e,c1
c,c,e,d,a,e,a,c,b,e,c,a,b,a,e,b,e,d,d,e,a,d,c,e,c,a,e,d,c,b,d,e,e,d,e,b,a,a,d,e,e,e,b,b,a,b,a,b,d,c,c2
d,a,b,d,a,e,a,c,d,e,e,a,c,a,e,d,c,d,b,c,c,a,c,e,c,e,e,d,b,c,c,d,c,a,e,b,a,d,d,e,e,d,b,d,b,d,d,b,c,c,c2
e,c,e,d,b,b,e,d,a,b,b,c,e,e,c,d,e,e,a,e,a,d,a,a,d,d,b,d,b,a,c,b,b,a,b,c,e,b,a,e,c,a,c,c,b,d,c,a,b,b,c3
b,e,b,d,b,e,b,c,a,e,d,a,b,e,e,d,e,b,c,b,b,c,e,b,c,c,d,d,d,a,d,d,d,d,c,b,a,a,b,e,e,b,b,c,e,e,e,b,d,c,c2
d,a,c,d,e,d,b,b,e,e,a,e,a,c,a,e,b,a,a,b,e,d,c,c,b,d,b,e,b,d,e,e,d,e,a,e,d,a,b,a,c,d,d,a,a,b,e,c,a,a,c4
e,e,c,d,e,e,e,b,a,e,a,a,d,a,e,a,c,a,c,d,c,d,e,c,c,d,b,d,d,b,d,a,b,a,a,b,a,d,b,a,d,c,d,a,e,a,a,b,d,c,c2
e,d,e,d,c,e,a,d,a,e,d,a,d,e,e,d,d,b,a,c,d,a,c,b,c,c,b,d,c,e,e,a,a,b,b,b,a,c,e,b,c,c,b,c,a,a,c,b,c,c,c2
e,e,c,c,d,a,d,c,c,b,a,d,e,e,e,e,e,e,d,a,a,e,b,c,e,a,a,b,b,a,b,e,c,b,d,c,d,e,d,b,e,a,e,e,e,b,c,a,c,d,c1
d,b,c,d,a,e,e,e,c,e,b,a,d,c,e,b,d,e,d,a,e,a,d,c,c,c,e,d,d,a,c,e,c,e,b,b,a,e,d,c,e,a,e,e,e,e,b,b,c,c,c2
b,a,c,e,b,d,e,d,a,a,b,b,d,a,a,d,d,d,c,b,a,d,d,b,d,e,c,d,b,e,c,d,b,a,c,b,e,c,b,b,b,e,c,d,e,d,c,c,a,a,c3
d,a,c,e,d,c,c,d,b,a,d,d,c,c,e,b,c,d,a,d,d,e,c,d,c,c,a,a,b,d,e,e,b,d,c,e,d,b,c,c,c,c,d,b,d,c,e,c,c,e,c4
d,c,a,d,a,e,c,a,c,e,e,a,e,b,e,e,a,c,e,e,e,e,a,e,c,c,e,d,e,b,c,a,a,e,e,b,a,b,c,e,b,b,c,d,a,b,d,b,a,c,c2
a,b,a,e,e,c,b,a,a,d,e,e,d,b,d,d,c,a,c,b,a,e,c,d,e,d,c,e,d,c,a,c,b,d,c,a,e,d,e,d,a,a,c,d,d,a,b,a,b,b,c5
c,a,c,c,b,b,b,d,e,a,a,b,b,c,d,b,c,b,a,a,a,a,c,e,c,b,d,a,b,b,a,e,b,b,a,e,d,b,a,d,d,e,b,b,a,d,e,c,d,e,c4
b,a,c,a,c,d,e,c,c,a,d,a,d,c,a,c,b,c,a,e,e,e,c,e,d,e,e,e,b,e,c,e,e,c,e,e,d,c,d,b,c,d,a,d,c,d,e,c,c,a,c4
e,d,a,d,d,e,c,d,e,e,a,a,d,b,e,a,a,a,d,a,b,d,a,d,c,e,c,d,a,b,e,d,a,b,d,b,a,a,b,c,c,b,d,c,c,e,d,b,a,c,c2
d,c,c,c,b,c,e,c,d,c,d,d,e,e,a,a,b,b,d,b,b,e,b,b,e,a,a,b,b,a,a,a,c,c,b,d,e,d,d,b,e,a,d,c,d,e,d,e,d,d,c1
a,e,c,c,b,c,e,d,b,c,b,a,b,b,d,d,c,c,a,b,a,d,b,a,d,d,e,b,b,a,a,e,a,a,c,c,e,c,d,a,c,b,d,d,d,d,b,d,d,c,c3
d,a,c,e,b,c,a,c,b,e,a,e,a,c,c,c,c,a,a,d,e,e,c,d,c,d,b,e,b,a,a,e,d,e,e,e,d,d,c,a,e,c,c,c,a,d,e,c,d,c,c4
a,a,c,c,a,d,a,c,d,d,d,e,b,c,c,a,d,b,a,d,e,c,c,c,b,d,d,b,b,d,b,e,a,d,d,e,d,a,c,a,c,a,a,e,a,b,e,c,b,d,c4
c,b,c,c,e,e,c,b,e,a,d,e,e,e,e,e,d,c,d,a,e,d,b,c,e,a,e,b,b,a,a,e,a,a,c,d,e,d,d,d,e,e,d,a,c,b,b,e,c,c,c1
a,b,c,c,a,b,b,a,d,b,a,d,e,b,a,e,b,a,a,e,a,c,c,d,d,d,e,e,d,d,e,b,b,a,a,d,a,c,e,d,a,a,d,b,d,d,a,d,a,d,c5
e,c,e,c,c,d,e,a,e,b,a,a,e,a,c,d,e,b,d,c,a,d,b,c,e,a,e,b,b,a,d,b,e,d,a,c,e,c,d,b,e,b,c,b,c,c,c,a,d,a,c1
a,c,c,c,b,a,d,a,e,d,e,e,e,b,a,d,c,d,d,a,a,a,b,c,e,a,d,b,b,a,e,d,c,d,d,e,b,d,d,d,e,b,a,d,d,b,e,d,d,e,c1
c,b,d,a,b,d,b,d,c,e,b,d,c,d,a,d,b,c,b,e,a,d,e,c,d,b,b,d,b,e,e,a,c,a,e,d,e,c,d,b,c,a,b,c,d,d,b,c,a,d,c3
